REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS
201650000,1/1/2016,0000,DRUG/NARCOTICS OFFENSES,600 BLK DRESDEN DR
201650002,1/1/2016,0042,SIMPLE ASSAULT,800 BLK FORREST DR
201600001,1/1/2016,0132,CURFEW,41ST / ORCUT
201600002,1/1/2016,0136,CURFEW,41ST ST / ORCUTT AVE
201600004,1/1/2016,0139,CURFEW,41ST ST / ORCUTT AVE
201600005,1/1/2016,0141,CURFEW,41ST ST / ORCUTT AVE
201650004,1/1/2016,0148,AGGRAVATED ASSAULT,0 BLK BERNARDINE DR
201650005,1/1/2016,0207,WEAPON OFFENSE,300 BLK CIRCUIT LN
201600006,1/1/2016,0242,THEFT FROM BUILDING,500 BLK RICHNECK RD
201650006,1/1/2016,0346,ROBBERY,41ST ST / JEFFERSON AVE
201650006,1/1/2016,0346,WEAPON OFFENSE,41ST ST / JEFFERSON AVE
201600008,1/1/2016,0351,DAMAGE PROPERTY,400 BLK YOUNGS MILL LN
201650008,1/1/2016,0406,LEAVING THE SCENE,POTTERS LN / WARWICK BLVD
201600009,1/1/2016,0420,JUVENILE - RUNAWAY,800 BLK 22ND ST
201650009,1/1/2016,0445,SIMPLE ASSAULT,900 BLK BACKSPIN CT
201650010,1/1/2016,0724,SIMPLE ASSAULT,3100 BLK MADISON AVE
201650010,1/1/2016,0724,LARCENY,3100 BLK MADISON AVE
201650011,1/1/2016,0736,SIMPLE ASSAULT,200 BLK ROTUNDA CIR
201650003,1/1/2016,0800,WEAPON OFFENSE,33RD ST / ORCUTT AVE
201600011,1/1/2016,0853,THEFT FROM VEHICLE,600 BLK SEA PINE LN
201650012,1/1/2016,1025,JUVENILE - RUNAWAY,4200 BLK NEWSOME DR
201650015,1/1/2016,1046,THEFT FROM VEHICLE,0 BLK PENN CIR
201600012,1/1/2016,1050,LARCENY,600 BLK 73RD ST
201600013,1/1/2016,1056,THEFT PARTS FROM VEHICLE,500 BLK JEAN CT
201650013,1/1/2016,1114,LARCENY,800 BLK CHEYENNE DR
201600015,1/1/2016,1125,DAMAGE PROPERTY,7300 BLK ROANOKE AVE
201600016,1/1/2016,1135,TAMPERING WITH AUTO,600 BLK ELLEN RD
201650014,1/1/2016,1140,VEHICLE THEFT,300 BLK HIDENWOOD DR
201650016,1/1/2016,1218,BURGLARY/B & E,500 BLK DIPLOMAT CT
201600017,1/1/2016,1220,VEHICLE THEFT,0 BLK PENN CIR
201650018,1/1/2016,1241,SIMPLE ASSAULT,0 BLK RIVER PALMS RD
201600019,1/1/2016,1258,LEAVING THE SCENE,4200 BLK NATURE WAY
201600021,1/1/2016,1304,WEAPON OFFENSE,500 BLK KNOLLS DR
201650019,1/1/2016,1304,INTIMIDATION,800 BLK HIDDEN GLEN CT
201600021,1/1/2016,1304,DAMAGE PROPERTY,500 BLK KNOLLS DR
201600022,1/1/2016,1307,DAMAGE PROPERTY,1200 BLK TYLER AVE
201650017,1/1/2016,1345,DAMAGE PROPERTY,700 BLK 29TH ST
201650021,1/1/2016,1359,BURGLARY/B & E,1100 BLK MARSHALL PL
201600024,1/1/2016,1401,DAMAGE PROPERTY,900 BLK 17TH ST
201650020,1/1/2016,1406,PURSE SNATCHING - NO FORCE,28TH ST / WICKHAM AVE
