REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS
201600417,1/12/2016,2310,POCKET PICKING,12300 BLK JEFFERSON AVE
201601205,2/6/2016,0042,POCKET PICKING,12500 BLK JEFFERSON AVE
201601266,2/8/2016,1709,POCKET PICKING,5000 BLK MERCURY BLVD
201601931,3/6/2016,1229,POCKET PICKING,2600 BLK JEFFERSON AVE
201602297,3/18/2016,1621,POCKET PICKING,0 BLK COPELAND LN
201604034,5/16/2016,1002,POCKET PICKING,1300 BLK RADIUS WAY
201604829,6/13/2016,1219,POCKET PICKING,2600 BLK WASHINGTON AVE
201655105,6/29/2016,1856,POCKET PICKING,2300 BLK JEFFERSON AVE
201605643,7/12/2016,1155,POCKET PICKING,500 BLK J CLYDE MORRIS BLVD
201606410,8/5/2016,2149,POCKET PICKING,700 BLK TOWN CENTER DR
201608495,10/10/2016,0021,POCKET PICKING,12400 BLK JEFFERSON AVE
201609335,11/5/2016,1400,POCKET PICKING,14300 BLK WARWICK BLVD
201609409,11/8/2016,0746,POCKET PICKING,6100 BLK JEFFERSON AVE
201609662,11/16/2016,1611,POCKET PICKING,500 BLK MCLAWHORNE DR
201610650,12/20/2016,1800,POCKET PICKING,12300 BLK JEFFERSON AVE
201700051,1/3/2017,1617,POCKET PICKING,OLD OYSTER POINT RD / WILLOW GREEN DR
201700456,1/18/2017,1959,POCKET PICKING,1900 BLK JEFFERSON AVE
201700556,1/21/2017,1600,POCKET PICKING,12300 BLK JEFFERSON AVE
201700864,1/31/2017,1613,POCKET PICKING,17400 BLK WARWICK BLVD
201700952,2/3/2017,1229,POCKET PICKING,12400 BLK JEFFERSON AVE
201702271,3/19/2017,1508,POCKET PICKING,5000 BLK MERCURY BLVD
201703302,4/24/2017,1640,POCKET PICKING,12400 BLK JEFFERSON AVE
201704965,6/18/2017,1632,POCKET PICKING,300 BLK CHATHAM DR
201755058,6/26/2017,2314,POCKET PICKING,100 BLK HERITAGE WAY
201755332,7/5/2017,2149,POCKET PICKING,800 BLK 24TH ST
201730071,8/12/2017,1852,POCKET PICKING,12100 BLK JEFFERSON AVE
201730099,8/13/2017,2122,POCKET PICKING,12300 BLK JEFFERSON AVE
201731543,9/28/2017,1743,POCKET PICKING,DOMINION DR / WENDWOOD DR
201710109,10/20/2017,1059,POCKET PICKING,12000 BLK RATTLEY RD
201710116,10/22/2017,1032,POCKET PICKING,12000 BLK JEFFERSON AVE
201732695,11/3/2017,1812,POCKET PICKING,200 BLK DENBIGH BLVD
201733917,12/16/2017,1509,POCKET PICKING,11300 BLK JEFFERSON AVE
201800115,3/25/2018,1550,POCKET PICKING,11800 BLK MERCHANT`S WALK
201822826,4/20/2018,1218,POCKET PICKING,400 BLK ORIANA RD
201800527,8/14/2018,1241,POCKET PICKING,700 BLK J CLYDE MORRIS BLVD
201826629,9/20/2018,1332,POCKET PICKING,5000 BLK MERCURY BLVD
201828143,11/19/2018,0858,POCKET PICKING,12300 BLK JEFFERSON AVE
201860917,12/29/2018,1755,POCKET PICKING,900 BLK J CLYDE MORRIS BLVD
