REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650036,2016-01-02,329,OVERDOSE,900 BLK DAPHIA CIR,-76.445594,37.092728,R
201650064,2016-01-02,2340,OVERDOSE,500 BLK MIKES LN,-76.4464662,37.0178046,R
201650070,2016-01-03,500,OVERDOSE,0 BLK ROBINSON DR,-76.4616499,37.073586,R
201650195,2016-01-07,1143,OVERDOSE,14500 BLK OLD COURTHOUSE WAY,-76.5422682,37.1327238,C
201650512,2016-01-18,2246,OVERDOSE,0 BLK PORT LNDG,-76.4679308,37.0785259,R
201650527,2016-01-19,1649,OVERDOSE,400 BLK EASTWOOD DR,-76.5269879,37.1145825,R
201600660,2016-01-20,1812,OVERDOSE,900 BLK FOREST LAKE CT,-76.4229516,37.0020955,R
201650577,2016-01-21,1314,OVERDOSE,800 BLK SUNDOWN LN,-76.4714911,37.0765709,R
201650626,2016-01-22,2244,OVERDOSE,10200 BLK WARWICK BLVD,-76.4582631,37.0311148,C
201650663,2016-01-25,14,OVERDOSE,400 BLK HARPERSVILLE RD,-76.4657082,37.0593715,C
201600883,2016-01-26,2045,OVERDOSE,25TH ST / WICKHAM AVE,-76.4129986,36.9846619,C
201650701,2016-01-28,807,OVERDOSE,100 BLK RAYMOND DR,-76.5374951,37.1179359,R
201650830,2016-01-31,702,OVERDOSE,11800 BLK JEFFERSON AVE,-76.4812475,37.0858157,C
201650849,2016-01-31,2034,OVERDOSE,300 BLK DEPUTY LN,-76.5355935,37.1457008,R
201650884,2016-02-01,2105,OVERDOSE,900 BLK 20TH ST,-76.4105585,36.9807845,C
201650905,2016-02-02,1742,OVERDOSE,100 BLK SUITE LIFE CIR,-76.4890208,37.0880131,R
201650946,2016-02-04,548,OVERDOSE,200 BLK BENNS RD,-76.4570486,37.0752763,R
201650960,2016-02-04,2246,OVERDOSE,15500 BLK WARWICK BLVD,-76.556432,37.1588069,C
201650975,2016-02-05,1607,OVERDOSE,400 BLK SPRINGMONT CT,-76.533402,37.148499,R
201650977,2016-02-05,1756,OVERDOSE,1500 BLK JEFFERSON AVE,-76.4167105,36.9747287,R
