REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650010,2016-01-01 00:00:00,724.0,LARCENY,3100 BLK MADISON AVE,-76.4206635,36.9866012,R
201600012,2016-01-01 00:00:00,1050.0,LARCENY,600 BLK 73RD ST,-76.438761,37.0129492,R
201650013,2016-01-01 00:00:00,1114.0,LARCENY,800 BLK CHEYENNE DR,-76.527862,37.165634,R
201600029,2016-01-01 00:00:00,1706.0,LARCENY,800 BLK CASCADE DR,-76.560534,37.1259497,R
201600034,2016-01-01 00:00:00,2213.0,LARCENY,500 BLK LATHAM DR,-76.4530983,37.0463239,R
201600049,2016-01-02 00:00:00,1526.0,LARCENY,600 BLK HAMPTON AVE,-76.4194947,36.9788667,R
201650055,2016-01-02 00:00:00,1827.0,LARCENY,400 BLK TURLINGTON RD,-76.4975033,37.0832609,C
201650053,2016-01-02 00:00:00,1915.0,LARCENY,2700 BLK WASHINGTON AVE,-76.4311073,36.9793129,C
201600059,2016-01-03 00:00:00,5.0,LARCENY,12200 BLK JEFFERSON AVE,-76.4962531,37.1094588,C
201650074,2016-01-03 00:00:00,645.0,LARCENY,0 BLK ALPINE ST,-76.492453,37.081941,R
201600068,2016-01-03 00:00:00,1150.0,LARCENY,100 BLK RAYMOND DR,-76.5374951,37.1179359,R
201650090,2016-01-03 00:00:00,2301.0,LARCENY,700 BLK CITY CENTER BLVD,-76.4805738,37.088971,C
201650098,2016-01-04 00:00:00,854.0,LARCENY,500 BLK ST JOHNS RD,-76.5071086,37.1138949,R
201600096,2016-01-04 00:00:00,1057.0,LARCENY,10100 BLK JEFFERSON AVE,-76.4564057,37.0391284,C
201600098,2016-01-04 00:00:00,1153.0,LARCENY,13100 BLK JEFFERSON AVE,-76.5367568,37.1607763,M
201600099,2016-01-04 00:00:00,1158.0,LARCENY,800 BLK GARROW RD,-76.5570753,37.1247826,R
201600100,2016-01-04 00:00:00,1209.0,LARCENY,1000 BLK 34TH ST,-76.414654,36.99078,R
201600103,2016-01-04 00:00:00,1315.0,LARCENY,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201650126,2016-01-05 00:00:00,7.0,LARCENY,300 BLK BOULDER DR,-76.5576401,37.1605218,R
201600133,2016-01-05 00:00:00,823.0,LARCENY,5800 BLK JEFFERSON AVE,-76.4335878,37.0023942,C
201600155,2016-01-05 00:00:00,1533.0,LARCENY,300 BLK HIDEN BLVD,-76.4933703,37.0693316,C
201600157,2016-01-05 00:00:00,1621.0,LARCENY,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
201650145,2016-01-05 00:00:00,1723.0,LARCENY,16TH ST / TEEN PL,-76.4070783,36.9789839,R
201650153,2016-01-05 00:00:00,2353.0,LARCENY,200 BLK ROTUNDA CIR,-76.5454698,37.1722318,R
201600166,2016-01-06 00:00:00,200.0,LARCENY,0 BLK HERITAGE WAY,-76.520117,37.1190489,R
201600167,2016-01-06 00:00:00,314.0,LARCENY,16900 BLK WARWICK BLVD,-76.5688367,37.1748378,C
201650159,2016-01-06 00:00:00,956.0,LARCENY,100 BLK RODEO CIR,-76.5307029,37.1355496,R
201600200,2016-01-06 00:00:00,1517.0,LARCENY,10600 BLK JEFFERSON AVE,-76.4597656,37.0483428,R
