REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650135,2016-01-05 00:00:00,1245,"SEX ASSAULT, RAPE",800 BLK OLD MILL CT,-76.4675478,37.1092577,R
201650311,2016-01-11 00:00:00,1100,"SEX ASSAULT, RAPE",0 BLK HOPKINS ST,-76.4602043,37.0288854,R
201650322,2016-01-11 00:00:00,1550,"SEX ASSAULT, RAPE",500 BLK COLONY RD,-76.5457067,37.1102112,R
201650609,2016-01-22 00:00:00,918,"SEX ASSAULT, RAPE",300 BLK HIDENWOOD DR,-76.498234,37.07515,R
201650682,2016-01-25 00:00:00,2223,"SEX ASSAULT, RAPE",3100 BLK WILLIAM STYRON SQ N,-76.4875451,37.0845126,R
201601066,2016-02-01 00:00:00,1236,"SEX ASSAULT, RAPE",2100 BLK CHESTNUT AVE,-76.4041725,36.9842844,R
201650897,2016-02-02 13:30:00,1300,"SEX ASSAULT, RAPE",500 BLK WATERS EDGE DR,-76.4819915,37.08391,R
201651439,2016-02-24 00:00:00,1253,"SEX ASSAULT, RAPE",500 BLK ADAMS DR,-76.4582324,37.0550879,R
201651556,2016-02-29 00:00:00,1230,"SEX ASSAULT, RAPE",0 BLK ZENITH LOOP,-76.453803,37.0660046,R
201601781,2016-02-29 00:00:00,1302,"SEX ASSAULT, RAPE",0 BLK COLONY RD,-76.5351024,37.1135713,R
201601924,2016-03-06 00:00:00,148,"SEX ASSAULT, RAPE",6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201651759,2016-03-08 00:00:00,1846,"SEX ASSAULT, RAPE",TARRYTOWN CT,-76.4637318,37.0583342,R
201651812,2016-03-10 00:00:00,1556,"SEX ASSAULT, RAPE",700 BLK SHADWELL DR,-76.4678388,37.077934,R
201652096,2016-03-21 00:00:00,1525,"SEX ASSAULT, RAPE",1100 BLK 33RD ST,-76.4122075,36.9913475,R
201652104,2016-03-21 00:00:00,2124,"SEX ASSAULT, RAPE",3200 BLK WOODBRIDGE DR,-76.5467116,37.1705804,R
201652182,2016-03-25 00:00:00,850,"SEX ASSAULT, RAPE",700 BLK PLYMOUTH CIRCLE,-76.4834871,37.1104643,R
201652304,2016-03-28 00:00:00,1454,"SEX ASSAULT, RAPE",2600 BLK WASHINGTON AVE,-76.4305483,36.9787984,C
201652527,2016-04-06 00:00:00,1130,"SEX ASSAULT, RAPE",800 BLK HAMPTON AVE,-76.4140722,36.9810153,R
