REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650186,2016-01-07,415,ALL OTHER OFFENSES,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201600365,2016-01-11,1155,ALL OTHER OFFENSES,400 BLK INDUSTRIAL PARK DR,-76.5572338,37.1643727,C
201650489,2016-01-18,1142,ALL OTHER OFFENSES,700 BLK CITY CENTER BLVD,-76.4805738,37.088971,C
201600821,2016-01-25,230,ALL OTHER OFFENSES,0 BLK MAURY AVE,-76.4706402,37.0610926,R
201651312,2016-02-19,1414,ALL OTHER OFFENSES,1000 BLK OMNI BLVD,-76.4633177,37.0892762,C
201651318,2016-02-19,1613,ALL OTHER OFFENSES,500 BLK J CLYDE MORRIS BLVD,-76.4833383,37.0634596,O
201701629,2016-02-22,1802,ALL OTHER OFFENSES,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
201652780,2016-04-15,54,ALL OTHER OFFENSES,300 BLK GEORGETOWN LOOP,-76.54829,37.1387724,C
201603491,2016-04-28,958,ALL OTHER OFFENSES,200 BLK TYLER AVE,-76.4552948,37.0303477,R
201653169,2016-04-28,1004,ALL OTHER OFFENSES,1700 BLK CHESTNUT AVE,-76.4027983,36.9815157,R
201653242,2016-04-30,2006,ALL OTHER OFFENSES,800 BLK WEYANOKE LN,-76.5207795,37.1590395,R
201653501,2016-05-08,2117,ALL OTHER OFFENSES,1300 BLK 27TH ST,-76.4042308,36.9895218,R
201604674,2016-06-07,1406,ALL OTHER OFFENSES,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201654536,2016-06-11,1734,ALL OTHER OFFENSES,200 BLK QUARTER TRL,-76.568194,37.1691445,R
201605043,2016-06-20,1431,ALL OTHER OFFENSES,900 BLK CATALINA DR,-76.559999,37.1357404,R
201655348,2016-07-07,1545,ALL OTHER OFFENSES,500 BLK BLAND BLVD,-76.518583,37.122077,P
