REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600128,2016-01-04,2328,ANNOYING PHONE CALLS,11300 BLK WINSTON PL,-76.4707546,37.0671699,R
201600211,2016-01-06,2006,ANNOYING PHONE CALLS,2100 BLK RESERVE WAY,-76.5059961,37.1073248,R
201600254,2016-01-07,2107,ANNOYING PHONE CALLS,100 BLK RIVER MEWS DR,-76.5594122,37.1545291,R
201600322,2016-01-09,1551,ANNOYING PHONE CALLS,100 BLK LANDMARK CT,-76.5229957,37.1444922,R
201600495,2016-01-15,312,ANNOYING PHONE CALLS,400 BLK HUNTGATE CIR,-76.5010672,37.0751721,R
201600548,2016-01-16,1339,ANNOYING PHONE CALLS,7500 BLK RIVER RD,-76.4517151,37.013062,R
201600757,2016-01-22,1924,ANNOYING PHONE CALLS,100 BLK WELLESLEY DR,-76.501885,37.075325,R
201600759,2016-01-22,2323,ANNOYING PHONE CALLS,600 BLK 41ST ST,-76.4270985,36.9915786,C
201600837,2016-01-25,1130,ANNOYING PHONE CALLS,13000 BLK WARWICK BLVD,-76.5119247,37.1047618,C
201600841,2016-01-25,1333,ANNOYING PHONE CALLS,6900 BLK HUNTINGTON AVE,-76.4462152,37.0081801,R
201600846,2016-01-25,1828,ANNOYING PHONE CALLS,12200 BLK JEFFERSON AVE,-76.4962531,37.1094588,C
201600903,2016-01-27,1634,ANNOYING PHONE CALLS,300 BLK ST THOMAS DR,-76.4876604,37.0907376,R
201600905,2016-01-27,1744,ANNOYING PHONE CALLS,2500 BLK WOODBRIDGE DR,-76.5485475,37.1700108,R
201600984,2016-01-29,2023,ANNOYING PHONE CALLS,800 BLK HARPERSVILLE RD,-76.4538602,37.0831381,R
201601060,2016-02-01,1035,ANNOYING PHONE CALLS,700 BLK NANSEMOND DR,-76.4287937,37.0000221,R
201601112,2016-02-02,1630,ANNOYING PHONE CALLS,300 BLK TOWN POINTE WAY,-76.46001,37.037536,R
201601261,2016-02-08,1432,ANNOYING PHONE CALLS,900 BLK FOREST LAKE CT,-76.4229516,37.0020955,R
