REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600714,2016-01-21,1247,ARSON,500 BLK BULKELEY PL,-76.4567488,37.0323236,R
201600719,2016-01-21,1349,ARSON,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201600720,2016-01-21,1401,ARSON,600 BLK NEWMARKET DR N,-76.4417094,37.021798,C
201601303,2016-02-01,1623,ARSON,600 BLK 16TH ST,-76.4169941,36.9748781,R
201601191,2016-02-05,1522,ARSON,3600 BLK MADISON AVE,-76.4227924,36.98964,R
201601251,2016-02-08,1038,ARSON,1500 BLK ROANOKE AVE,-76.4045309,36.9790193,R
201604868,2016-02-13,1600,ARSON,500 BLK ONANCOCK TRL,-76.506895,37.1168597,C
201601787,2016-02-29,1453,ARSON,1700 BLK WARWICK MOOSE LN,-76.5047621,37.0822157,R
201651708,2016-03-06,1310,ARSON,800 BLK 36TH ST,-76.4196777,36.9906166,R
201651989,2016-03-17,914,ARSON,3300 BLK JEFFERSON AVE,-76.4244368,36.9871436,C
201652163,2016-03-24,1545,ARSON,PURLIEU DR / WOODS RD,-76.4726536,37.0784548,R
201652169,2016-03-24,1900,ARSON,39TH ST / MARSHALL AVE,-76.4212573,36.9925872,C
201652171,2016-03-24,1906,ARSON,CITY CENTER BLVD / NAT TURNER BLVD,-76.4882299,37.0863992,R
201652223,2016-03-26,1214,ARSON,400 BLK ADVOCATE CT,-76.5378794,37.1371185,R
201652227,2016-03-26,1427,ARSON,400 BLK ADVOCATE CT,-76.5378794,37.1371185,R
201652321,2016-03-29,1048,ARSON,0 BLK MINTON DR,-76.4934576,37.072922,C
201603318,2016-04-17,1400,ARSON,13200 BLK WARWICK BLVD,-76.5165735,37.1120849,C
201653042,2016-04-24,1248,ARSON,2300 BLK JEFFERSON AVE,-76.4199088,36.9795191,R
201603445,2016-04-27,715,ARSON,300 BLK 53RD ST,-76.4396101,36.9963844,R
201653658,2016-05-14,2004,ARSON,500 BLK BULKELEY PL,-76.4567488,37.0323236,R
201653723,2016-05-17,300,ARSON,100 BLK SYCAMORE AVE,-76.3940322,36.9885997,R
201604144,2016-05-19,1452,ARSON,1100 BLK 31ST ST,-76.4114238,36.9900812,R
201653873,2016-05-21,1152,ARSON,4300 BLK ROANOKE AVE,-76.41597,36.997966,R
201654079,2016-05-27,2238,ARSON,3100 BLK MADISON AVE,-76.4206635,36.9866012,R
201604840,2016-06-13,1632,ARSON,400 BLK YOUNGS MILL LN,-76.5167645,37.1107079,C
201654800,2016-06-19,1812,ARSON,900 BLK FOREST LAKE CT,-76.4229516,37.0020955,R
201605288,2016-06-28,1007,ARSON,400 BLK TURLINGTON RD,-76.4975033,37.0832609,C
201655503,2016-07-13,128,ARSON,400 BLK TURLINGTON RD,-76.4975033,37.0832609,C
201655665,2016-07-19,1638,ARSON,1300 BLK 29TH ST,-76.4053681,36.9906814,R
201655760,2016-07-23,1,ARSON,CHRISTIAN ST / WARWICK BLVD,-76.5553192,37.1549081,C
201655875,2016-07-27,429,ARSON,700 BLK BRIGSTOCK CIR,-76.4703015,37.08204,R
201656133,2016-08-04,2237,ARSON,1100 BLK GARDEN DR,-76.4020923,36.9779506,R
201607183,2016-08-29,1008,ARSON,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201657109,2016-09-05,24,ARSON,SHERWOOD PL / WARWICK BLVD,-76.5291221,37.1231168,C
201657518,2016-09-19,1300,ARSON,0 BLK WILLIAMSON PARK DR,-76.5603001,37.1633169,R
201657713,2016-09-26,2231,ARSON,9600 BLK WARWICK BLVD,-76.454596,37.02471,C
201608100,2016-09-27,1308,ARSON,GWYNN CIR / LINBROOK DR,-76.5330134,37.118228,R
201657883,2016-10-02,247,ARSON,700 BLK DARDEN DR,-76.5528025,37.1218655,R
201657946,2016-10-04,1058,ARSON,6200 BLK HILMAR PL,-76.4225465,37.0128338,R
201608959,2016-10-25,1136,ARSON,1200 BLK 23RD ST,-76.4055615,36.9860331,R
201609052,2016-10-28,57,ARSON,1300 BLK ROANOKE AVE,-76.402707,36.9779539,R
201658919,2016-11-06,1328,ARSON,0 BLK IVY FARMS RD,-76.4573192,37.0531547,R
201609614,2016-11-15,937,ARSON,300 BLK BELL KING RD,-76.4902488,37.0981078,C
201609648,2016-11-16,950,ARSON,300 BLK ADVOCATE CT,-76.5377199,37.137388,R
201609649,2016-11-16,1024,ARSON,300 BLK ADVOCATE CT,-76.5377199,37.137388,R
201609616,2016-11-16,1055,ARSON,300 BLK HIDENWOOD DR,-76.498234,37.07515,R
201659248,2016-11-17,1955,ARSON,3500 BLK JEFFERSON AVE,-76.4249043,36.9883317,C
201659549,2016-11-28,1925,ARSON,MAIN ST / TYLER AVE,-76.4581206,37.0348387,C
201659586,2016-11-29,1833,ARSON,1200 BLK 27TH ST,-76.4071644,36.9885679,C
201659899,2016-12-10,101,ARSON,300 BLK BELL KING RD,-76.4902488,37.0981078,C
201659970,2016-12-12,1317,ARSON,500 BLK HAMPTON ROADS CNTR PKWY,-76.454807,37.0646323,R
201660034,2016-12-14,1754,ARSON,24TH ST / OAK AVE,-76.403272,36.9877318,R
201660112,2016-12-17,1940,ARSON,600 BLK DRESDEN DR,-76.4632065,37.0552779,C
201660287,2016-12-23,1249,ARSON,1000 BLK 44TH ST,-76.4188994,36.9974518,R
201660406,2016-12-27,154,ARSON,500 BLK MCLAWHORNE DR,-76.4622888,37.043714,P
201750009,2017-01-01,700,ARSON,500 BLK ADAMS DR,-76.4582324,37.0550879,R
201750190,2017-01-07,2345,ARSON,20TH ST / IVY AVE,-76.4173955,36.978055,R
201750215,2017-01-09,951,ARSON,5000 BLK RESERVE WAY,-76.5056682,37.1073919,R
201750276,2017-01-11,2108,ARSON,400 BLK TURLINGTON RD,-76.4975033,37.0832609,C
201750277,2017-01-11,2135,ARSON,600 BLK 12TH ST,-76.4155096,36.9724448,M
201750816,2017-01-29,1701,ARSON,0 BLK WALNUT AVE,-76.3972285,36.9843291,R
201751147,2017-02-11,135,ARSON,500 BLK GREAT PARK DR,-76.5176398,37.152283,R
201751816,2017-03-06,1254,ARSON,700 BLK 16TH ST,-76.413994,36.9762285,P
201702553,2017-03-27,1027,ARSON,0 BLK CEDAR LN,-76.4766183,37.0410607,R
201752742,2017-04-08,1148,ARSON,3200 BLK WASHINGTON AVE,-76.432957,36.982507,C
201752894,2017-04-13,2355,ARSON,500 BLK BULKELEY PL,-76.4567488,37.0323236,R
201752965,2017-04-16,1250,ARSON,0 BLK WALNUT AVE,-76.3972285,36.9843291,R
201703300,2017-04-24,1617,ARSON,400 BLK EMPIRE CT,-76.529949,37.137854,M
201753198,2017-04-24,2215,ARSON,400 BLK EMPIRE CT,-76.529949,37.137854,M
201753423,2017-05-03,129,ARSON,700 BLK HARPERSVILLE RD,-76.4555664,37.0774046,R
201753978,2017-05-22,1900,ARSON,8000 BLK ORCUTT AVE,-76.433635,37.021658,R
201754244,2017-05-31,1540,ARSON,200 BLK DARRINGTON CT,-76.4500155,37.081498,R
