REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201602129,2016-03-12,1544,BAD CHECKS,13600 BLK JEFFERSON AVE,-76.5580035,37.1874129,P
201655629,2016-07-18,1600,BAD CHECKS,6000 BLK JEFFERSON AVE,-76.4406831,37.0144032,C
201608327,2016-10-04,1749,BAD CHECKS,14500 BLK WARWICK BLVD,-76.5380302,37.130559,C
201609805,2016-11-21,1603,BAD CHECKS,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C
201701696,2017-02-27,1447,BAD CHECKS,600 BLK PILOT HOUSE DR,-76.4780842,37.0807253,C
201754823,2017-06-19,1530,BAD CHECKS,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201725223,2017-07-13,1259,BAD CHECKS,12800 BLK JEFFERSON AVE,-76.5200872,37.1391605,C
201731530,2017-09-27,1800,BAD CHECKS,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201758599,2017-10-28,1315,BAD CHECKS,400 BLK TURLINGTON RD,-76.4975033,37.0832609,C
201824447,2018-06-27,1218,BAD CHECKS,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201824854,2018-07-13,1324,BAD CHECKS,14300 BLK WARWICK BLVD,-76.5349533,37.1275595,C
201855902,2018-07-23,1401,BAD CHECKS,12400 BLK WARWICK BLVD,-76.4922018,37.0681471,C
201827148,2018-10-08,1801,BAD CHECKS,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C
