REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650016,2016-01-01 00:00:00,1218,BURGLARY/B & E,500 BLK DIPLOMAT CT,-76.5319835,37.1510712,R
201650021,2016-01-01 00:00:00,1359,BURGLARY/B & E,1100 BLK MARSHALL PL,-76.4080858,36.9743312,R
201650045,2016-01-02 00:00:00,1245,BURGLARY/B & E,700 BLK GALAHAD DR,-76.5211688,37.1493667,R
201650047,2016-01-02 00:00:00,1510,BURGLARY/B & E,200 BLK DON EVE CT,-76.536092,37.124203,C
201650078,2016-01-03 00:00:00,1343,BURGLARY/B & E,5100 BLK MARSHALL AVE,-76.4230512,37.0017377,R
201650080,2016-01-03 00:00:00,1450,BURGLARY/B & E,4300 BLK NEWSOME DR,-76.4191239,36.9963951,R
201650087,2016-01-03 00:00:00,1950,BURGLARY/B & E,600 BLK 12TH ST,-76.4155096,36.9724448,M
201650089,2016-01-03 00:00:00,2148,BURGLARY/B & E,300 BLK POST CANYON CT,-76.5481228,37.1350542,R
201650102,2016-01-04 00:00:00,1256,BURGLARY/B & E,10100 BLK WARWICK BLVD,-76.4570745,37.0294432,C
201650110,2016-01-04 00:00:00,1413,BURGLARY/B & E,700 BLK ADAMS DR,-76.4601433,37.0567194,P
201650116,2016-01-04 00:00:00,1819,BURGLARY/B & E,100 BLK RANCH DR,-76.5300555,37.134951,R
201650111,2016-01-04 00:00:00,1906,BURGLARY/B & E,400 BLK EASTWOOD DR,-76.5269879,37.1145825,R
201650118,2016-01-04 00:00:00,1925,BURGLARY/B & E,500 BLK BULKELEY PL,-76.4567488,37.0323236,R
201650126,2016-01-05 00:00:00,7,BURGLARY/B & E,300 BLK BOULDER DR,-76.5576401,37.1605218,R
201650146,2016-01-05 00:00:00,1945,BURGLARY/B & E,1100 BLK BLACKWATER WAY,-76.4824103,37.0800222,R
201650148,2016-01-05 00:00:00,2149,BURGLARY/B & E,200 BLK ASHRIDGE LN,-76.5184757,37.1014395,R
201650152,2016-01-05 00:00:00,2357,BURGLARY/B & E,600 BLK TODD TRL,-76.5070914,37.106972,R
