REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600118,2016-01-04 00:00:00,1541,CPS REFERRAL,800 BLK HIDDEN GLEN CT,-76.5497802,37.1351483,R
201600148,2016-01-05 00:00:00,1316,CPS REFERRAL,600 BLK SEA TURTLE WAY,-76.4481518,37.0693044,R
201600217,2016-01-07 00:00:00,805,CPS REFERRAL,1700 BLK WOODBRIDGE DR,-76.54704,37.1679794,R
201600218,2016-01-07 00:00:00,847,CPS REFERRAL,400 BLK INDUSTRIAL PARK DR,-76.5572338,37.1643727,C
201600369,2016-01-11 00:00:00,1354,CPS REFERRAL,600 BLK MCLAW DR,-76.5669171,37.1681303,R
201600506,2016-01-15 00:00:00,831,CPS REFERRAL,1100 BLK 22ND ST,-76.4078523,36.9843179,R
201600528,2016-01-15 00:00:00,1319,CPS REFERRAL,17300 BLK WARWICK BLVD,-76.5707002,37.185432,P
201600600,2016-01-19 00:00:00,1040,CPS REFERRAL,700 BLK FAWN LN,-76.4612342,37.0990658,R
201600743,2016-01-22 00:00:00,1049,CPS REFERRAL,2000 BLK CHESTNUT AVE,-76.4039687,36.9834045,R
201600877,2016-01-26 00:00:00,1639,CPS REFERRAL,700 BLK BROOKSIDE DR,-76.4969158,37.1174225,R
201601346,2016-02-11 00:00:00,1527,CPS REFERRAL,12700 BLK JEFFERSON AVE,-76.5184453,37.1374683,C
201601376,2016-02-12 00:00:00,1418,CPS REFERRAL,300 BLK HIDENWOOD DR,-76.498234,37.07515,R
201601648,2016-02-23 00:00:00,1422,CPS REFERRAL,200 BLK CAPTAINS LN,-76.5456029,37.1005571,R
201601774,2016-02-29 00:00:00,1004,CPS REFERRAL,300 BLK FLORA DR,-76.5465672,37.1260567,R
201601943,2016-03-07 00:00:00,759,CPS REFERRAL,800 BLK 25TH ST,-76.4156773,36.9835973,R
201602047,2016-03-10 09:01:00,912,CPS REFERRAL,600 BLK ASHFORD PL,-76.5516011,37.1227578,R
201602165,2016-03-11 00:00:00,759,CPS REFERRAL,500 BLK CORAL KEY PL,-76.4906507,37.0994311,R
201602382,2016-03-22 00:00:00,1529,CPS REFERRAL,700 BLK HARPERSVILLE RD,-76.4555664,37.0774046,R
201602413,2016-03-23 00:00:00,1531,CPS REFERRAL,200 BLK STARDUST CIR,-76.5322437,37.1351493,R
201602653,2016-03-31 00:00:00,1407,CPS REFERRAL,1900 BLK JEFFERSON AVE,-76.4180065,36.97706,C
201602853,2016-04-07 00:00:00,244,CPS REFERRAL,600 BLK 21ST ST,-76.4190806,36.9781906,C
201602863,2016-04-07 00:00:00,1507,CPS REFERRAL,1500 BLK ROANOKE AVE,-76.4045309,36.9790193,R
201602885,2016-04-08 00:00:00,942,CPS REFERRAL,0 BLK HARPERSVILLE RD,-76.4577028,37.0732602,R
201603779,2016-05-06 00:00:00,1204,CPS REFERRAL,600 BLK 21ST ST,-76.4190806,36.9781906,C
201603866,2016-05-10 00:00:00,1045,CPS REFERRAL,700 BLK ADAMS DR,-76.4601433,37.0567194,P
201603976,2016-05-11 00:00:00,336,CPS REFERRAL,100 BLK DOGWOOD DR,-76.4992476,37.048526,R
201603920,2016-05-11 00:00:00,1241,CPS REFERRAL,100 BLK MENCHVILLE RD,-76.5236793,37.1079854,R
201603984,2016-05-13 00:00:00,1442,CPS REFERRAL,9700 BLK JEFFERSON AVE,-76.4505536,37.0291733,C
201604163,2016-05-20 00:00:00,1137,CPS REFERRAL,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
