REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600001,2016-01-01,132,CURFEW,41ST / ORCUT,-76.4178078,36.9955085,R
201600002,2016-01-01,136,CURFEW,41ST ST / ORCUTT AVE,-76.4178078,36.9955085,R
201600004,2016-01-01,139,CURFEW,41ST ST / ORCUTT AVE,-76.4178078,36.9955085,R
201600005,2016-01-01,141,CURFEW,41ST ST / ORCUTT AVE,-76.4178078,36.9955085,R
201600257,2016-01-07,2316,CURFEW,100 BLK 34TH ST,-76.4355555,36.9828616,C
201600258,2016-01-07,2324,CURFEW,100 BLK 34TH ST,-76.4355555,36.9828616,C
201600259,2016-01-07,2329,CURFEW,100 BLK 34TH ST,-76.4355555,36.9828616,C
201600260,2016-01-07,2336,CURFEW,100 BLK 34TH ST,-76.4355555,36.9828616,C
201600557,2016-01-17,203,CURFEW,BLUE POINT TER / WATERMAN DR,-76.4970912,37.1023143,R
201650684,2016-01-25,2343,CURFEW,23RD ST / MARSHALL AVE,-76.4149057,36.982307,R
201600886,2016-01-27,42,CURFEW,700 BLK 22ND ST,-76.4171683,36.9806033,R
201650732,2016-01-27,2222,CURFEW,18TH ST / IVY AVE,-76.4160752,36.9768536,R
201650764,2016-01-29,112,CURFEW,REBEL ST / WARWICK BLVD,-76.448956,37.0152656,C
201651002,2016-02-06,106,CURFEW,400 BLK CATINA WAY,-76.5272024,37.1343761,R
201601412,2016-02-14,117,CURFEW,HARPERSVILLE RD / WOODS RD,-76.4616225,37.0622656,R
201651352,2016-02-21,2255,CURFEW,12800 BLK JEFFERSON AVE,-76.5200872,37.1391605,C
201601657,2016-02-24,327,CURFEW,48TH ST / ROANOKE AVE,-76.4181593,37.0009314,M
201651509,2016-02-27,500,CURFEW,HARPERSVILLE RD / TERRACE DR,-76.4593427,37.0636742,R
201601761,2016-02-28,412,CURFEW,2700 BLK MARSHALL AVE,-76.416489,36.9848694,R
201651677,2016-03-04,2345,CURFEW,ALPINE ST / WARWICK BLVD,-76.4977584,37.0817378,C
201602138,2016-03-13,507,CURFEW,10000 BLK JEFFERSON AVE,-76.4559738,37.0388159,C
201602139,2016-03-13,515,CURFEW,10000 BLK JEFFERSON AVE,-76.4559738,37.0388159,C
201651956,2016-03-16,27,CURFEW,700 BLK BRIGSTOCK CIR,-76.4703015,37.08204,R
201602490,2016-03-26,30,CURFEW,MARSHALL AVE / TIMBER DR,-76.4259883,37.0002662,R
201607046,2016-03-28,2358,CURFEW,600 BLK 41ST ST,-76.4270985,36.9915786,C
201602707,2016-04-02,158,CURFEW,2600 BLK JEFFERSON AVE,-76.42135,36.9825725,C
201652441,2016-04-03,141,CURFEW,ATKINSON WAY / WARWICK BLVD,-76.552617,37.1489789,P
201652465,2016-04-03,2306,CURFEW,DENBIGH BLVD / OLD COURTHOUSE WAY,-76.5395813,37.1279074,C
201652492,2016-04-05,50,CURFEW,2600 BLK JEFFERSON AVE,-76.42135,36.9825725,C
201652546,2016-04-07,200,CURFEW,300 BLK OYSTER POINT RD,-76.5109083,37.1035132,C
201602938,2016-04-09,2327,CURFEW,26TH ST / JEFFERSON AVE,-76.4214933,36.9820849,C
201652630,2016-04-10,48,CURFEW,800 BLK 21ST ST,-76.4136628,36.9803577,R
201602939,2016-04-10,56,CURFEW,5000 BLK JEFFERSON AVE,-76.4307743,36.9976504,C
201652688,2016-04-11,2230,CURFEW,400 BLK ORIANA RD,-76.5382867,37.1301158,C
201603262,2016-04-20,2304,CURFEW,DENBIGH BLVD / WARWICK BLVD,-76.5370096,37.1291369,C
201653121,2016-04-27,129,CURFEW,500 BLK HEATHERWOOD LOOP,-76.524248,37.122819,R
201653247,2016-04-30,2333,CURFEW,400 BLK GOOSE CIR,-76.5616122,37.1568253,R
201653255,2016-05-01,938,CURFEW,800 BLK 22ND ST,-76.4141492,36.9818046,R
201603736,2016-05-04,1,CURFEW,28TH ST / ROANOKE AVE,-76.4102574,36.9881508,R
201653612,2016-05-13,211,CURFEW,18TH ST / IVY AVE,-76.4160752,36.9768536,R
201653667,2016-05-15,52,CURFEW,15400 BLK WARWICK BLVD,-76.5518298,37.1485437,C
201654333,2016-06-05,333,CURFEW,600 BLK RIDLEY CIR,-76.415361,36.974885,R
201654751,2016-06-17,2351,CURFEW,CRUTCHFIELD DR / DELMAR LN,-76.526444,37.1251229,R
201605009,2016-06-19,15,CURFEW,300 BLK MAIN ST,-76.4578225,37.0346149,C
201654835,2016-06-20,2257,CURFEW,13TH ST / WICKHAM AVE,-76.4076675,36.9760404,R
201654841,2016-06-21,338,CURFEW,OYSTER POINT RD / WARWICK BLVD,-76.5119889,37.1039798,C
201605201,2016-06-25,11,CURFEW,OLD COURTHOUSE WAY / ORIANA RD,-76.5407878,37.1291142,C
201654995,2016-06-26,42,CURFEW,0 BLK RIVER PALMS RD,-76.5588686,37.1545128,R
201654996,2016-06-26,46,CURFEW,300 BLK ST THOMAS DR,-76.4876604,37.0907376,R
201655050,2016-06-27,2306,CURFEW,CHARLES ST / LEES MILL DR,-76.5675294,37.1684995,R
201655250,2016-07-04,45,CURFEW,BEECHMONT DR / WARWICK BLVD,-76.5451187,37.1362141,C
201655274,2016-07-05,414,CURFEW,14500 BLK JEFFERSON AVE,-76.5737527,37.2079632,C
201655332,2016-07-07,34,CURFEW,3200 BLK WOODBRIDGE DR,-76.5467116,37.1705804,R
201655445,2016-07-11,312,CURFEW,9200 BLK WARWICK BLVD,-76.4510305,37.0195027,C
201605672,2016-07-13,246,CURFEW,0 BLK OXFORD RD,-76.476839,37.07568,R
201655529,2016-07-14,144,CURFEW,700 BLK 16TH ST,-76.413994,36.9762285,P
201655530,2016-07-14,330,CURFEW,800 BLK 33RD ST,-76.4188552,36.9887126,R
