REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600008,2016-01-01,351,DAMAGE PROPERTY,400 BLK YOUNGS MILL LN,-76.5167645,37.1107079,C
201600015,2016-01-01,1125,DAMAGE PROPERTY,7300 BLK ROANOKE AVE,-76.4282013,37.0175954,R
201600021,2016-01-01,1304,DAMAGE PROPERTY,500 BLK KNOLLS DR,-76.516655,37.1187651,R
201600022,2016-01-01,1307,DAMAGE PROPERTY,1200 BLK TYLER AVE,-76.4674902,37.0500375,R
201650017,2016-01-01,1345,DAMAGE PROPERTY,700 BLK 29TH ST,-76.419941,36.985094,R
201600024,2016-01-01,1401,DAMAGE PROPERTY,900 BLK 17TH ST,-76.4089671,36.9797947,R
201600026,2016-01-01,1520,DAMAGE PROPERTY,400 BLK MORRISON AVE,-76.4621489,37.0493371,R
201650023,2016-01-01,1522,DAMAGE PROPERTY,400 BLK MORRISON AVE,-76.4621489,37.0493371,R
201600031,2016-01-01,1933,DAMAGE PROPERTY,600 BLK 49TH ST,-76.4302542,36.9966904,C
201650025,2016-01-01,2000,DAMAGE PROPERTY,1000 BLK 29TH ST,-76.4129888,36.9878483,P
201600003,2016-01-01,2004,DAMAGE PROPERTY,1500 BLK IVY AVE,-76.4136711,36.9746734,P
201650030,2016-01-01,2145,DAMAGE PROPERTY,12000 BLK WATERMAN DR,-76.4971212,37.1019088,R
201600046,2016-01-02,1321,DAMAGE PROPERTY,700 BLK APRIL LN,-76.4586365,37.0589418,R
201600047,2016-01-02,1421,DAMAGE PROPERTY,11700 BLK JEFFERSON AVE,-76.4747446,37.0755734,C
201600050,2016-01-02,1625,DAMAGE PROPERTY,600 BLK VILLAGE GREEN PKWY,-76.4832416,37.1103078,R
201600052,2016-01-02,1729,DAMAGE PROPERTY,300 BLK GEORGETOWN LOOP,-76.54829,37.1387724,C
201650056,2016-01-02,1938,DAMAGE PROPERTY,800 BLK LAFAYETTE TER,-76.4523418,37.0389591,R
201600058,2016-01-02,2201,DAMAGE PROPERTY,700 BLK 28TH ST,-76.4195776,36.9844473,R
201650066,2016-01-03,16,DAMAGE PROPERTY,600 BLK HAMPTON AVE,-76.4194947,36.9788667,R
201650071,2016-01-03,503,DAMAGE PROPERTY,600 BLK GLOUCESTER DR,-76.4322095,37.001574,R
201600064,2016-01-03,930,DAMAGE PROPERTY,400 BLK WYN DR,-76.5540533,37.1586517,R
201600065,2016-01-03,1027,DAMAGE PROPERTY,1300 BLK WICKHAM AVE,-76.4074726,36.9763051,R
201650076,2016-01-03,1223,DAMAGE PROPERTY,100 BLK NEWMARKET SQ,-76.4418021,37.0185327,C
201600075,2016-01-03,1615,DAMAGE PROPERTY,100 BLK MENCHVILLE RD,-76.5236793,37.1079854,R
201650090,2016-01-03,2301,DAMAGE PROPERTY,700 BLK CITY CENTER BLVD,-76.4805738,37.088971,C
201650092,2016-01-04,23,DAMAGE PROPERTY,11800 BLK MERCHANTS WALK,-76.473977,37.085531,C
201600086,2016-01-04,225,DAMAGE PROPERTY,300 BLK DOMINION DR,-76.5039745,37.1012112,R
201600089,2016-01-04,632,DAMAGE PROPERTY,400 BLK ASHWAY CV,-76.5024661,37.0971001,R
201650096,2016-01-04,647,DAMAGE PROPERTY,900 BLK LUCAS CREEK RD,-76.5498805,37.136374,C
201600091,2016-01-04,744,DAMAGE PROPERTY,400 BLK ASHWAY CV,-76.5024661,37.0971001,R
201600104,2016-01-04,1338,DAMAGE PROPERTY,800 BLK CONSTANCE DR,-76.4550579,37.083409,R
201600112,2016-01-04,1501,DAMAGE PROPERTY,600 BLK HAMPTON AVE,-76.4194947,36.9788667,R
201600124,2016-01-04,1850,DAMAGE PROPERTY,600 BLK 9TH ST,-76.4120518,36.9712305,R
201600125,2016-01-04,2017,DAMAGE PROPERTY,100 BLK TERRI BETH PL,-76.52687,37.0979732,R
201600135,2016-01-05,852,DAMAGE PROPERTY,0 BLK ST EGNATIOS DR,-76.4473074,37.090418,R
201600155,2016-01-05,1533,DAMAGE PROPERTY,300 BLK HIDEN BLVD,-76.4933703,37.0693316,C
201600160,2016-01-05,1722,DAMAGE PROPERTY,600 BLK KATES TRACE CIR,-76.547386,37.1713079,R
201650151,2016-01-05,2211,DAMAGE PROPERTY,800 BLK 25TH ST,-76.4156773,36.9835973,R
201650155,2016-01-06,118,DAMAGE PROPERTY,800 BLK 20TH ST,-76.4132746,36.979719,R
201600175,2016-01-06,724,DAMAGE PROPERTY,100 BLK SUN HAVEN CT,-76.5595283,37.1556437,R
201600185,2016-01-06,1043,DAMAGE PROPERTY,700 BLK 26TH ST,-76.4187957,36.9831566,R
201600202,2016-01-06,1655,DAMAGE PROPERTY,300 BLK WILTSHIRE CRES,-76.519997,37.1589068,R
201600213,2016-01-06,2142,DAMAGE PROPERTY,15400 BLK WARWICK BLVD,-76.5518298,37.1485437,C
201650187,2016-01-07,706,DAMAGE PROPERTY,800 BLK PELHAM DR,-76.5182257,37.1533374,R
201600224,2016-01-07,944,DAMAGE PROPERTY,200 BLK KINGSMAN DR,-76.5555513,37.1343412,R
201600225,2016-01-07,956,DAMAGE PROPERTY,800 BLK 33RD ST,-76.4188552,36.9887126,R
201650198,2016-01-07,1311,DAMAGE PROPERTY,100 BLK LANDS END LN,-76.5631537,37.1563514,R
201600248,2016-01-07,1630,DAMAGE PROPERTY,400 BLK MANOR RD,-76.5453941,37.1368522,C
201650224,2016-01-08,1309,DAMAGE PROPERTY,28TH ST / ROANOKE AVE,-76.4102574,36.9881508,R
201650228,2016-01-08,1441,DAMAGE PROPERTY,500 BLK CATINA WAY,-76.526701,37.133994,R
201600282,2016-01-08,1456,DAMAGE PROPERTY,100 BLK LONG BRIDGE WAY,-76.5605284,37.1553944,R
201650232,2016-01-08,1611,DAMAGE PROPERTY,0 BLK EVERETT DR,-76.5434555,37.0972483,R
201650234,2016-01-08,1748,DAMAGE PROPERTY,200 BLK HAWSER BEND,-76.5151341,37.0746345,R
201650249,2016-01-09,155,DAMAGE PROPERTY,0 BLK TRAVERSE RD,-76.4580576,37.0947029,C
201600304,2016-01-09,514,DAMAGE PROPERTY,400 BLK MANOR RD,-76.5453941,37.1368522,C
201650254,2016-01-09,742,DAMAGE PROPERTY,0 BLK GUENEVERE CT,-76.465044,37.098,R
201600309,2016-01-09,1056,DAMAGE PROPERTY,100 BLK WOODLAND DR,-76.493224,37.0446162,R
201650277,2016-01-10,38,DAMAGE PROPERTY,500 BLK DIPLOMAT CT,-76.5319835,37.1510712,R
201600333,2016-01-10,558,DAMAGE PROPERTY,800 BLK CHEYENNE DR,-76.527862,37.165634,R
201650284,2016-01-10,943,DAMAGE PROPERTY,600 BLK DRESDEN DR,-76.4632065,37.0552779,C
201650297,2016-01-10,1818,DAMAGE PROPERTY,100 BLK RIVERMONT DR,-76.4569715,37.0285671,C
201650296,2016-01-10,1840,DAMAGE PROPERTY,1100 BLK COUNTRY CLUB RD,-76.4968822,37.0551666,P
201600349,2016-01-10,1928,DAMAGE PROPERTY,0 BLK MUSEUM DR,-76.4880841,37.0551904,P
201650301,2016-01-10,1939,DAMAGE PROPERTY,0 BLK CLAY DR,-76.4975376,37.1008726,M
201650305,2016-01-10,2145,DAMAGE PROPERTY,1100 BLK 74TH ST,-76.4285857,37.0178481,R
201600353,2016-01-10,2318,DAMAGE PROPERTY,0 BLK DORSEY RD,-76.481754,37.0782839,R
201600356,2016-01-11,355,DAMAGE PROPERTY,600 BLK MCLAW DR,-76.5669171,37.1681303,R
201650281,2016-01-11,600,DAMAGE PROPERTY,1300 BLK ROANOKE AVE,-76.402707,36.9779539,R
201600359,2016-01-11,839,DAMAGE PROPERTY,1000 BLK 78TH ST,-76.4328239,37.0198932,R
201650314,2016-01-11,918,DAMAGE PROPERTY,12500 BLK WARWICK BLVD,-76.4941434,37.0762992,C
201650316,2016-01-11,1103,DAMAGE PROPERTY,13100 BLK WARWICK BLVD,-76.5152353,37.109277,R
201650318,2016-01-11,1245,DAMAGE PROPERTY,7100 BLK WARWICK BLVD,-76.4460483,37.0108875,C
