REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650040,2016-01-02,1300,DECEASED PERSON,0 BLK CLAY DR,-76.4975376,37.1008726,M
201650081,2016-01-03,1507,DECEASED PERSON,2900 BLK WASHINGTON AVE,-76.431633,36.9809018,C
201650093,2016-01-03,2259,DECEASED PERSON,500 BLK J CLYDE MORRIS BLVD,-76.4833383,37.0634596,O
201650165,2016-01-06,1146,DECEASED PERSON,700 BLK BRIARFIELD RD,-76.4306793,37.0079336,R
201650166,2016-01-06,1238,DECEASED PERSON,0 BLK CHURCH RD,-76.5109263,37.0806103,R
201650190,2016-01-07,1024,DECEASED PERSON,1000 BLK 77TH ST,-76.4316669,37.0190765,R
201600368,2016-01-11,1314,DECEASED PERSON,300 BLK SPLIT RAIL CIR,-76.520671,37.131969,R
201650337,2016-01-12,1554,DECEASED PERSON,10700 BLK JEFFERSON AVE,-76.4602602,37.0502582,C
201650386,2016-01-14,742,DECEASED PERSON,700 BLK FLAGSHIP DR,-76.5334038,37.1712107,R
201650402,2016-01-14,2114,DECEASED PERSON,300 BLK PARKWAY DR,-76.4955044,37.0532169,R
201650483,2016-01-18,243,DECEASED PERSON,1100 BLK 25TH ST,-76.4090321,36.9862371,R
201650485,2016-01-18,857,DECEASED PERSON,600 BLK AYLESBURY DR,-76.5156251,37.1632974,R
201650499,2016-01-18,1719,DECEASED PERSON,10900 BLK WARWICK BLVD,-76.471898,37.0426048,C
201650572,2016-01-21,901,DECEASED PERSON,300 BLK MAJESTIC CT,-76.5025672,37.0749546,R
201650623,2016-01-22,2201,DECEASED PERSON,900 BLK FOREST LAKE CT,-76.4229516,37.0020955,R
201650652,2016-01-24,1425,DECEASED PERSON,1200 BLK 21ST ST,-76.4043321,36.9840574,R
201650692,2016-01-26,1350,DECEASED PERSON,400 BLK COX LNDG,-76.549394,37.150901,R
201650746,2016-01-28,1156,DECEASED PERSON,0 BLK RIVERLANDS DR,-76.4393035,37.0160727,R
201650773,2016-01-29,1435,DECEASED PERSON,900 BLK RED OAK CIR,-76.5246331,37.1586534,R
201650818,2016-01-30,1600,DECEASED PERSON,200 BLK MAPLE AVE,-76.3942153,36.9912722,R
201650817,2016-01-30,1847,DECEASED PERSON,0 BLK WENDFIELD CIR,-76.4543924,37.096111,R
201650840,2016-01-31,1356,DECEASED PERSON,600 BLK HARPERSVILLE RD,-76.4567606,37.0706107,R
201650861,2016-02-01,724,DECEASED PERSON,1000 BLK OMNI BLVD,-76.4633177,37.0892762,C
201650867,2016-02-01,1130,DECEASED PERSON,0 BLK RIVERLANDS DR,-76.4393035,37.0160727,R
201650896,2016-02-02,1551,DECEASED PERSON,12600 BLK DAYBREAK CIR,-76.5130833,37.1386073,M
201601123,2016-02-03,50,DECEASED PERSON,0 BLK RIVERLANDS DR,-76.4393035,37.0160727,R
201650917,2016-02-03,644,DECEASED PERSON,600 BLK 44TH ST,-76.423668,36.993707,C
201650946,2016-02-04,548,DECEASED PERSON,200 BLK BENNS RD,-76.4570486,37.0752763,R
201651039,2016-02-07,1638,DECEASED PERSON,5900 BLK MARSHALL AVE,-76.4304805,37.0082217,R
201651040,2016-02-07,2050,DECEASED PERSON,200 BLK FIELD STONE LN,-76.5212675,37.1306662,R
201601286,2016-02-09,1243,DECEASED PERSON,0 BLK COPELAND LN,-76.4773971,37.0529653,P
201651129,2016-02-11,1150,DECEASED PERSON,11100 BLK JEFFERSON AVE,-76.4633659,37.057511,R
201651136,2016-02-11,1652,DECEASED PERSON,0 BLK MINTON DR,-76.4934576,37.072922,C
201651146,2016-02-12,1031,DECEASED PERSON,100 BLK CHEROKEE DR,-76.5065777,37.1351619,M
201651183,2016-02-14,1212,DECEASED PERSON,1000 BLK 26TH ST.,-76.4118525,36.9859147,R
201601438,2016-02-15,1311,DECEASED PERSON,900 BLK SOUTH AVE,-76.4462176,37.0288031,R
201651243,2016-02-16,2110,DECEASED PERSON,1100 BLK 22ND ST,-76.4078523,36.9843179,R
201601502,2016-02-17,716,DECEASED PERSON,2100 BLK CHESTNUT AVE,-76.4041725,36.9842844,R
201651382,2016-02-22,754,DECEASED PERSON,100 BLK BINNACLE DR,-76.5528882,37.1144821,R
201651413,2016-02-23,1234,DECEASED PERSON,400 BLK WAVERLY PL,-76.5168204,37.159081,R
201651419,2016-02-23,1723,DECEASED PERSON,300 BLK WENDWOOD DR,-76.5098242,37.1014134,R
201601660,2016-02-24,636,DECEASED PERSON,700 BLK 22ND ST,-76.4171683,36.9806033,R
201651511,2016-02-27,1232,DECEASED PERSON,200 BLK BENTLEY DR,-76.5533858,37.1228753,R
201651518,2016-02-27,1546,DECEASED PERSON,100 BLK RUSTON DR,-76.52867,37.1254946,R
201651525,2016-02-27,2129,DECEASED PERSON,0 BLK GREAT OAK CIR,-76.4665909,37.078466,R
201651632,2016-03-03,1030,DECEASED PERSON,700 BLK PENINSULA DR,-76.4295674,37.0011426,R
201651650,2016-03-04,735,DECEASED PERSON,0 BLK MILLER RD,-76.5489782,37.1052566,R
201651655,2016-03-04,1244,DECEASED PERSON,1000 BLK 22ND ST,-76.410235,36.9833663,R
201651729,2016-03-07,240,DECEASED PERSON,200 BLK 53RD ST,-76.4405071,36.9960384,R
201651738,2016-03-07,1739,DECEASED PERSON,12700 BLK NETTLES DR,-76.4958828,37.0902241,R
201651753,2016-03-08,1006,DECEASED PERSON,900 BLK CHERRY CREEK DR,-76.5408979,37.1728056,R
201651776,2016-03-09,1147,DECEASED PERSON,6000 BLK JEFFERSON AVE,-76.4406831,37.0144032,C
201651790,2016-03-09,1900,DECEASED PERSON,900 BLK 17TH ST,-76.4089671,36.9797947,R
201602052,2016-03-10,1117,DECEASED PERSON,0 BLK WATERVIEW DR,-76.5681938,37.1279174,R
201651852,2016-03-12,906,DECEASED PERSON,200 BLK NADINE PL,-76.4530743,37.0814834,R
201651921,2016-03-15,841,DECEASED PERSON,500 BLK CATINA WAY,-76.526701,37.133994,R
201602230,2016-03-16,1146,DECEASED PERSON,100 BLK BINNACLE DR,-76.5528882,37.1144821,R
201652109,2016-03-22,611,DECEASED PERSON,100 BLK RUSTON DR,-76.52867,37.1254946,R
201652111,2016-03-22,1038,DECEASED PERSON,5900 BLK POTOMAC AVE,-76.415465,37.010227,R
201652137,2016-03-23,1850,DECEASED PERSON,700 BLK J CLYDE MORRIS BLVD,-76.4667135,37.0765421,C
201652186,2016-03-25,1222,DECEASED PERSON,400 BLK GOOSE CIR,-76.5616122,37.1568253,R
201652201,2016-03-25,1952,DECEASED PERSON,700 BLK ANTRIM DR,-76.4600028,37.0605023,R
201652232,2016-03-26,1606,DECEASED PERSON,0 BLK WELLESLEY DR,-76.499258,37.07693,R
201652317,2016-03-29,452,DECEASED PERSON,700 BLK 34TH ST,-76.4219303,36.9882796,R
201602587,2016-03-29,1441,DECEASED PERSON,900 BLK ETNA DR,-76.5620723,37.1354337,R
201652372,2016-03-31,1052,DECEASED PERSON,500 BLK ST MICHAELS WAY,-76.4824136,37.0810278,R
201652425,2016-04-02,1749,DECEASED PERSON,0 BLK MAPLE AVE,-76.3966151,36.9927853,R
201652498,2016-04-05,1032,DECEASED PERSON,900 BLK WILLOW PT,-76.4853079,37.1230361,R
201602832,2016-04-06,1247,DECEASED PERSON,0 BLK FRANCES ST,-76.4733483,37.0631143,R
201602838,2016-04-06,1506,DECEASED PERSON,800 BLK DAPHIA CIR,-76.4468548,37.091124,R
201602925,2016-04-09,1511,DECEASED PERSON,1100 BLK 78TH ST,-76.4306825,37.0207045,R
201652675,2016-04-11,1529,DECEASED PERSON,0 BLK LYLISTON LN,-76.455311,37.0498658,R
201652679,2016-04-11,1735,DECEASED PERSON,200 BLK MALDEN LN,-76.5438768,37.1042676,R
201652684,2016-04-11,2204,DECEASED PERSON,600 BLK 27TH ST,-76.4216395,36.9826044,C
201652752,2016-04-14,900,DECEASED PERSON,3700 BLK HUNTINGTON AVE,-76.4331472,36.9863712,C
201652758,2016-04-14,1047,DECEASED PERSON,1100 BLK 80TH ST,-76.4316922,37.0221737,R
201652782,2016-04-15,829,DECEASED PERSON,800 BLK SUNDOWN LN,-76.4714911,37.0765709,R
201652801,2016-04-15,1850,DECEASED PERSON,500 BLK BIG FORREST CT,-76.541722,37.135251,R
201652831,2016-04-17,133,DECEASED PERSON,400 BLK COTTONWOOD ST,-76.525419,37.1590206,R
201652925,2016-04-20,808,DECEASED PERSON,1200 BLK 22ND ST,-76.4051545,36.9853922,R
201652943,2016-04-20,2122,DECEASED PERSON,300 BLK HILLTOP DR,-76.5718739,37.1851068,R
201653040,2016-04-24,1030,DECEASED PERSON,0 BLK CHOWAN PL,-76.5247464,37.1585836,R
201653125,2016-04-27,725,DECEASED PERSON,200 BLK WOODHAVEN RD,-76.5472539,37.1540215,R
201653143,2016-04-27,1628,DECEASED PERSON,100 BLK BEECHMONT DR,-76.568292,37.1311217,R
201653164,2016-04-28,146,DECEASED PERSON,0 BLK HOOPES RD,-76.5416743,37.1262048,R
201653177,2016-04-28,1237,DECEASED PERSON,900 BLK DAPHIA CIR,-76.445594,37.092728,R
201653182,2016-04-28,1727,DECEASED PERSON,700 BLK AUSTIN CT,-76.4377326,37.0162808,R
201653262,2016-05-01,1151,DECEASED PERSON,500 BLK WOODS RD,-76.466687,37.068777,R
201653368,2016-05-04,1527,DECEASED PERSON,400 BLK GOOSE CIR,-76.5616122,37.1568253,R
201653381,2016-05-04,2317,DECEASED PERSON,600 BLK LIVE OAK LN,-76.5110386,37.1136647,R
201653415,2016-05-06,721,DECEASED PERSON,100 BLK TREELAND CT,-76.5216884,37.1464053,R
201653423,2016-05-06,1151,DECEASED PERSON,700 BLK ROCK CREST CT,-76.4968313,37.1163914,R
201653485,2016-05-08,1441,DECEASED PERSON,500 BLK MULLER LN,-76.4901961,37.0925844,M
201653548,2016-05-10,1910,DECEASED PERSON,400 BLK WAVERLY PL,-76.5168204,37.159081,R
201653551,2016-05-10,2009,DECEASED PERSON,100 BLK KENILWORTH DR,-76.5006972,37.0763969,R
201653568,2016-05-11,1512,DECEASED PERSON,300 BLK WATERFOWL LN,-76.5264417,37.0891269,R
201603952,2016-05-12,1510,DECEASED PERSON,0 BLK RIVERLANDS DR,-76.4393035,37.0160727,R
201653648,2016-05-14,1800,DECEASED PERSON,1200 BLK 16TH ST,-76.4022041,36.9806733,R
201653675,2016-05-15,807,DECEASED PERSON,0 BLK BONITA DR,-76.5358915,37.1049489,R
201653702,2016-05-16,928,DECEASED PERSON,100 BLK CENTER AVE,-76.4581125,37.0208091,R
201653732,2016-05-17,1006,DECEASED PERSON,500 BLK BIG FORREST CT,-76.541722,37.135251,R
201653756,2016-05-18,605,DECEASED PERSON,0 BLK WATERVIEW DR,-76.5681938,37.1279174,R
201653767,2016-05-18,1943,DECEASED PERSON,300 BLK 34TH ST,-76.4320164,36.9842673,C
201653796,2016-05-19,510,DECEASED PERSON,1200 BLK TYLER AVE,-76.4674902,37.0500375,R
201653822,2016-05-19,2253,DECEASED PERSON,800 BLK JESSIE CIR,-76.5315166,37.1763797,R
201653870,2016-05-21,817,DECEASED PERSON,0 BLK GREAT OAK CIR,-76.4665909,37.078466,R
201653878,2016-05-21,1722,DECEASED PERSON,2500 BLK JEFFERSON AVE,-76.420889,36.9816519,C
201653897,2016-05-22,339,DECEASED PERSON,700 BLK TERRACE DR,-76.4510163,37.057503,R
201653921,2016-05-23,327,DECEASED PERSON,900 BLK 36TH ST,-76.4164909,36.9915442,R
201604253,2016-05-23,1516,DECEASED PERSON,0 BLK ROUVALIS CIR,-76.4461874,37.0896199,R
201653966,2016-05-24,1424,DECEASED PERSON,100 BLK HAWTHORNE DR,-76.5249365,37.1132567,R
201653985,2016-05-25,728,DECEASED PERSON,100 BLK RACINE DR,-76.5726058,37.1300006,R
201653986,2016-05-25,904,DECEASED PERSON,500 BLK N TRELLIS CT,-76.5460395,37.1560798,R
201654051,2016-05-27,702,DECEASED PERSON,300 BLK GEORGETOWN LOOP,-76.54829,37.1387724,C
201654065,2016-05-27,1626,DECEASED PERSON,200 BLK WELLS RD,-76.5427428,37.1215418,R
201654102,2016-05-28,1340,DECEASED PERSON,900 BLK COLOMA DR,-76.5512908,37.1388745,R
201654158,2016-05-30,853,DECEASED PERSON,200 BLK STAG TER,-76.4639571,37.1005146,R
