REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600060,2016-01-02,105,DISORDERLY CONDUCT,400 BLK CRESCENT WAY,-76.5264522,37.1333939,R
201601799,2016-03-01,409,DISORDERLY CONDUCT,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201601869,2016-03-03,1533,DISORDERLY CONDUCT,29TH ST / WICKHAM AVE,-76.414569,36.987214,P
201602354,2016-03-20,1827,DISORDERLY CONDUCT,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C
201652180,2016-03-25,555,DISORDERLY CONDUCT,0 BLK BERNARDINE DR,-76.5123566,37.1444643,O
201602535,2016-03-28,1228,DISORDERLY CONDUCT,13400 BLK WOODSIDE LN,-76.5268772,37.1714068,P
201652544,2016-04-06,2359,DISORDERLY CONDUCT,600 BLK STONEY CREEK LN,-76.520323,37.1424356,R
201652750,2016-04-15,1215,DISORDERLY CONDUCT,5000 BLK MERCURY BLVD,-76.4415084,37.0214429,C
201603399,2016-04-25,1600,DISORDERLY CONDUCT,13300 BLK DE WALD CIR,-76.5166689,37.1164267,R
201653081,2016-04-25,1828,DISORDERLY CONDUCT,12700 BLK JEFFERSON AVE,-76.5184453,37.1374683,C
201603580,2016-04-30,2257,DISORDERLY CONDUCT,3300 BLK ROANOKE AVE,-76.4120836,36.9915884,R
201604159,2016-05-20,933,DISORDERLY CONDUCT,13400 BLK WOODSIDE LN,-76.5268772,37.1714068,P
201608970,2016-10-25,1611,DISORDERLY CONDUCT,900 BLK TAYLOR AVE,-76.4117193,36.9714784,R
201609303,2016-11-04,819,DISORDERLY CONDUCT,3600 BLK MARSHALL AVE,-76.4200875,36.990751,R
201659330,2016-11-20,823,DISORDERLY CONDUCT,300 BLK FORRESTAL CIR,-76.5441916,37.1653039,R
201610317,2016-12-08,1511,DISORDERLY CONDUCT,13400 BLK WOODSIDE LN,-76.5268772,37.1714068,P
201753275,2017-04-27,1839,DISORDERLY CONDUCT,11100 BLK TARRY PL,-76.4637331,37.0583364,R
201753650,2017-05-11,1237,DISORDERLY CONDUCT,WARWICK BLVD/ WARWICK LANDING DR,-76.5572212,37.1605286,R
201703998,2017-05-17,2229,DISORDERLY CONDUCT,200 BLK DENBIGH BLVD,-76.5541459,37.1248257,R
201704071,2017-05-19,2154,DISORDERLY CONDUCT,300 BLK BOULDER DR,-76.5576401,37.1605218,R
201754618,2017-06-12,2059,DISORDERLY CONDUCT,900 BLK TAYLOR AVE,-76.4117193,36.9714784,R
201725174,2017-07-11,2144,DISORDERLY CONDUCT,400 BLK CHESSIE ST,-76.4468396,37.0172584,R
201755705,2017-07-19,2230,DISORDERLY CONDUCT,42ND ST / MADISON AVE,-76.4251226,36.99339,R
201756060,2017-08-01,156,DISORDERLY CONDUCT,26TH ST / PARISH AVE,-76.4013743,36.9900905,R
201756131,2017-08-03,1903,DISORDERLY CONDUCT,12700 BLK WOODSIDE LN,-76.504811,37.149033,R
201756158,2017-08-04,1745,DISORDERLY CONDUCT,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201756318,2017-08-09,1911,DISORDERLY CONDUCT,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201730170,2017-08-15,2249,DISORDERLY CONDUCT,300 BLK BEECHMONT DR,-76.5555848,37.1357354,R
201757495,2017-09-19,1548,DISORDERLY CONDUCT,1400 BLK 26TH ST,-76.4013743,36.9900905,R
201732030,2017-10-13,814,DISORDERLY CONDUCT,200 BLK DENBIGH BLVD,-76.5541459,37.1248257,R
201759008,2017-11-11,2219,DISORDERLY CONDUCT,500 BLK PAVILION PL,-76.4791917,37.077984,R
201759839,2017-12-12,1149,DISORDERLY CONDUCT,800 BLK CITY CENTER BLVD,-76.4724712,37.0925708,C
201851214,2018-02-13,1005,DISORDERLY CONDUCT,13400 BLK WOODSIDE LN,-76.5268772,37.1714068,P
201851609,2018-02-27,1012,DISORDERLY CONDUCT,800 BLK MOYER RD,-76.5631809,37.1258014,R
201853439,2018-05-07,1652,DISORDERLY CONDUCT,300 BLK JUDY DR,-76.5624314,37.1621436,R
201853477,2018-05-08,2056,DISORDERLY CONDUCT,500 BLK RICHNECK RD,-76.521513,37.165582,R
201824257,2018-06-21,113,DISORDERLY CONDUCT,5000 BLK MERCURY BLVD,-76.4415084,37.0214429,C
201855454,2018-07-10,426,DISORDERLY CONDUCT,12000 BLK WARWICK BLVD,-76.4827868,37.0604532,O
201856203,2018-08-06,740,DISORDERLY CONDUCT,5500 BLK MARSHALL AVE,-76.4258909,37.0018699,R
201857599,2018-09-19,1632,DISORDERLY CONDUCT,30TH ST / MARSHALL AVE,-76.4176764,36.9867966,R
201857616,2018-09-19,1946,DISORDERLY CONDUCT,800 BLK LUCAS CREEK RD,-76.5495772,37.1312258,R
201857788,2018-09-25,123,DISORDERLY CONDUCT,JEFFERSON AVE / LOFTIS BLVD,-76.4823857,37.0860132,C
201857902,2018-09-28,1614,DISORDERLY CONDUCT,300 BLK OYSTER POINT RD,-76.5109083,37.1035132,C
201858332,2018-10-10,2220,DISORDERLY CONDUCT,2600 BLK JEFFERSON AVE,-76.42135,36.9825725,C
201858433,2018-10-14,143,DISORDERLY CONDUCT,5000 BLK MERCURY BLVD,-76.4415084,37.0214429,C
201858839,2018-10-27,139,DISORDERLY CONDUCT,FORREST DR / JEFFERSON AVE,-76.4765778,37.0769101,C
201859118,2018-11-06,45,DISORDERLY CONDUCT,500 BLK J CLYDE MORRIS BLVD,-76.4833383,37.0634596,O
201860003,2018-12-01,2104,DISORDERLY CONDUCT,700 BLK TOWN CENTER DR,-76.4739288,37.0864711,C
201920436,2018-12-08,2008,DISORDERLY CONDUCT,FOUNTAIN WAY / TOWN CENTER DR,-76.4725629,37.0865225,C
201828677,2018-12-17,746,DISORDERLY CONDUCT,5000 BLK MERCURY BLVD,-76.4415084,37.0214429,C
