REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201651316,2016-02-19,1642,DRIVING UNDER THE INFLUENCE,CITY CENTER BLVD / JEFFERSON AVE,-76.4835558,37.0883003,C
201651755,2016-03-08,1141,DRIVING UNDER THE INFLUENCE,10700 BLK WARWICK BLVD,-76.4663855,37.0371089,C
201652833,2016-04-17,740,DRIVING UNDER THE INFLUENCE,39TH ST / MARSHALL AVE,-76.4212573,36.9925872,C
201655812,2016-07-25,4,DRIVING UNDER THE INFLUENCE,BLAND BLVD / JEFFERSON AVE,-76.5117863,37.1278779,C
201656442,2016-08-14,1645,DRIVING UNDER THE INFLUENCE,BRIARFIELD RD / ROANOKE AVE,-76.4240964,37.0105339,R
201657292,2016-09-10,1824,DRIVING UNDER THE INFLUENCE,JEFFERSON AVE / SHIELDS RD,-76.5424065,37.167141,R
201657811,2016-09-30,206,DRIVING UNDER THE INFLUENCE,JEFFERSON AVE / LOFTIS BLVD,-76.4823857,37.0860132,C
201658955,2016-11-07,2233,DRIVING UNDER THE INFLUENCE,CRAFFORD RD / LULA CARTER RD,-76.5619075,37.2125581,R
201659442,2016-11-24,2032,DRIVING UNDER THE INFLUENCE,FORT EUSTIS BLVD / WOODSIDE LN,-76.5277469,37.177146,P
201659478,2016-11-25,2152,DRIVING UNDER THE INFLUENCE,500 BLK WYN DR,-76.5462718,37.158585,R
201660510,2016-12-31,2147,DRIVING UNDER THE INFLUENCE,RESERVOIR RD / WARWICK BLVD,-76.5698271,37.1772034,P
201750374,2017-01-14,2115,DRIVING UNDER THE INFLUENCE,HARPERSVILLE RD / JEFFERSON AVE,-76.4658672,37.0592619,C
201700622,2017-01-23,1642,DRIVING UNDER THE INFLUENCE,700 BLK CENTER AVE,-76.449553,37.0275731,R
201750776,2017-01-28,926,DRIVING UNDER THE INFLUENCE,48TH ST / MARSHALL AVE,-76.4247893,36.998299,M
201754297,2017-06-01,1901,DRIVING UNDER THE INFLUENCE,1200 BLK EMMA DR,-76.4240421,37.0160031,R
201852634,2018-04-09,1305,DRIVING UNDER THE INFLUENCE,BRIARFIELD RD / JEFFERSON AVE,-76.4360385,37.0057895,C
201823158,2018-05-01,1509,DRIVING UNDER THE INFLUENCE,500 BLK BLOUNT POINT RD,-76.5121837,37.0640052,R
201854282,2018-06-02,2127,DRIVING UNDER THE INFLUENCE,DENBIGH BLVD / JEFFERSON AVE,-76.5199051,37.1385052,C
201854736,2018-06-16,728,DRIVING UNDER THE INFLUENCE,300 BLK LEES MILL DR,-76.5675232,37.1684959,R
201855351,2018-07-05,2019,DRIVING UNDER THE INFLUENCE,11200 BLK JEFFERSON AVE,-76.4657937,37.059528,C
201856661,2018-08-18,27,DRIVING UNDER THE INFLUENCE,CITY CENTER BLVD / MAXWELL LN,-76.5005151,37.0875238,C
201857352,2018-09-11,1506,DRIVING UNDER THE INFLUENCE,DENBIGH BLVD / WARWICK BLVD,-76.5370096,37.1291369,C
201858429,2018-10-13,2336,DRIVING UNDER THE INFLUENCE,LEES MILL DR / WARWICK BLVD,-76.5630959,37.1690435,C
201858717,2018-10-23,1850,DRIVING UNDER THE INFLUENCE,OLD MENCHVILLE RD / RIVERVIEW PKWY,-76.5276998,37.0925459,P
201827640,2018-10-26,31,DRIVING UNDER THE INFLUENCE,DENBIGH BLVD / POCAHANTAS DR,-76.5311911,37.1326269,C
201827897,2018-11-06,608,DRIVING UNDER THE INFLUENCE,JEFFERSON AVE / OYSTER POINT RD,-76.494052,37.1049576,C
201828831,2018-12-25,214,DRIVING UNDER THE INFLUENCE,CAMPBELL RD / WARWICK BLVD,-76.5313083,37.1247789,C
