REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650091,2016-01-03,2310,DRUG EQUIPMENT - POSSESS,1200 BLK 24TH ST,-76.4059599,36.9866738,R
201600262,2016-01-08,9,DRUG EQUIPMENT - POSSESS,25TH ST / ROANOKE AVE,-76.409059,36.9862264,R
201600486,2016-01-14,1555,DRUG EQUIPMENT - POSSESS,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201650759,2016-01-28,2237,DRUG EQUIPMENT - POSSESS,4200 BLK NEWSOME DR,-76.4197585,36.9956716,R
201650830,2016-01-31,702,DRUG EQUIPMENT - POSSESS,11800 BLK JEFFERSON AVE,-76.4812475,37.0858157,C
201651075,2016-02-08,2310,DRUG EQUIPMENT - POSSESS,40TH ST / JEFFERSON AV,-76.4269918,36.9910453,C
201651165,2016-02-13,1146,DRUG EQUIPMENT - POSSESS,400 BLK TURLINGTON RD,-76.4975033,37.0832609,C
201651688,2016-03-05,1950,DRUG EQUIPMENT - POSSESS,800 BLK 36TH ST,-76.4196777,36.9906166,R
201601985,2016-03-08,1401,DRUG EQUIPMENT - POSSESS,200 BLK MENCHVILLE RD,-76.527128,37.1036642,R
201652043,2016-03-18,2223,DRUG EQUIPMENT - POSSESS,JEFFERSON AVE / MCMORROW DR,-76.5299278,37.1512512,C
201652084,2016-03-21,431,DRUG EQUIPMENT - POSSESS,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201652246,2016-03-27,158,DRUG EQUIPMENT - POSSESS,500 BLK YORKTOWN RD,-76.5689686,37.2150683,R
201652342,2016-03-29,2129,DRUG EQUIPMENT - POSSESS,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201652365,2016-03-31,500,DRUG EQUIPMENT - POSSESS,500 BLK J CLYDE MORRIS BLVD,-76.4833383,37.0634596,O
201652621,2016-04-09,2102,DRUG EQUIPMENT - POSSESS,1200 BLK 25TH ST,-76.4063444,36.9873055,R
201602986,2016-04-11,1826,DRUG EQUIPMENT - POSSESS,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201652810,2016-04-16,548,DRUG EQUIPMENT - POSSESS,2600 BLK JEFFERSON AVE,-76.42135,36.9825725,C
201652951,2016-04-21,3,DRUG EQUIPMENT - POSSESS,2600 BLK WOODBRIDGE DR,-76.5484518,37.1702796,R
201603291,2016-04-21,2005,DRUG EQUIPMENT - POSSESS,700 BLK WOODNOTE LN,-76.5226307,37.1689963,R
201653416,2016-05-06,732,DRUG EQUIPMENT - POSSESS,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201653588,2016-05-12,1406,DRUG EQUIPMENT - POSSESS,19TH ST / JEFFERSON AVE,-76.4182992,36.9769055,C
201653653,2016-05-14,1538,DRUG EQUIPMENT - POSSESS,1000 BLK 36TH ST,-76.415341,36.992107,R
201604210,2016-05-22,328,DRUG EQUIPMENT - POSSESS,BRIARFIELD RD / JEFFERSON AVE,-76.4360385,37.0057895,C
201653889,2016-05-22,404,DRUG EQUIPMENT - POSSESS,BRIARFIELD RD / ROANOKE AVE,-76.4240964,37.0105339,R
201654154,2016-05-29,2251,DRUG EQUIPMENT - POSSESS,THORNCLIFF DR / WARWICK BLVD,-76.5534753,37.1511213,C
201655082,2016-06-29,200,DRUG EQUIPMENT - POSSESS,DENBIGH BLVD / POCAHANTAS DR,-76.5311911,37.1326269,C
201655097,2016-06-29,1524,DRUG EQUIPMENT - POSSESS,6000 BLK JEFFERSON AVE,-76.4406831,37.0144032,C
201655433,2016-07-10,1419,DRUG EQUIPMENT - POSSESS,100 BLK WELLS RD,-76.5456228,37.1206509,R
201655575,2016-07-15,1705,DRUG EQUIPMENT - POSSESS,600 BLK IVY AVE,-76.4087949,36.9705775,R
201656037,2016-08-01,2237,DRUG EQUIPMENT - POSSESS,700 BLK DARDEN DR,-76.5528025,37.1218655,R
201656495,2016-08-16,1155,DRUG EQUIPMENT - POSSESS,15400 BLK WARWICK BLVD,-76.5518298,37.1485437,C
201656631,2016-08-20,1159,DRUG EQUIPMENT - POSSESS,700 BLK ADAMS DR,-76.4601433,37.0567194,P
201657963,2016-10-04,1634,DRUG EQUIPMENT - POSSESS,13700 BLK WARWICK BLVD,-76.5266492,37.1219266,C
201658009,2016-10-06,1805,DRUG EQUIPMENT - POSSESS,14TH ST / TERMINAL AVE,-76.4190316,36.9726579,M
201658104,2016-10-09,1850,DRUG EQUIPMENT - POSSESS,700 BLK WINDBROOK CIR,-76.4916011,37.1169398,R
201658453,2016-10-20,1825,DRUG EQUIPMENT - POSSESS,0 BLK BERNARD DR,-76.5234854,37.1074989,R
201658583,2016-10-25,1929,DRUG EQUIPMENT - POSSESS,JEFFERSON AVE / KINGSWAY DR,-76.4799026,37.0819785,C
201659404,2016-11-22,2238,DRUG EQUIPMENT - POSSESS,100 BLK ALLISON RD,-76.5287162,37.1084433,R
201660074,2016-12-16,1322,DRUG EQUIPMENT - POSSESS,BRIARFIELD RD / JEFFERSON AVE,-76.4360385,37.0057895,C
201660483,2016-12-30,1135,DRUG EQUIPMENT - POSSESS,26TH ST / JEFFERSON AVE,-76.4214933,36.9820849,C
201750056,2017-01-03,700,DRUG EQUIPMENT - POSSESS,2600 BLK WARWICK BLVD,-76.4268938,36.9803951,C
201750063,2017-01-03,1047,DRUG EQUIPMENT - POSSESS,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201750355,2017-01-14,1008,DRUG EQUIPMENT - POSSESS,CAMPBELL RD / DELOICE CRES,-76.528421,37.1245369,R
201750630,2017-01-23,2015,DRUG EQUIPMENT - POSSESS,15200 BLK WARWICK BLVD,-76.5470147,37.1425791,P
201751600,2017-02-26,1558,DRUG EQUIPMENT - POSSESS,BELMONT RD / JEFFERSON AVE,-76.4604852,37.0501698,C
201751800,2017-03-05,1936,DRUG EQUIPMENT - POSSESS,1000 BLK HOLLYMEADE CIR,-76.5054534,37.1525414,R
201752509,2017-03-31,1444,DRUG EQUIPMENT - POSSESS,0 BLK OLD OYSTER POINT RD,-76.4775373,37.1052281,C
201753540,2017-05-07,1642,DRUG EQUIPMENT - POSSESS,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201703704,2017-05-08,1930,DRUG EQUIPMENT - POSSESS,100 BLK S HALL WAY,-76.5694657,37.1680031,R
201753956,2017-05-21,2236,DRUG EQUIPMENT - POSSESS,0 BLK COLONY SQUARE CT,-76.5175086,37.1147863,R
201754264,2017-06-01,25,DRUG EQUIPMENT - POSSESS,27TH ST / BUXTON AVE,-76.3997397,36.9918009,R
201754309,2017-06-02,724,DRUG EQUIPMENT - POSSESS,#Error,-76.4730122,37.0870821,C
201754720,2017-06-15,2256,DRUG EQUIPMENT - POSSESS,500 BLK BEECH DR,-76.4510768,37.0464156,R
201755098,2017-06-28,1406,DRUG EQUIPMENT - POSSESS,600 BLK JEFFERSON AVE,-76.411085,36.967453,P
201755177,2017-06-30,2341,DRUG EQUIPMENT - POSSESS,CARIBOU DR / IMPALA DR,-76.473303,37.075522,R
201755260,2017-07-03,1857,DRUG EQUIPMENT - POSSESS,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201755620,2017-07-16,1802,DRUG EQUIPMENT - POSSESS,400 BLK MANOR RD,-76.5453941,37.1368522,C
201705559,2017-07-21,2339,DRUG EQUIPMENT - POSSESS,400 BLK HUSTINGS LN,-76.5387609,37.137244,R
201755999,2017-07-29,2049,DRUG EQUIPMENT - POSSESS,1100 BLK GARDEN DR,-76.4020923,36.9779506,R
201756279,2017-08-08,1012,DRUG EQUIPMENT - POSSESS,1000 BLK SUMMIT LN,-76.4513967,37.0655808,R
201756972,2017-09-02,1021,DRUG EQUIPMENT - POSSESS,4800 BLK MADISON AVE,-76.4274924,36.9972523,R
201757748,2017-09-28,1402,DRUG EQUIPMENT - POSSESS,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
201757898,2017-10-03,1114,DRUG EQUIPMENT - POSSESS,800 BLK 30TH ST,-76.4176493,36.9868073,R
201758321,2017-10-18,837,DRUG EQUIPMENT - POSSESS,13200 BLK AQUEDUCT DR,-76.5170062,37.1154057,R
201758684,2017-10-31,1806,DRUG EQUIPMENT - POSSESS,100 BLK LONG BRIDGE WAY,-76.5605284,37.1553944,R
201758951,2017-11-09,1610,DRUG EQUIPMENT - POSSESS,3300 BLK ROANOKE AVE,-76.4120836,36.9915884,R
201759494,2017-11-30,1921,DRUG EQUIPMENT - POSSESS,50TH ST / WARWICK BLVD,-76.4364025,36.9952998,R
201820631,2018-01-23,1753,DRUG EQUIPMENT - POSSESS,5900 BLK MARSHALL AVE,-76.4304805,37.0082217,R
201850757,2018-01-28,1202,DRUG EQUIPMENT - POSSESS,11800 BLK JEFFERSON AVE,-76.4812475,37.0858157,C
201850875,2018-02-01,2236,DRUG EQUIPMENT - POSSESS,100 BLK DELMAR LN,-76.5264358,37.1251497,R
201850961,2018-02-04,1945,DRUG EQUIPMENT - POSSESS,14700 BLK WARWICK BLVD,-76.5423655,37.1331147,C
201821549,2018-02-28,1151,DRUG EQUIPMENT - POSSESS,500 BLK BLOUNT POINT RD,-76.5121837,37.0640052,R
201851630,2018-02-28,2037,DRUG EQUIPMENT - POSSESS,OLD COURTHOUSE WAY / WARWICK BLVD,-76.5423848,37.1325868,C
201821783,2018-03-08,109,DRUG EQUIPMENT - POSSESS,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C
201852933,2018-04-19,1842,DRUG EQUIPMENT - POSSESS,JEFFERSON AVE / KINGS RIDGE DR,-76.5312032,37.1590378,R
201853591,2018-05-12,2213,DRUG EQUIPMENT - POSSESS,BLAND BLVD / CAMPBELL RD,-76.523308,37.1222273,R
201854102,2018-05-28,1757,DRUG EQUIPMENT - POSSESS,500 BLK ASHTON GREEN BLVD,-76.5462891,37.1576554,R
201854562,2018-06-11,1904,DRUG EQUIPMENT - POSSESS,J CLYDE MORRIS BLVD / LOUISE DR,-76.459177,37.0938231,C
201855230,2018-07-02,10,DRUG EQUIPMENT - POSSESS,400 BLK CRESCENT WAY,-76.5264522,37.1333939,R
201855284,2018-07-03,1921,DRUG EQUIPMENT - POSSESS,14800 BLK WARWICK BLVD,-76.541317,37.135346,R
201855484,2018-07-10,2111,DRUG EQUIPMENT - POSSESS,100 BLK HERITAGE WAY,-76.5195569,37.1192116,R
201855515,2018-07-11,2310,DRUG EQUIPMENT - POSSESS,1000 BLK 72ND ST,-76.4302053,37.0156668,R
201855606,2018-07-14,1458,DRUG EQUIPMENT - POSSESS,400 BLK GOOSE CIR,-76.5616122,37.1568253,R
201855983,2018-07-26,2240,DRUG EQUIPMENT - POSSESS,25TH ST / JEFFERSON AVE,-76.4210991,36.9814417,C
201856081,2018-07-29,2109,DRUG EQUIPMENT - POSSESS,18TH ST / WICKHAM AVE,-76.4097982,36.9794966,R
201856299,2018-08-05,2114,DRUG EQUIPMENT - POSSESS,FORT ST / OLD COLONIAL WAY,-76.5472727,37.1595442,R
201856433,2018-08-09,2327,DRUG EQUIPMENT - POSSESS,13700 BLK WARWICK BLVD,-76.5266492,37.1219266,C
201856550,2018-08-13,1754,DRUG EQUIPMENT - POSSESS,13200 BLK SOJOURNER CT,-76.5143422,37.1134123,R
201856596,2018-08-15,1650,DRUG EQUIPMENT - POSSESS,800 BLK LUCAS CREEK RD,-76.5495772,37.1312258,R
201856735,2018-08-20,1612,DRUG EQUIPMENT - POSSESS,11800 BLK FISHING POINT DR,-76.4784907,37.0847569,C
201857030,2018-08-31,136,DRUG EQUIPMENT - POSSESS,800 BLK CITY CENTER BLVD,-76.4724712,37.0925708,C
201826176,2018-09-01,1733,DRUG EQUIPMENT - POSSESS,16800 BLK WARWICK BLVD,-76.5683254,37.17434,C
201857737,2018-09-23,1546,DRUG EQUIPMENT - POSSESS,CROSSINGS CT / DENBIGH BLVD SERVICE ROAD,-76.54295,37.136908,R
201857948,2018-09-29,2321,DRUG EQUIPMENT - POSSESS,BLAND BLVD / CAMPBELL RD,-76.523308,37.1222273,R
201858170,2018-10-06,500,DRUG EQUIPMENT - POSSESS,200 BLK 25TH ST,-76.4310403,36.9774858,C
201858233,2018-10-07,2339,DRUG EQUIPMENT - POSSESS,400 BLK MANOR RD,-76.5453941,37.1368522,C
201858356,2018-10-11,1331,DRUG EQUIPMENT - POSSESS,400 BLK MENCHVILLE RD S,-76.5270426,37.0866649,R
201858424,2018-10-13,2029,DRUG EQUIPMENT - POSSESS,100 BLK CANTERBURY RUN,-76.5391482,37.1182172,R
201858810,2018-10-26,2255,DRUG EQUIPMENT - POSSESS,0 BLK WALNUT AVE,-76.3972285,36.9843291,R
201858920,2018-10-30,2140,DRUG EQUIPMENT - POSSESS,300 BLK FRANCISCO WAY,-76.4600371,37.0390983,R
201858957,2018-10-31,2132,DRUG EQUIPMENT - POSSESS,COLONY RD / WARWICK BLVD,-76.5192085,37.1138352,C
201858986,2018-11-01,1746,DRUG EQUIPMENT - POSSESS,13200 BLK AQUEDUCT DR,-76.5170062,37.1154057,R
201859168,2018-11-07,1741,DRUG EQUIPMENT - POSSESS,COLONY RD / WARWICK BLVD,-76.5192085,37.1138352,C
201859254,2018-11-10,146,DRUG EQUIPMENT - POSSESS,28TH ST / ROANOKE AVE,-76.4102574,36.9881508,R
201859276,2018-11-10,1726,DRUG EQUIPMENT - POSSESS,0 BLK WALNUT AVE,-76.3972285,36.9843291,R
201859497,2018-11-16,2300,DRUG EQUIPMENT - POSSESS,42ND ST / ROANOKE AVE,-76.4158586,36.9970897,R
201859537,2018-11-18,1434,DRUG EQUIPMENT - POSSESS,14TH ST / WICKHAM AVE,-76.4080461,36.976644,R
201859718,2018-11-23,13,DRUG EQUIPMENT - POSSESS,BRIARFIELD RD / JEFFERSON AVE,-76.4360385,37.0057895,C
201859806,2018-11-25,1826,DRUG EQUIPMENT - POSSESS,79TH ST / MARSHALL AVE,-76.437558,37.018948,C
201828213,2018-11-26,1348,DRUG EQUIPMENT - POSSESS,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201860118,2018-12-05,1646,DRUG EQUIPMENT - POSSESS,200 BLK CHEROKEE CT,-76.55624,37.136881,R
201828468,2018-12-06,26,DRUG EQUIPMENT - POSSESS,11800 BLK FISHING POINT DR,-76.4784907,37.0847569,C
201860160,2018-12-07,44,DRUG EQUIPMENT - POSSESS,DILIGENCE DR / J CLYDE MORRIS BLVD,-76.4589855,37.0841656,C
201860162,2018-12-07,337,DRUG EQUIPMENT - POSSESS,DENBIGH BLVD / WARWICK BLVD,-76.5370096,37.1291369,C
201860233,2018-12-08,2103,DRUG EQUIPMENT - POSSESS,ASPEN MEADOW LN / CAMPBELL RD,-76.5232719,37.1214919,R
201860494,2018-12-16,2004,DRUG EQUIPMENT - POSSESS,600 BLK GLOUCESTER DR,-76.4322095,37.001574,R
