REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650000,2016-01-01 00:00:00,0,DRUG/NARCOTICS OFFENSES,600 BLK DRESDEN DR,-76.4632065,37.0552779,C
201650039,2016-01-02 00:00:00,749,DRUG/NARCOTICS OFFENSES,500 BLK J CLYDE MORRIS BLVD,-76.4833383,37.0634596,O
201650049,2016-01-02 00:00:00,1531,DRUG/NARCOTICS OFFENSES,0 BLK DEEP CREEK RD,-76.5104523,37.076778,R
201650051,2016-01-02 00:00:00,1650,DRUG/NARCOTICS OFFENSES,400 BLK MANOR RD,-76.5453941,37.1368522,C
201650054,2016-01-02 00:00:00,1749,DRUG/NARCOTICS OFFENSES,100 BLK RIVERVIEW PKWY,-76.5312611,37.0839865,P
201600054,2016-01-02 00:00:00,2103,DRUG/NARCOTICS OFFENSES,1300 BLK 23RD ST,-76.4028458,36.9871001,R
201650062,2016-01-02 00:00:00,2214,DRUG/NARCOTICS OFFENSES,100 BLK OTTIS ST,-76.4716337,37.1128373,C
201650065,2016-01-03 00:00:00,150,DRUG/NARCOTICS OFFENSES,35TH ST / JEFFERSON AVE,-76.4250551,36.9878416,M
201650091,2016-01-03 00:00:00,2310,DRUG/NARCOTICS OFFENSES,1200 BLK 24TH ST,-76.4059599,36.9866738,R
201650119,2016-01-04 00:00:00,1943,DRUG/NARCOTICS OFFENSES,100 BLK POPLAR AVE,-76.393378,36.9891958,R
201600152,2016-01-05 00:00:00,1401,DRUG/NARCOTICS OFFENSES,HUNTERS GLENN / WARWICK BLVD,-76.5074647,37.0971741,R
201650147,2016-01-05 00:00:00,1841,DRUG/NARCOTICS OFFENSES,0 BLK COURTNEY AVE,-76.459124,37.079115,R
201650149,2016-01-05 00:00:00,2029,DRUG/NARCOTICS OFFENSES,800 BLK 24TH ST,-76.4152708,36.9829554,R
201650167,2016-01-06 00:00:00,1339,DRUG/NARCOTICS OFFENSES,0 BLK DEAN RAY CT,-76.4427812,37.013407,R
201650178,2016-01-06 00:00:00,2111,DRUG/NARCOTICS OFFENSES,200 BLK E I 64,-76.4628236,37.092969,C
201650184,2016-01-07 00:00:00,144,DRUG/NARCOTICS OFFENSES,CURTIS TIGNOR RD / WARWICK BLVD,-76.5484953,37.1433236,C
201600215,2016-01-07 00:00:00,300,DRUG/NARCOTICS OFFENSES,COLONY RD / WARWICK BLVD,-76.5192085,37.1138352,C
201600237,2016-01-07 00:00:00,849,DRUG/NARCOTICS OFFENSES,300 BLK ST THOMAS DR,-76.4876604,37.0907376,R
201650212,2016-01-07 00:00:00,2025,DRUG/NARCOTICS OFFENSES,0 BLK TRAVERSE RD,-76.4580576,37.0947029,C
201650210,2016-01-07 00:00:00,2128,DRUG/NARCOTICS OFFENSES,13200 BLK AQUEDUCT DR,-76.5170062,37.1154057,R
201650211,2016-01-07 00:00:00,2252,DRUG/NARCOTICS OFFENSES,OLD COURTHOUSE WAY / WARWICK BLVD,-76.5423848,37.1325868,C
201600262,2016-01-08 00:00:00,9,DRUG/NARCOTICS OFFENSES,25TH ST / ROANOKE AVE,-76.409059,36.9862264,R
201650245,2016-01-08 00:00:00,1757,DRUG/NARCOTICS OFFENSES,800 BLK 29TH ST,-76.4172431,36.9861498,R
201650247,2016-01-08 00:00:00,2122,DRUG/NARCOTICS OFFENSES,36TH ST / WICKHAM AVE,-76.4173115,36.9917119,R
201600305,2016-01-08 00:00:00,2335,DRUG/NARCOTICS OFFENSES,MENCHVILLE RD / WARWICK BLVD,-76.5169615,37.1106297,C
201600301,2016-01-09 00:00:00,251,DRUG/NARCOTICS OFFENSES,200 BLK 25TH ST,-76.4310403,36.9774858,C
201600302,2016-01-09 00:00:00,428,DRUG/NARCOTICS OFFENSES,300 BLK HICKORY POINT BLVD,-76.5565493,37.1561694,C
201650268,2016-01-09 00:00:00,2113,DRUG/NARCOTICS OFFENSES,2200 BLK JEFFERSON AVE,-76.4194995,36.9788648,R
