REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201651932,2016-03-15,2100,DRUNKENNESS,35TH ST / HUNTINGTON AVE,-76.4325221,36.9848539,C
201653081,2016-04-25,1828,DRUNKENNESS,12700 BLK JEFFERSON AVE,-76.5184453,37.1374683,C
201654125,2016-05-29,156,DRUNKENNESS,100 BLK SPUR DR,-76.4989951,37.1003757,M
201655971,2016-07-30,1553,DRUNKENNESS,3200 BLK JEFFERSON AVE,-76.423741,36.986281,C
201606378,2016-07-31,140,DRUNKENNESS,900 BLK FOREST LAKE CT,-76.4229516,37.0020955,R
201607339,2016-09-01,2315,DRUNKENNESS,900 BLK FOREST LAKE CT,-76.4229516,37.0020955,R
201657364,2016-09-13,1501,DRUNKENNESS,600 BLK PILOT HOUSE DR,-76.4780842,37.0807253,C
201658025,2016-10-07,157,DRUNKENNESS,500 BLK 40TH ST,-76.4282514,36.9905564,M
201658518,2016-10-23,117,DRUNKENNESS,100 BLK JEFFERSON POINT LN,-76.4955764,37.1049589,R
201609307,2016-10-30,1031,DRUNKENNESS,0 BLK CARMELLA CIR,-76.5402889,37.1264841,R
201658730,2016-10-30,2123,DRUNKENNESS,3400 BLK JEFFERSON AVE,-76.4244889,36.9875048,C
201700334,2017-01-14,18,DRUNKENNESS,13300 BLK PREAKNESS DR,-76.5145324,37.1155525,R
201750540,2017-01-21,122,DRUNKENNESS,13300 BLK WARWICK BLVD,-76.5188129,37.1145035,C
201750577,2017-01-22,56,DRUNKENNESS,14700 BLK WARWICK BLVD,-76.5423655,37.1331147,C
201751164,2017-02-11,2051,DRUNKENNESS,3500 BLK MADISON AVE,-76.4223353,36.9893085,R
201701398,2017-02-17,1818,DRUNKENNESS,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201752644,2017-04-04,1923,DRUNKENNESS,100 BLK RIDGEWOOD PKWY,-76.5212023,37.1493547,R
201704727,2017-06-09,2030,DRUNKENNESS,800 BLK CONSTANCE DR,-76.4550579,37.083409,R
201754858,2017-06-20,1702,DRUNKENNESS,9200 BLK WARWICK BLVD,-76.4510305,37.0195027,C
201756086,2017-08-01,2144,DRUNKENNESS,1000 BLK 30TH ST,-76.4133982,36.9884819,P
201756139,2017-08-03,2240,DRUNKENNESS,42ND ST / ROANOKE AVE,-76.4158586,36.9970897,R
201756318,2017-08-09,1911,DRUNKENNESS,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201756798,2017-08-27,1929,DRUNKENNESS,600 BLK 27TH ST,-76.4216395,36.9826044,C
201822480,2018-04-05,2338,DRUNKENNESS,200 BLK SUSAN CONSTANT DR,-76.5496707,37.1430184,R
201853420,2018-05-06,2000,DRUNKENNESS,11700 BLK JEFFERSON AVE,-76.4747446,37.0755734,C
201854343,2018-06-04,1702,DRUNKENNESS,700 BLK 19TH ST,-76.5870604,37.164698,R
201855646,2018-07-15,2103,DRUNKENNESS,800 BLK VENTNOR DR,-76.5574848,37.1261141,R
201856017,2018-07-27,1406,DRUNKENNESS,600 BLK 32ND ST,-76.4238427,36.9859306,C
201856169,2018-08-01,1835,DRUNKENNESS,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201856610,2018-08-15,2240,DRUNKENNESS,800 BLK PALACE CT,-76.5292703,37.1651277,R
201857199,2018-09-05,1934,DRUNKENNESS,ELLEN RD / JEFFERSON AVE,-76.4337857,37.0021449,C
201858448,2018-10-14,1900,DRUNKENNESS,400 BLK N TRELLIS CT,-76.5536158,37.1560333,R
201858592,2018-10-20,127,DRUNKENNESS,13300 BLK WARWICK BLVD,-76.5188129,37.1145035,C
201858830,2018-10-27,2117,DRUNKENNESS,2800 BLK MARSHALL AVE,-76.416701,36.9857609,R
201828677,2018-12-17,746,DRUNKENNESS,5000 BLK MERCURY BLVD,-76.4415084,37.0214429,C
