REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650029,2016-01-01,2018,EMBEZZLE,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C
201600226,2016-01-07,1021,EMBEZZLE,11000 BLK WARWICK BLVD,-76.4729667,37.0432474,C
201650366,2016-01-13,1603,EMBEZZLE,7100 BLK WARWICK BLVD,-76.4460483,37.0108875,C
201600579,2016-01-18,911,EMBEZZLE,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201600640,2016-01-20,1327,EMBEZZLE,200 BLK OLD MARINA LN,-76.5237812,37.0854545,M
201600917,2016-01-28,953,EMBEZZLE,10800 BLK WARWICK BLVD,-76.4667659,37.0377816,C
201600918,2016-01-28,1008,EMBEZZLE,0 BLK HIDEN BLVD,-76.5004773,37.0676714,R
201600957,2016-01-29,1335,EMBEZZLE,11800 BLK ROCK LANDING DR,-76.4640358,37.0898457,C
201600961,2016-01-29,1504,EMBEZZLE,11800 BLK JEFFERSON AVE,-76.4812475,37.0858157,C
201601032,2016-01-31,916,EMBEZZLE,12200 BLK HORNSBY LN,-76.5036407,37.1148253,C
201601157,2016-02-04,1010,EMBEZZLE,14300 BLK WARWICK BLVD,-76.5349533,37.1275595,C
201650958,2016-02-04,2057,EMBEZZLE,700 BLK THIMBLE SHOALS BLVD,-76.4766434,37.0836086,C
201650970,2016-02-05,1426,EMBEZZLE,12200 BLK JEFFERSON AVE,-76.4962531,37.1094588,C
201650971,2016-02-05,1505,EMBEZZLE,100 BLK ARTHUR WAY,-76.4694242,37.1123395,C
201601345,2016-02-11,1525,EMBEZZLE,700 BLK THIMBLE SHOALS BLVD,-76.4766434,37.0836086,C
201601477,2016-02-16,1107,EMBEZZLE,200 BLK ENTERPRISE DR,-76.5793908,37.1750353,M
201601484,2016-02-16,1432,EMBEZZLE,11100 BLK JEFFERSON AVE,-76.4633659,37.057511,R
201651481,2016-02-26,1219,EMBEZZLE,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C
201651554,2016-02-29,1134,EMBEZZLE,1000 BLK 44TH ST,-76.4188994,36.9974518,R
201601840,2016-03-02,1602,EMBEZZLE,14300 BLK JEFFERSON AVE,-76.5760169,37.2097069,R
201652097,2016-03-21,1552,EMBEZZLE,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C
201602589,2016-03-29,1656,EMBEZZLE,3200 BLK JEFFERSON AVE,-76.423741,36.986281,C
