REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600316,2016-01-09,1348,EXTORT,100 BLK HERMAN MELVILLE AVE,-76.4890842,37.0846805,R
201651441,2016-02-24,1405,EXTORT,200 BLK BELRAY DR,-76.4556571,37.07949,R
201604316,2016-05-25,1442,EXTORT,0 BLK 29TH ST,-76.4172701,36.9861391,R
201610611,2016-12-19,927,EXTORT,1200 BLK MILL POND CT,-76.4851288,37.1189149,R
201700564,2017-01-22,24,EXTORT,500 BLK LOGAN PL,-76.4698853,37.0473161,R
201757218,2017-09-10,1113,EXTORT,3300 BLK JEFFERSON AVE,-76.4244368,36.9871436,C
201731599,2017-09-30,1440,EXTORT,200 BLK WOODBURNE LN,-76.5211164,37.0977792,R
201758581,2017-10-27,1644,EXTORT,9700 BLK JEFFERSON AVE,-76.4505536,37.0291733,C
201850215,2018-01-10,1128,EXTORT,100 BLK HIGHLANDS PKWY,-76.5806848,37.1992595,R
201850691,2018-01-25,2315,EXTORT,1100 BLK COUNTRY CLUB RD,-76.4968822,37.0551666,P
201851347,2018-02-17,1607,EXTORT,11800 BLK JEFFERSON AVE,-76.4812475,37.0858157,C
201824439,2018-06-27,705,EXTORT,100 BLK REPUBLIC RD,-76.5755038,37.1864015,R
201800937,2018-12-02,1343,EXTORT,100 BLK SHASTA DR,-76.5662739,37.1363769,R
201860100,2018-12-05,12,EXTORT,45TH ST / WARWICK BLVD,-76.4344139,36.992083,M
201800975,2018-12-10,2051,EXTORT,1200 BLK GARDEN DR,-76.4009994,36.979544,R
