REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600819,2016-01-24,2323,"FAMILY OFFENSES, NONVIOLENT",200 BLK 26TH ST,-76.4307272,36.9784021,C
201606335,2016-08-04,542,"FAMILY OFFENSES, NONVIOLENT",200 BLK MONTICELLO CT,-76.4959011,37.1034295,R
201607039,2016-08-25,416,"FAMILY OFFENSES, NONVIOLENT",500 BLK ADAMS DR,-76.4582324,37.0550879,R
201658760,2016-10-31,2120,"FAMILY OFFENSES, NONVIOLENT",500 BLK LEONARD LN,-76.4521835,37.0721989,R
201659854,2016-12-08,1519,"FAMILY OFFENSES, NONVIOLENT",0 BLK GROOME RD,-76.465142,37.071146,R
201750252,2017-01-10,1847,"FAMILY OFFENSES, NONVIOLENT",500 BLK CORAL KEY PL,-76.4906507,37.0994311,R
201750278,2017-01-11,2126,"FAMILY OFFENSES, NONVIOLENT",14800 BLK WARWICK BLVD,-76.541317,37.135346,R
201700941,2017-02-02,500,"FAMILY OFFENSES, NONVIOLENT",600 BLK DRESDEN DR,-76.4632065,37.0552779,C
201700933,2017-02-02,1827,"FAMILY OFFENSES, NONVIOLENT",600 BLK AQUA VISTA DR,-76.4102996,36.9695803,R
201751146,2017-02-10,2353,"FAMILY OFFENSES, NONVIOLENT",200 BLK GATE HOUSE RD,-76.5704289,37.1702852,R
201751801,2017-03-05,2118,"FAMILY OFFENSES, NONVIOLENT",200 BLK JAMES RIVER DR,-76.4734389,37.0334409,R
201703390,2017-04-27,1725,"FAMILY OFFENSES, NONVIOLENT",800 BLK CENTER AVE,-76.4481066,37.0283428,R
201703821,2017-05-12,1017,"FAMILY OFFENSES, NONVIOLENT",900 BLK RED OAK CIR,-76.5246331,37.1586534,R
201703854,2017-05-13,2240,"FAMILY OFFENSES, NONVIOLENT",100 BLK LOCHAVEN DR,-76.4693198,37.1070887,R
201703872,2017-05-14,2207,"FAMILY OFFENSES, NONVIOLENT",37TH ST / ORCUTT AVE,-76.4161259,36.9928606,R
201754163,2017-05-28,2218,"FAMILY OFFENSES, NONVIOLENT",0 BLK WRIGHT DR,-76.439285,37.0096911,C
201755005,2017-06-25,648,"FAMILY OFFENSES, NONVIOLENT",500 BLK J CLYDE MORRIS BLVD,-76.4833383,37.0634596,O
201757809,2017-09-30,1434,"FAMILY OFFENSES, NONVIOLENT",800 BLK FORREST DR,-76.4699618,37.076823,C
201732050,2017-10-13,1500,"FAMILY OFFENSES, NONVIOLENT",200 BLK 25TH ST,-76.4310403,36.9774858,C
