REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650144,2016-01-05,1633,FORCIBLE FONDLING,0 BLK MANEY DR,-76.4503384,37.0370167,R
201650325,2016-01-11,1904,FORCIBLE FONDLING,300 BLK ROYAL SPRINGS CT,-76.5448184,37.1350396,C
201650382,2016-01-14,2,FORCIBLE FONDLING,700 BLK 34TH ST,-76.4219303,36.9882796,R
201650525,2016-01-19,1637,FORCIBLE FONDLING,FLOWERS TER / WOODHAVEN RD,-76.5511517,37.154226,R
201650586,2016-01-21,1553,FORCIBLE FONDLING,9700 BLK JEFFERSON AVE,-76.4505536,37.0291733,C
201650784,2016-01-29,1936,FORCIBLE FONDLING,600 BLK STONEY CREEK LN,-76.520323,37.1424356,R
201650800,2016-01-30,1158,FORCIBLE FONDLING,300 BLK BOULDER DR,-76.5576401,37.1605218,R
201650911,2016-02-02,1927,FORCIBLE FONDLING,9700 BLK JEFFERSON AVE,-76.4505536,37.0291733,C
201601156,2016-02-04,932,FORCIBLE FONDLING,800 BLK HAMPTON AVE,-76.4140722,36.9810153,R
201651041,2016-02-07,1920,FORCIBLE FONDLING,300 BLK PAULETTE DR,-76.5530453,37.1330898,R
201601289,2016-02-09,1421,FORCIBLE FONDLING,0 BLK OLD OYSTER POINT RD,-76.4775373,37.1052281,C
201601793,2016-02-29,1100,FORCIBLE FONDLING,1500 BLK KILN CREEK PKWY,-76.4863282,37.1218385,R
201601837,2016-03-02,1324,FORCIBLE FONDLING,600 BLK NEWMARKET DR N,-76.4417094,37.021798,C
201651788,2016-03-09,1645,FORCIBLE FONDLING,600 BLK ADAMS DR,-76.45928,37.0558737,R
201651910,2016-03-14,1914,FORCIBLE FONDLING,2000 BLK MADISON AVE,-76.415792,36.978836,R
201651966,2016-03-16,1318,FORCIBLE FONDLING,13400 BLK WOODSIDE LN,-76.5268772,37.1714068,P
201602258,2016-03-17,1200,FORCIBLE FONDLING,100 BLK CANDLEWOOD WAY,-76.479757,37.078103,R
201602528,2016-03-28,1035,FORCIBLE FONDLING,0 BLK HOPKINS ST,-76.4602043,37.0288854,R
201602686,2016-04-01,1146,FORCIBLE FONDLING,0 BLK MINTON DR,-76.4934576,37.072922,C
201652528,2016-04-06,1324,FORCIBLE FONDLING,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201602891,2016-04-08,1137,FORCIBLE FONDLING,400 BLK SAVAGE DR,-76.5194339,37.117074,R
201652627,2016-04-09,2311,FORCIBLE FONDLING,300 BLK TABBS LN,-76.5369614,37.1200842,R
201652653,2016-04-10,2220,FORCIBLE FONDLING,5400 BLK FAIRFAX AVE,-76.428483,37.001179,R
201652661,2016-04-11,700,FORCIBLE FONDLING,1100 BLK 18TH ST,-76.4058702,36.9810653,R
201652720,2016-04-12,2110,FORCIBLE FONDLING,900 BLK 20TH ST,-76.4105585,36.9807845,C
201603029,2016-04-13,929,FORCIBLE FONDLING,3200 BLK MADISON AVE,-76.420955,36.987203,R
201603040,2016-04-13,1514,FORCIBLE FONDLING,100 BLK HERTZLER RD,-76.5542229,37.1075944,R
201603159,2016-04-18,1121,FORCIBLE FONDLING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201603246,2016-04-20,1516,FORCIBLE FONDLING,400 BLK ATKINSON WAY,-76.5476769,37.148081,P
201653006,2016-04-22,1940,FORCIBLE FONDLING,300 BLK DESHAZOR DR,-76.5445587,37.1285745,R
201653026,2016-04-23,1904,FORCIBLE FONDLING,0 BLK LOIS LN,-76.5535294,37.1467895,R
201653222,2016-04-29,34,FORCIBLE FONDLING,300 BLK HIDENWOOD DR,-76.498234,37.07515,R
201653252,2016-05-01,143,FORCIBLE FONDLING,500 BLK DARTMOOR DR,-76.5257316,37.1382981,R
201653691,2016-05-15,2014,FORCIBLE FONDLING,300 BLK MARLBORO RD,-76.5355237,37.1073799,R
201653747,2016-05-17,1954,FORCIBLE FONDLING,4800 BLK HUNTINGTON AVE,-76.437503,36.993414,R
201653945,2016-05-23,1714,FORCIBLE FONDLING,800 BLK 80TH ST,-76.4379698,37.0196518,C
201654223,2016-05-31,2249,FORCIBLE FONDLING,4300 BLK LACY COVE LN,-76.5388312,37.1256349,R
201654297,2016-06-03,1804,FORCIBLE FONDLING,600 BLK RIVER BEND CT,-76.4916212,37.1119875,R
201654450,2016-06-08,2127,FORCIBLE FONDLING,200 BLK RICHNECK RD,-76.5280122,37.148835,C
201604730,2016-06-09,1315,FORCIBLE FONDLING,200 BLK HARPERS DR,-76.4432803,37.0870925,R
201654622,2016-06-13,2330,FORCIBLE FONDLING,600 BLK 16TH ST,-76.4169941,36.9748781,R
201654715,2016-06-16,2127,FORCIBLE FONDLING,2100 BLK MADISON AVE,-76.41625,36.979452,R
201605328,2016-06-29,1441,FORCIBLE FONDLING,400 BLK SAVAGE DR,-76.5194339,37.117074,R
201605565,2016-07-08,1605,FORCIBLE FONDLING,500 BLK ADAMS DR,-76.4582324,37.0550879,R
201655472,2016-07-12,212,FORCIBLE FONDLING,0 BLK DORSEY RD,-76.481754,37.0782839,R
201655471,2016-07-12,216,FORCIBLE FONDLING,100 BLK MEWS LN,-76.5610883,37.1543359,R
