REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650194,2016-01-07,1201,FORCIBLE SODOMY,1500 BLK HARBOR RD,-76.4181026,36.9737946,R
201650258,2016-01-09,1016,FORCIBLE SODOMY,9700 BLK JEFFERSON AVE,-76.4505536,37.0291733,C
201650387,2016-01-14,640,FORCIBLE SODOMY,13400 BLK JEFFERSON AVE,-76.5454138,37.1718873,C
201651911,2016-03-14,1906,FORCIBLE SODOMY,700 BLK OLD LUCAS CREEK RD,-76.5485387,37.1205831,R
201652040,2016-03-18,1953,FORCIBLE SODOMY,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
201602411,2016-03-23,1523,FORCIBLE SODOMY,2100 BLK CHESTNUT AVE,-76.4041725,36.9842844,R
201652386,2016-03-31,2145,FORCIBLE SODOMY,1000 BLK LOFTIS BLVD,-76.4841375,37.0857037,C
201652558,2016-04-07,1427,FORCIBLE SODOMY,200 BLK 25TH ST,-76.4310403,36.9774858,C
201653893,2016-05-22,119,FORCIBLE SODOMY,600 BLK ARMSTEAD LOOP,-76.5308682,37.1288317,R
201654021,2016-05-26,744,FORCIBLE SODOMY,13400 BLK WOODSIDE LN,-76.5268772,37.1714068,P
201654032,2016-05-26,1647,FORCIBLE SODOMY,300 BLK SEAGULL CT,-76.560688,37.1568172,R
201655013,2016-06-26,2037,FORCIBLE SODOMY,600 BLK 43RD ST,-76.4278844,36.9928604,C
201605318,2016-06-29,1358,FORCIBLE SODOMY,0 BLK REXFORD DR,-76.5598088,37.1531386,R
201655559,2016-07-14,2230,FORCIBLE SODOMY,800 BLK DEPRIEST DOWNS,-76.5673371,37.1658796,R
201655950,2016-07-29,1737,FORCIBLE SODOMY,500 BLK ADAMS DR,-76.4582324,37.0550879,R
201657567,2016-09-21,1233,FORCIBLE SODOMY,300 BLK HICKORY POINT BLVD,-76.5565493,37.1561694,C
201609832,2016-10-16,1803,FORCIBLE SODOMY,14000 BLK OLD COURTHOUSE WAY,-76.5321309,37.1241334,C
201610289,2016-12-06,1400,FORCIBLE SODOMY,700 BLK OLD LUCAS CREEK RD,-76.5485387,37.1205831,R
201700074,2017-01-04,1025,FORCIBLE SODOMY,500 BLK CORAL CT,-76.4924427,37.0964912,R
201750226,2017-01-09,1624,FORCIBLE SODOMY,800 BLK CATALINA DR,-76.5587799,37.1247833,R
201750436,2017-01-16,2027,FORCIBLE SODOMY,700 BLK 19TH ST,-76.4155647,36.9780062,R
201700950,2017-02-03,1045,FORCIBLE SODOMY,1600 BLK IVY AVE,-76.4149731,36.975855,P
201751418,2017-02-20,1246,FORCIBLE SODOMY,14400 BLK OLD COURTHOUSE WAY,-76.5407758,37.1293442,C
201751975,2017-03-11,1910,FORCIBLE SODOMY,300 BLK 73RD ST,-76.4494589,37.011754,R
201753060,2017-04-19,1843,FORCIBLE SODOMY,9700 BLK JEFFERSON AVE,-76.4505536,37.0291733,C
201703331,2017-04-25,1342,FORCIBLE SODOMY,14000 BLK WARWICK BLVD,-76.5314403,37.124915,C
201703498,2017-05-02,1202,FORCIBLE SODOMY,14500 BLK OLD COURTHOUSE WAY,-76.5422682,37.1327238,C
201753456,2017-05-04,1412,FORCIBLE SODOMY,700 BLK PAUL ST,-76.4337379,37.0127993,R
201753953,2017-05-21,2037,FORCIBLE SODOMY,17500 BLK WARWICK BLVD,-76.576412,37.1980977,C
201754698,2017-06-15,1439,FORCIBLE SODOMY,29TH ST,-76.4172701,36.9861391,R
201754729,2017-06-16,813,FORCIBLE SODOMY,500 BLK BELLWOOD RD,-76.4550279,37.0302713,R
201755040,2017-06-26,1438,FORCIBLE SODOMY,300 BLK HICKORY POINT BLVD,-76.5565493,37.1561694,C
201755342,2017-07-06,1211,FORCIBLE SODOMY,100 BLK TYLER AVE,-76.4541622,37.0290032,R
201755851,2017-07-25,1337,FORCIBLE SODOMY,100 BLK MYTILENE DR,-76.4211017,37.018619,R
201756485,2017-08-15,1927,FORCIBLE SODOMY,300 BLK BLAIR AVE,-76.3927317,36.9868371,R
201731471,2017-09-25,1157,FORCIBLE SODOMY,900 BLK LAKEFRONT CMNS,-76.4735059,37.0886014,C
201757729,2017-09-27,2253,FORCIBLE SODOMY,300 BLK DESHAZOR DR,-76.5445587,37.1285745,R
201758068,2017-10-08,1930,FORCIBLE SODOMY,0 BLK BLAKE LOOP,-76.480502,37.0757939,R
201759033,2017-11-13,58,FORCIBLE SODOMY,100 BLK SARAZEN CT,-76.4823418,37.1140185,R
201733036,2017-11-17,1128,FORCIBLE SODOMY,200 BLK SUSAN CONSTANT DR,-76.5496707,37.1430184,R
