REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650028,2016-01-01,2005.0,FORGERY/COUNTERFEITING,12700 BLK JEFFERSON AVE,-76.5184453,37.1374683,C
201600115,2016-01-04,1531.0,FORGERY/COUNTERFEITING,10900 BLK WARWICK BLVD,-76.471898,37.0426048,C
201650137,2016-01-05,1459.0,FORGERY/COUNTERFEITING,13200 BLK WARWICK BLVD,-76.5165735,37.1120849,C
201600196,2016-01-06,1402.0,FORGERY/COUNTERFEITING,6000 BLK JEFFERSON AVE,-76.4406831,37.0144032,C
201600197,2016-01-06,1433.0,FORGERY/COUNTERFEITING,3700 BLK HUNTINGTON AVE,-76.4331472,36.9863712,C
201600331,2016-01-10,29.0,FORGERY/COUNTERFEITING,5000 BLK MERCURY BLVD,-76.4415084,37.0214429,C
201650333,2016-01-12,946.0,FORGERY/COUNTERFEITING,400 BLK DENBIGH BLVD,-76.5370096,37.1291369,C
201650338,2016-01-12,1211.0,FORGERY/COUNTERFEITING,3100 BLK JEFFERSON AVE,-76.4231737,36.9854288,C
201650340,2016-01-12,1649.0,FORGERY/COUNTERFEITING,10800 BLK WARWICK BLVD,-76.4667659,37.0377816,C
201650384,2016-01-14,135.0,FORGERY/COUNTERFEITING,5000 BLK MERCURY BLVD,-76.4415084,37.0214429,C
201600492,2016-01-14,2103.0,FORGERY/COUNTERFEITING,14300 BLK WARWICK BLVD,-76.5349533,37.1275595,C
201600526,2016-01-15,1305.0,FORGERY/COUNTERFEITING,100 BLK HERMAN MELVILLE AVE,-76.4890842,37.0846805,R
201650423,2016-01-15,1720.0,FORGERY/COUNTERFEITING,3300 BLK ROANOKE AVE,-76.4120836,36.9915884,R
201600571,2016-01-17,1828.0,FORGERY/COUNTERFEITING,700 BLK J CLYDE MORRIS BLVD,-76.4667135,37.0765421,C
201650637,2016-01-23,1431.0,FORGERY/COUNTERFEITING,2600 BLK CHESTNUT AVE,-76.40669,36.988362,C
201650689,2016-01-26,1008.0,FORGERY/COUNTERFEITING,12900 BLK JEFFERSON AVE,-76.528324,37.1497,C
201650690,2016-01-26,1143.0,FORGERY/COUNTERFEITING,12900 BLK JEFFERSON AVE,-76.528324,37.1497,C
201650734,2016-01-27,2344.0,FORGERY/COUNTERFEITING,5000 BLK MERCURY BLVD,-76.4415084,37.0214429,C
201650749,2016-01-28,1439.0,FORGERY/COUNTERFEITING,600 BLK DRESDEN DR,-76.4632065,37.0552779,C
201650751,2016-01-28,1525.0,FORGERY/COUNTERFEITING,2400 BLK WASHINGTON AVE,-76.4760405,37.0873506,C
201601092,2016-02-01,2317.0,FORGERY/COUNTERFEITING,0 BLK HIDEN BLVD,-76.5004773,37.0676714,R
201650893,2016-02-02,1023.0,FORGERY/COUNTERFEITING,500 BLK HARPERSVILLE RD,-76.459168,37.064171,R
201601105,2016-02-02,1118.0,FORGERY/COUNTERFEITING,10100 BLK JEFFERSON AVE,-76.4564057,37.0391284,C
201601120,2016-02-02,1930.0,FORGERY/COUNTERFEITING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
