REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600027,2016-01-01,1601,FRAUD - IMPERSONATE,500 BLK BULKELEY PL,-76.4567488,37.0323236,R
201600108,2016-01-04,1426,FRAUD - IMPERSONATE,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201600110,2016-01-04,1426,FRAUD - IMPERSONATE,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201600107,2016-01-04,1426,FRAUD - IMPERSONATE,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201600142,2016-01-05,1045,FRAUD - IMPERSONATE,100 BLK MOTOKA DR,-76.5266814,37.1305767,R
201600272,2016-01-07,1605,FRAUD - IMPERSONATE,600 BLK 27TH ST,-76.4216395,36.9826044,C
201600273,2016-01-08,1201,FRAUD - IMPERSONATE,6300 BLK TIVOLI PL,-76.4232413,37.014286,R
201600276,2016-01-08,1233,FRAUD - IMPERSONATE,400 BLK CROSSINGS CT,-76.5281225,37.1340156,R
201600289,2016-01-08,1704,FRAUD - IMPERSONATE,500 BLK OSCAR LOOP,-76.4815475,37.0772561,R
201600355,2016-01-10,2342,FRAUD - IMPERSONATE,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201650306,2016-01-11,40,FRAUD - IMPERSONATE,32ND ST / MARSHALL AVE,-76.4184575,36.9880697,R
201600366,2016-01-11,1234,FRAUD - IMPERSONATE,300 BLK HICKORY POINT BLVD,-76.5565493,37.1561694,C
201600370,2016-01-11,1425,FRAUD - IMPERSONATE,500 BLK ONANCOCK TRL,-76.506895,37.1168597,C
201600374,2016-01-11,1625,FRAUD - IMPERSONATE,0 BLK MORRISON AVE,-76.464335,37.0516704,R
201600386,2016-01-12,947,FRAUD - IMPERSONATE,0 BLK MCKINLEY DR,-76.5597128,37.1495616,R
201600397,2016-01-12,1252,FRAUD - IMPERSONATE,200 BLK CITIZENS LN,-76.534056,37.125527,R
201600428,2016-01-13,1020,FRAUD - IMPERSONATE,100 BLK CANDLEWOOD WAY,-76.479757,37.078103,R
201600477,2016-01-14,1321,FRAUD - IMPERSONATE,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201600478,2016-01-14,1332,FRAUD - IMPERSONATE,12200 BLK JEFFERSON AVE,-76.4962531,37.1094588,C
201600481,2016-01-14,1422,FRAUD - IMPERSONATE,#Error,-76.4730122,37.0870821,C
201600482,2016-01-14,1447,FRAUD - IMPERSONATE,#Error,-76.4730122,37.0870821,C
201600512,2016-01-15,919,FRAUD - IMPERSONATE,900 BLK CHARLOTTE DR,-76.4501515,37.0890083,R
201600523,2016-01-15,1215,FRAUD - IMPERSONATE,800 BLK 35TH ST,-76.4192709,36.9899515,R
201600553,2016-01-16,1610,FRAUD - IMPERSONATE,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201600568,2016-01-17,1432,FRAUD - IMPERSONATE,400 BLK DORA DR,-76.5258991,37.1141857,R
201600584,2016-01-18,1310,FRAUD - IMPERSONATE,900 BLK 28TH ST,-76.4141867,36.986593,P
201600603,2016-01-19,1304,FRAUD - IMPERSONATE,1400 BLK WICKHAM AVE,-76.4078795,36.9769292,R
201600631,2016-01-20,1026,FRAUD - IMPERSONATE,100 BLK KEITH RD,-76.5079722,37.0914078,R
201600641,2016-01-20,1344,FRAUD - IMPERSONATE,1300 BLK VENTURA WAY,-76.5195322,37.145963,R
201600645,2016-01-20,1433,FRAUD - IMPERSONATE,0 BLK HIDEN BLVD,-76.5004773,37.0676714,R
201600646,2016-01-20,1453,FRAUD - IMPERSONATE,300 BLK OYSTER POINT RD,-76.5109083,37.1035132,C
201600657,2016-01-20,1706,FRAUD - IMPERSONATE,300 BLK CIRCUIT LN,-76.534754,37.1420559,R
201600709,2016-01-21,515,FRAUD - IMPERSONATE,600 BLK 12TH ST,-76.4155096,36.9724448,M
201600708,2016-01-21,1047,FRAUD - IMPERSONATE,600 BLK 12TH ST,-76.4155096,36.9724448,M
201600711,2016-01-21,1204,FRAUD - IMPERSONATE,300 BLK CHATHAM DR,-76.5119698,37.1243049,C
201600712,2016-01-21,1215,FRAUD - IMPERSONATE,2300 BLK JEFFERSON AVE,-76.4199088,36.9795191,R
201600713,2016-01-21,1241,FRAUD - IMPERSONATE,300 BLK CHATHAM DR,-76.5119698,37.1243049,C
201600723,2016-01-21,1510,FRAUD - IMPERSONATE,11700 BLK JEFFERSON AVE,-76.4747446,37.0755734,C
201600755,2016-01-22,1717,FRAUD - IMPERSONATE,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201600831,2016-01-25,951,FRAUD - IMPERSONATE,300 BLK ST THOMAS DR,-76.4876604,37.0907376,R
201600868,2016-01-26,1307,FRAUD - IMPERSONATE,300 BLK HUGHES DR,-76.5495567,37.1312189,R
201600873,2016-01-26,1603,FRAUD - IMPERSONATE,700 BLK J CLYDE MORRIS BLVD,-76.4667135,37.0765421,C
201600893,2016-01-27,1024,FRAUD - IMPERSONATE,12500 BLK WARWICK BLVD,-76.4941434,37.0762992,C
201600907,2016-01-27,1845,FRAUD - IMPERSONATE,700 BLK NURNEY DR,-76.4545434,37.0774936,R
201600924,2016-01-28,125,FRAUD - IMPERSONATE,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201600915,2016-01-28,930,FRAUD - IMPERSONATE,0 BLK EVELYN DR,-76.5593374,37.1230625,R
201600923,2016-01-28,1309,FRAUD - IMPERSONATE,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
201600925,2016-01-28,1329,FRAUD - IMPERSONATE,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201600929,2016-01-28,1506,FRAUD - IMPERSONATE,400 BLK DENBIGH BLVD,-76.5370096,37.1291369,C
201600940,2016-01-28,1736,FRAUD - IMPERSONATE,1400 BLK BERKSHIRE DR,-76.4919221,37.1236851,R
201600942,2016-01-28,1852,FRAUD - IMPERSONATE,7000 BLK BELVEDERE DR,-76.4475982,37.0093518,R
201600969,2016-01-29,1645,FRAUD - IMPERSONATE,3100 BLK HUNTINGTON AVE,-76.4305377,36.9824277,C
201601010,2016-01-30,1233,FRAUD - IMPERSONATE,15400 BLK WARWICK BLVD,-76.5518298,37.1485437,C
201601035,2016-01-31,1103,FRAUD - IMPERSONATE,14300 BLK WARWICK BLVD,-76.5349533,37.1275595,C
201601042,2016-01-31,1430,FRAUD - IMPERSONATE,700 BLK TRAILS LN,-76.5394189,37.1702615,R
201601061,2016-02-01,1053,FRAUD - IMPERSONATE,300 BLK ADAMS WOOD LN,-76.5206606,37.1152812,C
201601075,2016-02-01,1519,FRAUD - IMPERSONATE,400 BLK DENBIGH BLVD,-76.5370096,37.1291369,C
201601078,2016-02-01,1535,FRAUD - IMPERSONATE,2700 BLK WASHINGTON AVE,-76.4311073,36.9793129,C
201601082,2016-02-01,1703,FRAUD - IMPERSONATE,300 BLK DEPUTY LN,-76.5355935,37.1457008,R
201601116,2016-02-02,1733,FRAUD - IMPERSONATE,2600 BLK WEST AVE,-76.4325296,36.9776849,C
201601127,2016-02-03,951,FRAUD - IMPERSONATE,12300 BLK WARWICK BLVD,-76.4889633,37.0639807,C
201601134,2016-02-03,1507,FRAUD - IMPERSONATE,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201601142,2016-02-03,1637,FRAUD - IMPERSONATE,500 BLK LOGAN PL,-76.4698853,37.0473161,R
201601146,2016-02-03,1726,FRAUD - IMPERSONATE,500 BLK JEAN CT,-76.5472652,37.1525324,R
201650969,2016-02-05,1353,FRAUD - IMPERSONATE,3600 BLK WASHINGTON AVE,-76.4344579,36.9851225,C
201601190,2016-02-05,1513,FRAUD - IMPERSONATE,0 BLK ASTOR DR,-76.5565842,37.1503941,R
201601193,2016-02-05,1552,FRAUD - IMPERSONATE,0 BLK HARPERSVILLE RD,-76.4577028,37.0732602,R
201601220,2016-02-06,1714,FRAUD - IMPERSONATE,13300 BLK DE WALD CIR,-76.5166689,37.1164267,R
201601234,2016-02-07,1046,FRAUD - IMPERSONATE,100 BLK SUITE LIFE CIR,-76.4890208,37.0880131,R
201601235,2016-02-07,1108,FRAUD - IMPERSONATE,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C
201601237,2016-02-07,1300,FRAUD - IMPERSONATE,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201601245,2016-02-08,813,FRAUD - IMPERSONATE,500 BLK JEAN CT,-76.5472652,37.1525324,R
201601247,2016-02-08,933,FRAUD - IMPERSONATE,100 BLK JEFFERYS DR,-76.4573086,37.0531368,R
201601254,2016-02-08,1053,FRAUD - IMPERSONATE,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C
201601256,2016-02-08,1232,FRAUD - IMPERSONATE,1100 BLK 16TH ST,-76.4051422,36.9797539,R
201601260,2016-02-08,1431,FRAUD - IMPERSONATE,1000 BLK 29TH ST,-76.4129888,36.9878483,P
201601273,2016-02-08,2041,FRAUD - IMPERSONATE,12800 BLK JEFFERSON AVE,-76.5200872,37.1391605,C
201601288,2016-02-09,1411,FRAUD - IMPERSONATE,1000 BLK 29TH ST,-76.4129888,36.9878483,P
201601294,2016-02-09,1643,FRAUD - IMPERSONATE,4300 BLK LACY COVE LN,-76.5388312,37.1256349,R
201601306,2016-02-10,1111,FRAUD - IMPERSONATE,4300 BLK MADISON AVE,-76.4255238,36.9940444,C
201601308,2016-02-10,1134,FRAUD - IMPERSONATE,900 BLK 21ST ST,-76.4109507,36.9814258,C
201601313,2016-02-10,1334,FRAUD - IMPERSONATE,0 BLK ZENITH LOOP,-76.453803,37.0660046,R
201601326,2016-02-11,847,FRAUD - IMPERSONATE,600 BLK THIMBLE SHOALS BLVD,-76.4793186,37.0830657,C
201601327,2016-02-11,852,FRAUD - IMPERSONATE,400 BLK DENBIGH BLVD,-76.5370096,37.1291369,C
201601338,2016-02-11,1241,FRAUD - IMPERSONATE,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C
201601341,2016-02-11,1414,FRAUD - IMPERSONATE,800 BLK OLIVE DR,-76.4511396,37.0831165,R
201601352,2016-02-11,1916,FRAUD - IMPERSONATE,5500 BLK YORK CIR,-76.4306409,37.0006099,R
201601364,2016-02-12,1012,FRAUD - IMPERSONATE,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201601365,2016-02-12,1017,FRAUD - IMPERSONATE,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C
201601367,2016-02-12,1033,FRAUD - IMPERSONATE,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
201601371,2016-02-12,1259,FRAUD - IMPERSONATE,11200 BLK JEFFERSON AVE,-76.4657937,37.059528,C
201601370,2016-02-12,1259,FRAUD - IMPERSONATE,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201601377,2016-02-12,1428,FRAUD - IMPERSONATE,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
201601453,2016-02-15,1829,FRAUD - IMPERSONATE,500 BLK HAMLIN ST,-76.4616917,37.0357454,R
201601471,2016-02-16,1004,FRAUD - IMPERSONATE,200 BLK CASTLE KEEP CT,-76.5216209,37.1551699,R
