REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201601642,2016-02-23,923,FRAUD BY WIRE,200 BLK MAXWELL LN,-76.5117814,37.088291,R
201605245,2016-06-27,934,FRAUD BY WIRE,100 BLK CAPTAINS LN,-76.5436495,37.0983161,R
201605456,2016-07-05,733,FRAUD BY WIRE,12800 BLK JEFFERSON AVE,-76.5200872,37.1391605,C
201606191,2016-07-29,1224,FRAUD BY WIRE,800 BLK GREENWICH LN,-76.4499175,37.0826991,R
201607692,2016-09-14,1153,FRAUD BY WIRE,700 BLK DAYLIGHT CT,-76.516314,37.1393995,R
201607928,2016-09-22,1115,FRAUD BY WIRE,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
201607929,2016-09-22,1137,FRAUD BY WIRE,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201607960,2016-09-23,914,FRAUD BY WIRE,15400 BLK WARWICK BLVD,-76.5518298,37.1485437,C
201608785,2016-10-19,1531,FRAUD BY WIRE,300 BLK SEAGULL CT,-76.560688,37.1568172,R
201609147,2016-10-31,1009,FRAUD BY WIRE,500 BLK ASHWOOD DR,-76.5237066,37.1336315,R
201609155,2016-10-31,1407,FRAUD BY WIRE,13200 BLK RIDGEVIEW DR,-76.544712,37.167131,R
201609433,2016-11-08,1428,FRAUD BY WIRE,0 BLK EVERETT DR,-76.5434555,37.0972483,R
201609986,2016-11-28,1132,FRAUD BY WIRE,800 BLK CHAPIN WOOD DR,-76.544838,37.172345,R
201610029,2016-11-29,1139,FRAUD BY WIRE,13200 BLK SOJOURNER CT,-76.5143422,37.1134123,R
201610048,2016-11-29,1957,FRAUD BY WIRE,7100 BLK WARWICK BLVD,-76.4460483,37.0108875,C
201610210,2016-12-05,1047,FRAUD BY WIRE,1300 BLK MOYER RD,-76.5768851,37.1376813,R
201610446,2016-12-13,1134,FRAUD BY WIRE,0 BLK LYLISTON LN,-76.455311,37.0498658,R
201610476,2016-12-14,1006,FRAUD BY WIRE,700 BLK 26TH ST,-76.4187957,36.9831566,R
201610850,2016-12-29,917,FRAUD BY WIRE,300 BLK HICKORY POINT BLVD,-76.5565493,37.1561694,C
201700052,2017-01-03,1637,FRAUD BY WIRE,200 BLK N HUNT CLUB RUN,-76.569993,37.170193,R
201700921,2017-02-02,1254,FRAUD BY WIRE,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
201701539,2017-02-22,1217,FRAUD BY WIRE,300 BLK MALDEN LN,-76.5362145,37.1057328,R
201702105,2017-03-13,1333,FRAUD BY WIRE,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
201703009,2017-04-14,1113,FRAUD BY WIRE,100 BLK PLEASANT CT,-76.5332882,37.1224862,R
201703026,2017-04-15,1229,FRAUD BY WIRE,0 BLK PATTON DR,-76.5028378,37.0845896,R
201703993,2017-05-17,1643,FRAUD BY WIRE,600 BLK MORING CT,-76.5242275,37.1378058,R
201754786,2017-06-18,1341,FRAUD BY WIRE,#Error,-76.4730122,37.0870821,C
201705068,2017-06-21,1308,FRAUD BY WIRE,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
