REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600129,2016-01-04,4,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
201600130,2016-01-05,319,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12700 BLK JEFFERSON AVE,-76.5184453,37.1374683,C
201600317,2016-01-09,1432,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201600318,2016-01-09,1432,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12900 BLK WARWICK BLVD,-76.5064281,37.0965584,R
201600358,2016-01-11,832,FRAUD-ILLEGAL USE CREDIT CARD/ATM,300 BLK CHATHAM DR,-76.5119698,37.1243049,C
201600399,2016-01-12,1332,FRAUD-ILLEGAL USE CREDIT CARD/ATM,200 BLK EASTWOOD DR,-76.5355195,37.1040228,R
201600430,2016-01-13,1119,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12900 BLK JEFFERSON AVE,-76.528324,37.1497,C
201600460,2016-01-14,903,FRAUD-ILLEGAL USE CREDIT CARD/ATM,300 BLK FRANCISCO WAY,-76.4600371,37.0390983,R
201600463,2016-01-14,918,FRAUD-ILLEGAL USE CREDIT CARD/ATM,300 BLK FRANCISCO WAY,-76.4600371,37.0390983,R
201600464,2016-01-14,924,FRAUD-ILLEGAL USE CREDIT CARD/ATM,300 BLK FRANCISCO WAY,-76.4600371,37.0390983,R
201600465,2016-01-14,931,FRAUD-ILLEGAL USE CREDIT CARD/ATM,300 BLK FRANCISCO WAY,-76.4600371,37.0390983,R
201600466,2016-01-14,937,FRAUD-ILLEGAL USE CREDIT CARD/ATM,300 BLK FRANCISCO WAY,-76.4600371,37.0390983,R
201600467,2016-01-14,949,FRAUD-ILLEGAL USE CREDIT CARD/ATM,300 BLK FRANCISCO WAY,-76.4600371,37.0390983,R
201600468,2016-01-14,955,FRAUD-ILLEGAL USE CREDIT CARD/ATM,300 BLK FRANCISCO WAY,-76.4600371,37.0390983,R
201600476,2016-01-14,1308,FRAUD-ILLEGAL USE CREDIT CARD/ATM,9800 BLK JEFFERSON AVE,-76.4511652,37.0301715,C
201600502,2016-01-15,625,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12800 BLK JEFFERSON AVE,-76.5200872,37.1391605,C
201650438,2016-01-16,929,FRAUD-ILLEGAL USE CREDIT CARD/ATM,2600 BLK JEFFERSON AVE,-76.42135,36.9825725,C
201600562,2016-01-17,1105,FRAUD-ILLEGAL USE CREDIT CARD/ATM,5000 BLK MERCURY BLVD,-76.4415084,37.0214429,C
201600648,2016-01-20,1535,FRAUD-ILLEGAL USE CREDIT CARD/ATM,3500 BLK MADISON AVE,-76.4223353,36.9893085,R
201600649,2016-01-20,1620,FRAUD-ILLEGAL USE CREDIT CARD/ATM,3500 BLK MADISON AVE,-76.4223353,36.9893085,R
201600650,2016-01-20,1624,FRAUD-ILLEGAL USE CREDIT CARD/ATM,3500 BLK MADISON AVE,-76.4223353,36.9893085,R
201600651,2016-01-20,1627,FRAUD-ILLEGAL USE CREDIT CARD/ATM,3500 BLK MADISON AVE,-76.4223353,36.9893085,R
201600652,2016-01-20,1630,FRAUD-ILLEGAL USE CREDIT CARD/ATM,3500 BLK MADISON AVE,-76.4223353,36.9893085,R
201600659,2016-01-20,1807,FRAUD-ILLEGAL USE CREDIT CARD/ATM,100 BLK HUNTER RD,-76.4654213,37.0372114,M
201600661,2016-01-20,1820,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12400 BLK WARWICK BLVD,-76.4922018,37.0681471,C
201600662,2016-01-20,1824,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12400 BLK WARWICK BLVD,-76.4922018,37.0681471,C
201600663,2016-01-20,1826,FRAUD-ILLEGAL USE CREDIT CARD/ATM,14300 BLK WARWICK BLVD,-76.5349533,37.1275595,C
201600664,2016-01-20,1829,FRAUD-ILLEGAL USE CREDIT CARD/ATM,100 BLK ARTHUR WAY,-76.4694242,37.1123395,C
201600665,2016-01-20,1832,FRAUD-ILLEGAL USE CREDIT CARD/ATM,11900 BLK JEFFERSON AVE,-76.48382,37.0892377,C
201600666,2016-01-20,1835,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12400 BLK WARWICK BLVD,-76.4922018,37.0681471,C
201600667,2016-01-20,1842,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12500 BLK WARWICK BLVD,-76.4941434,37.0762992,C
201600668,2016-01-20,1845,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12600 BLK WARWICK BLVD,-76.4974914,37.0835204,C
201600673,2016-01-20,2142,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12900 BLK JEFFERSON AVE,-76.528324,37.1497,C
201600675,2016-01-20,2153,FRAUD-ILLEGAL USE CREDIT CARD/ATM,300 BLK OYSTER POINT RD,-76.5109083,37.1035132,C
201600676,2016-01-20,2155,FRAUD-ILLEGAL USE CREDIT CARD/ATM,0 BLK HIDEN BLVD,-76.5004773,37.0676714,R
201600677,2016-01-20,2203,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12400 BLK WARWICK BLVD,-76.4922018,37.0681471,C
201600678,2016-01-20,2214,FRAUD-ILLEGAL USE CREDIT CARD/ATM,10800 BLK WARWICK BLVD,-76.4667659,37.0377816,C
201600679,2016-01-20,2220,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12400 BLK WARWICK BLVD,-76.4922018,37.0681471,C
201600680,2016-01-20,2224,FRAUD-ILLEGAL USE CREDIT CARD/ATM,10800 BLK WARWICK BLVD,-76.4667659,37.0377816,C
201600681,2016-01-20,2231,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12400 BLK WARWICK BLVD,-76.4922018,37.0681471,C
201600682,2016-01-20,2235,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12400 BLK WARWICK BLVD,-76.4922018,37.0681471,C
201600684,2016-01-20,2242,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12600 BLK WARWICK BLVD,-76.4974914,37.0835204,C
201600685,2016-01-20,2250,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12400 BLK WARWICK BLVD,-76.4922018,37.0681471,C
