REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201710009,2017-08-16,1048,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
201710064,2017-09-25,1547,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,11100 BLK JEFFERSON AVE,-76.4633659,37.057511,R
201710077,2017-09-29,953,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,100 BLK INLAND VIEW DR,-76.57357,37.186577,R
201710119,2017-10-26,837,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,200 BLK POINTER CIR,-76.5038406,37.1032754,R
201710137,2017-11-07,1423,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,11800 BLK FISHING POINT DR,-76.4784907,37.0847569,C
201800006,2018-01-05,2007,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201800020,2018-01-19,1627,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,500 BLK ST. JOHNS RD,-76.5071086,37.1138949,R
201800036,2018-02-05,1343,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,600 BLK RANDOLPH RD,-76.4517282,37.030773,C
201800043,2018-02-14,1827,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201800086,2018-03-11,1311,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,100 BLK AMERICANA DR,-76.4742673,37.075965,R
201800090,2018-03-13,1830,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,1400 BLK KILN CREEK PKWY,-76.4863626,37.1206173,R
201800148,2018-04-07,1950,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,200 BLK TELFORD DR,-76.5376853,37.1195115,R
201800149,2018-04-09,1451,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,700 BLK BRIGSTOCK CIR,-76.4703015,37.08204,R
201800171,2018-04-19,1616,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C
201800173,2018-04-20,935,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,0 BLK GARLAND DR,-76.50003,37.0700648,R
201800177,2018-04-23,1707,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,12500 BLK JEFFERSON AVE,-76.5100863,37.1276496,M
201800184,2018-04-24,1323,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,2200 BLK TIMBERNECK LN,-76.487458,37.1180477,R
201800240,2018-05-18,323,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,10100 BLK JEFFERSON AVE,-76.4564057,37.0391284,C
201800278,2018-06-04,1508,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,5000 BLK MERCURY BLVD,-76.4415084,37.0214429,C
201800279,2018-06-04,1627,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,600 BLK 73RD ST,-76.438761,37.0129492,R
201800303,2018-06-14,1031,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,2200 BLK MADISON AVE,-76.4170108,36.9808323,R
201800319,2018-06-20,1503,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,15500 BLK WARWICK BLVD,-76.556432,37.1588069,C
201800359,2018-06-29,1204,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C
201800357,2018-06-29,1945,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,27TH ST / MARSHALL AVE,-76.4164851,36.9848629,R
201800442,2018-07-24,1641,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,9000 BLK WARWICK BLVD,-76.4509233,37.0193927,C
201800443,2018-07-24,1649,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201800444,2018-07-24,1659,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201800464,2018-07-27,1403,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201800467,2018-07-30,722,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201800468,2018-07-30,730,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201800470,2018-07-30,738,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,9200 BLK WARWICK BLVD,-76.4510305,37.0195027,C
201800471,2018-07-30,745,FRAUD-ILLEGAL USE OF CREDIT CARD/ATM,9200 BLK WARWICK BLVD,-76.4510305,37.0195027,C
