REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600094,2016-01-04,959.0,FRAUD/FALSE PRETENSES/SWINDLE,0 BLK ROFFMAN PL,-76.5043309,37.151505,R
201600144,2016-01-05,1232.0,FRAUD/FALSE PRETENSES/SWINDLE,100 BLK S REDWOOD CT,-76.5483391,37.1601239,R
201600236,2016-01-07,1248.0,FRAUD/FALSE PRETENSES/SWINDLE,600 BLK THIMBLE SHOALS BLVD,-76.4793186,37.0830657,C
201600249,2016-01-07,1641.0,FRAUD/FALSE PRETENSES/SWINDLE,13600 BLK WARWICK BLVD,-76.5224309,37.1180153,C
201600367,2016-01-11,1235.0,FRAUD/FALSE PRETENSES/SWINDLE,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201600371,2016-01-11,1433.0,FRAUD/FALSE PRETENSES/SWINDLE,3700 BLK HUNTINGTON AVE,-76.4331472,36.9863712,C
201600383,2016-01-12,905.0,FRAUD/FALSE PRETENSES/SWINDLE,0 BLK INDIAN SPRINGS DR,-76.5060945,37.0833477,R
201600396,2016-01-12,1242.0,FRAUD/FALSE PRETENSES/SWINDLE,13300 BLK WARWICK BLVD,-76.5188129,37.1145035,C
201650467,2016-01-17,1352.0,FRAUD/FALSE PRETENSES/SWINDLE,700 BLK 44TH ST,-76.4259096,36.9946891,R
201600586,2016-01-18,1516.0,FRAUD/FALSE PRETENSES/SWINDLE,#Error,-76.4730122,37.0870821,C
201600589,2016-01-18,1920.0,FRAUD/FALSE PRETENSES/SWINDLE,10100 BLK JEFFERSON AVE,-76.4564057,37.0391284,C
201600619,2016-01-19,2047.0,FRAUD/FALSE PRETENSES/SWINDLE,12500 BLK JEFFERSON AVE,-76.5100863,37.1276496,M
201600621,2016-01-19,2213.0,FRAUD/FALSE PRETENSES/SWINDLE,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
201600632,2016-01-20,1027.0,FRAUD/FALSE PRETENSES/SWINDLE,100 BLK MUSEUM DR,-76.4880841,37.0551904,P
201600634,2016-01-20,1223.0,FRAUD/FALSE PRETENSES/SWINDLE,200 BLK DENBIGH BLVD,-76.5541459,37.1248257,R
201650562,2016-01-20,2103.0,FRAUD/FALSE PRETENSES/SWINDLE,800 BLK HAMPTON AVE,-76.4140722,36.9810153,R
201600742,2016-01-22,944.0,FRAUD/FALSE PRETENSES/SWINDLE,900 BLK COLLEEN DR,-76.5544891,37.1358409,R
201600892,2016-01-27,919.0,FRAUD/FALSE PRETENSES/SWINDLE,11200 BLK JEFFERSON AVE,-76.4657937,37.059528,C
201650754,2016-01-28,1811.0,FRAUD/FALSE PRETENSES/SWINDLE,12800 BLK JEFFERSON AVE,-76.5200872,37.1391605,C
201600971,2016-01-29,1706.0,FRAUD/FALSE PRETENSES/SWINDLE,2100 BLK ORCUTT AVE,-76.4098561,36.9826848,R
201601057,2016-02-01,920.0,FRAUD/FALSE PRETENSES/SWINDLE,10500 BLK JEFFERSON AVE,-76.4589699,37.047296,C
201650922,2016-02-03,910.0,FRAUD/FALSE PRETENSES/SWINDLE,3700 BLK HUNTINGTON AVE,-76.4331472,36.9863712,C
201601241,2016-02-07,1707.0,FRAUD/FALSE PRETENSES/SWINDLE,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201601249,2016-02-08,1029.0,FRAUD/FALSE PRETENSES/SWINDLE,1300 BLK 23RD ST,-76.4028458,36.9871001,R
201601252,2016-02-08,1039.0,FRAUD/FALSE PRETENSES/SWINDLE,0 BLK OLD OYSTER POINT RD,-76.4775373,37.1052281,C
201601290,2016-02-09,1431.0,FRAUD/FALSE PRETENSES/SWINDLE,13100 BLK JEFFERSON AVE,-76.5367568,37.1607763,M
201601291,2016-02-09,1434.0,FRAUD/FALSE PRETENSES/SWINDLE,13100 BLK JEFFERSON AVE,-76.5367568,37.1607763,M
