REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201651619,2016-03-02,2337,HABITUAL TRAFFIC OFFENDER,RICHNECK RD / SHIELDS RD,-76.5264997,37.1597119,R
201602141,2016-03-13,721,HABITUAL TRAFFIC OFFENDER,BEECHMONT DR / WARWICK BLVD,-76.5451187,37.1362141,C
201603221,2016-04-19,2225,HABITUAL TRAFFIC OFFENDER,JEFFERSON AVE / TEMPLE LN,-76.4348449,37.0038549,C
201603488,2016-04-28,845,HABITUAL TRAFFIC OFFENDER,44TH ST / BAUGHMAN CT,-76.42438,36.9952781,C
201653737,2016-05-17,1523,HABITUAL TRAFFIC OFFENDER,10800 BLK WARWICK BLVD,-76.4667659,37.0377816,C
201604329,2016-05-26,335,HABITUAL TRAFFIC OFFENDER,LEES MILL DR / WARWICK BLVD,-76.5630959,37.1690435,C
201657482,2016-09-17,2337,HABITUAL TRAFFIC OFFENDER,HAMPTON AVE / JEFFERSON AVE,-76.4194995,36.9788648,R
201657992,2016-10-05,2130,HABITUAL TRAFFIC OFFENDER,100 BLK TYLER AVE,-76.4541622,37.0290032,R
201658580,2016-10-25,1236,HABITUAL TRAFFIC OFFENDER,39TH ST / CHESTNUT AVE,-76.4118703,36.9962832,M
201658650,2016-10-27,1735,HABITUAL TRAFFIC OFFENDER,27TH ST / MADISON AVE,-76.4191706,36.9837907,R
201609639,2016-11-16,434,HABITUAL TRAFFIC OFFENDER,13800 BLK WARWICK BLVD,-76.5311547,37.1249554,C
201659743,2016-12-04,2143,HABITUAL TRAFFIC OFFENDER,24TH ST / CHESTNUT AVE,-76.405987,36.9866631,R
201750205,2017-01-08,1850,HABITUAL TRAFFIC OFFENDER,1200 BLK 24TH ST,-76.4059599,36.9866738,R
201750374,2017-01-14,2115,HABITUAL TRAFFIC OFFENDER,HARPERSVILLE RD / JEFFERSON AVE,-76.4658672,37.0592619,C
201750489,2017-01-19,1317,HABITUAL TRAFFIC OFFENDER,200 BLK E I 64,-76.4628236,37.092969,C
201750624,2017-01-23,2000,HABITUAL TRAFFIC OFFENDER,DELOICE CRES / FLINT DR,-76.5323677,37.1297481,R
201751395,2017-02-19,1215,HABITUAL TRAFFIC OFFENDER,FORT EUSTIS BLVD / JEFFERSON AVE,-76.549099,37.175732,P
201751605,2017-02-26,1926,HABITUAL TRAFFIC OFFENDER,CHESAPEAKE AVE / WALNUT AVE,-76.3956935,36.9830872,P
201701882,2017-03-05,1454,HABITUAL TRAFFIC OFFENDER,3800 BLK ORCUTT AVE,-76.4165497,36.9936322,C
201752001,2017-03-12,1749,HABITUAL TRAFFIC OFFENDER,CURTIS DR / WARWICK BLVD,-76.5718254,37.1861021,R
201752376,2017-03-26,2303,HABITUAL TRAFFIC OFFENDER,1000 BLK 30TH ST,-76.4133982,36.9884819,P
201752410,2017-03-28,1433,HABITUAL TRAFFIC OFFENDER,ALUMINUM AVE / CHESTNUT AVE,-76.4160238,37.0031043,M
201752709,2017-04-07,550,HABITUAL TRAFFIC OFFENDER,INDUSTRIAL PARK DR / JEFFERSON AVE,-76.5407081,37.1648222,C
201753166,2017-04-23,1239,HABITUAL TRAFFIC OFFENDER,0 BLK SATINWOOD LN,-76.528487,37.1191309,R
201753276,2017-04-27,2303,HABITUAL TRAFFIC OFFENDER,800 BLK 31ST ST,-76.4180298,36.987434,R
201704794,2017-05-14,1400,HABITUAL TRAFFIC OFFENDER,400 BLK SPRATLEY CIR,-76.5237697,37.1227281,R
201753993,2017-05-22,2056,HABITUAL TRAFFIC OFFENDER,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201755384,2017-07-07,2123,HABITUAL TRAFFIC OFFENDER,700 BLK 48TH ST,-76.4274826,36.9972484,R
201725089,2017-07-08,1918,HABITUAL TRAFFIC OFFENDER,DENBIGH BLVD / JEFFERSON AVE,-76.5199051,37.1385052,C
201725220,2017-07-12,855,HABITUAL TRAFFIC OFFENDER,HARPERSVILLE RD / WARWICK BLVD,-76.4751733,37.0494083,C
201756045,2017-07-31,1253,HABITUAL TRAFFIC OFFENDER,EASTWOOD DR / MARK TWAIN DR,-76.5276699,37.1110657,R
201756760,2017-08-26,318,HABITUAL TRAFFIC OFFENDER,AQUEDUCT DR / COLONY RD,-76.5167207,37.1148901,R
201756845,2017-08-29,242,HABITUAL TRAFFIC OFFENDER,BEECHMONT DR / SUMTER DR,-76.5524505,37.1362409,R
201757214,2017-09-10,120,HABITUAL TRAFFIC OFFENDER,E I 64 255 ON RAMP / JEFFERSON AVE,-76.4626793,37.0931536,R
201732665,2017-11-02,1634,HABITUAL TRAFFIC OFFENDER,28TH ST / OAK AVE,-76.404858,36.9902984,R
201734091,2017-11-07,1115,HABITUAL TRAFFIC OFFENDER,500 BLK DENBIGH BLVD,-76.5262687,37.1353383,C
201733267,2017-11-25,1813,HABITUAL TRAFFIC OFFENDER,COURT HOUSE DR / OLD COURTHOUSE WAY,-76.5414637,37.1297472,C
201760121,2017-12-22,1252,HABITUAL TRAFFIC OFFENDER,HABERSHAM DR / JEFFERSON AVE,-76.5084469,37.123621,C
201851106,2018-02-09,2204,HABITUAL TRAFFIC OFFENDER,FREEDOM WAY / JEFFERSON AVE,-76.4996407,37.112416,C
201851345,2018-02-17,1445,HABITUAL TRAFFIC OFFENDER,71ST ST / WARWICK BLVD,-76.4462787,37.0108061,C
201851755,2018-03-06,1316,HABITUAL TRAFFIC OFFENDER,75TH ST / WARWICK BLVD,-76.4484002,37.0143749,C
201853056,2018-04-23,1830,HABITUAL TRAFFIC OFFENDER,BEECHMONT DR / WARWICK BLVD,-76.5451187,37.1362141,C
201854691,2018-06-15,901,HABITUAL TRAFFIC OFFENDER,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201824168,2018-06-17,2259,HABITUAL TRAFFIC OFFENDER,5800 BLK JEFFERSON AVE,-76.4335878,37.0023942,C
201854791,2018-06-17,2311,HABITUAL TRAFFIC OFFENDER,COLONY RD / WARWICK BLVD,-76.5192085,37.1138352,C
201855133,2018-06-29,750,HABITUAL TRAFFIC OFFENDER,MERCURY BLVD / NEWMARKET DR N,-76.4419647,37.0207211,C
201855806,2018-07-20,1702,HABITUAL TRAFFIC OFFENDER,35TH ST / WICKHAM AVE,-76.416921,36.9910557,P
201825636,2018-08-12,1442,HABITUAL TRAFFIC OFFENDER,25TH ST / PARISH AVE,-76.4009663,36.989446,C
201856804,2018-08-23,41,HABITUAL TRAFFIC OFFENDER,LUCAS CREEK RD / PAULETTE DR,-76.5496964,37.1334362,R
201856987,2018-08-29,1815,HABITUAL TRAFFIC OFFENDER,35TH ST / JEFFERSON AVE,-76.4250551,36.9878416,M
201857550,2018-09-18,845,HABITUAL TRAFFIC OFFENDER,40TH ST / JEFFERSON AVE,-76.4269918,36.9910453,C
201857581,2018-09-18,2336,HABITUAL TRAFFIC OFFENDER,27TH ST / OAK AVE,-76.4044586,36.9896473,R
201858521,2018-10-17,1441,HABITUAL TRAFFIC OFFENDER,JEFFERSON AVE / WINSTON AVE,-76.4703187,37.0664663,C
201858568,2018-10-19,1618,HABITUAL TRAFFIC OFFENDER,700 BLK 36TH ST,-76.422748,36.9895708,R
201858580,2018-10-19,2200,HABITUAL TRAFFIC OFFENDER,16TH ST / GARDEN DR,-76.4006463,36.98154,R
201858791,2018-10-26,1451,HABITUAL TRAFFIC OFFENDER,78TH ST / ORCUTT AVE,-76.4328452,37.0198851,R
201859113,2018-11-05,2241,HABITUAL TRAFFIC OFFENDER,36TH ST / ROANOKE AVE,-76.4134179,36.993254,R
201859354,2018-11-12,1854,HABITUAL TRAFFIC OFFENDER,OYSTER POINT RD / WARWICK BLVD,-76.5119889,37.1039798,C
201859504,2018-11-17,1111,HABITUAL TRAFFIC OFFENDER,28TH ST / ROANOKE AVE,-76.4102574,36.9881508,R
