REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650130,2016-01-05,1034,HIT AND RUN,3300 BLK WEST AVE,-76.434969,36.982524,C
201650278,2016-01-09,2012,HIT AND RUN,14500 BLK JEFFERSON AVE,-76.5737527,37.2079632,C
201600456,2016-01-14,509,HIT AND RUN,5900 BLK CHESTNUT AVE,-76.4192885,37.0086923,R
201650420,2016-01-15,1551,HIT AND RUN,24TH ST / ROANOKE AVE,-76.408683,36.9856007,R
201650638,2016-01-23,1359,HIT AND RUN,900 BLK 39TH ST,-76.4177382,36.9931612,M
201650762,2016-01-29,1,HIT AND RUN,AQUEDUCT DR / COLONY RD,-76.5167207,37.1148901,R
201650802,2016-01-30,1150,HIT AND RUN,400 BLK DENBIGH BLVD,-76.5370096,37.1291369,C
201650933,2016-02-03,1520,HIT AND RUN,BRIDLE LN / PONY CT,-76.5353109,37.1755878,R
201601300,2016-02-09,2026,HIT AND RUN,BRIARFIELD RD / ORCUTT AVE,-76.4265117,37.0095772,R
201651122,2016-02-11,811,HIT AND RUN,13600 BLK WARWICK BLVD,-76.5224309,37.1180153,C
201651147,2016-02-12,1134,HIT AND RUN,30TH ST / MARSHALL AVE,-76.4176764,36.9867966,R
201651200,2016-02-15,49,HIT AND RUN,100 BLK TILLERSON DR,-76.5267169,37.1309207,R
201651238,2016-02-16,1915,HIT AND RUN,DENBIGH BLVD / OLD DENBIGH BLVD,-76.5103368,37.1493891,R
201651310,2016-02-19,1518,HIT AND RUN,DENBIGH BLVD / WARWICK BLVD,-76.5370096,37.1291369,C
201651313,2016-02-19,1605,HIT AND RUN,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201601795,2016-02-22,2040,HIT AND RUN,12200 BLK JEFFERSON AVE,-76.4962531,37.1094588,C
201651446,2016-02-24,2120,HIT AND RUN,1900 BLK 25TH ST,-76.3952303,36.9928242,C
201651560,2016-02-29,1309,HIT AND RUN,100 BLK LOCHAVEN DR,-76.4693198,37.1070887,R
201601956,2016-03-07,1058,HIT AND RUN,JEFFERSON AVE / WINSTON AVE,-76.4703187,37.0664663,C
201651736,2016-03-07,1234,HIT AND RUN,ASHTON GREEN BLVD / WARWICK BLVD,-76.5567066,37.1583928,C
201651835,2016-03-11,1052,HIT AND RUN,800 BLK OLD FORT EUSTIS BLVD,-76.5330759,37.1775015,P
201651985,2016-03-17,317,HIT AND RUN,JEFFERSON AVE / RICHNECK RD,-76.5280792,37.1486222,C
201602427,2016-03-24,400,HIT AND RUN,HARPERSVILLE RD / JEFFERSON AVE,-76.4658672,37.0592619,C
201652245,2016-03-26,2134,HIT AND RUN,LINDA DR / SNIDOW BLVD,-76.5552463,37.1488017,R
201652411,2016-04-01,2134,HIT AND RUN,FORT EUSTIS BLVD / JEFFERSON AVE,-76.549099,37.175732,P
201652550,2016-04-07,935,HIT AND RUN,600 BLK BALTHROPE RD,-76.5157318,37.143852,R
201652721,2016-04-12,2221,HIT AND RUN,0 BLK WALNUT AVE,-76.3972285,36.9843291,R
201652907,2016-04-19,1822,HIT AND RUN,INDUSTRIAL PARK DR / WARWICK BLVD,-76.55745,37.1643468,O
201652929,2016-04-20,1206,HIT AND RUN,28TH ST / WICKHAM AVE,-76.4141867,36.986593,P
201653154,2016-04-27,2053,HIT AND RUN,FORT EUSTIS BLVD AND I-64,-76.4889704,37.1141157,R
201653364,2016-05-04,1330,HIT AND RUN,74TH ST / MARSHALL AVE,-76.4353634,37.015396,R
201653406,2016-05-05,2300,HIT AND RUN,CITY CENTER BLVD / JEFFERSON AVE,-76.4835558,37.0883003,C
201653413,2016-05-06,510,HIT AND RUN,12600 BLK JEFFERSON AVE,-76.5135771,37.132416,M
201653489,2016-05-08,1650,HIT AND RUN,25TH ST / HICKORY AVE,-76.394434,36.9934897,C
201653741,2016-05-17,1913,HIT AND RUN,700 BLK 16TH ST,-76.413994,36.9762285,P
201654108,2016-05-28,1904,HIT AND RUN,SHARON DR / WARWICK BLVD,-76.5214087,37.1172005,C
201654376,2016-06-06,942,HIT AND RUN,26TH ST / JEFFERSON AVE,-76.4214933,36.9820849,C
201654432,2016-06-08,1042,HIT AND RUN,27TH ST / HUNTINGTON AVE,-76.4293468,36.9797348,C
201654598,2016-06-13,634,HIT AND RUN,7800 BLK WARWICK BLVD,-76.450701,37.019035,C
201654747,2016-06-17,2125,HIT AND RUN,13100 BLK JEFFERSON AVE,-76.5367568,37.1607763,M
201655278,2016-07-05,858,HIT AND RUN,0 BLK HANOVER WAY,-76.52589,37.144533,O
201605491,2016-07-05,1239,HIT AND RUN,12600 BLK JEFFERSON AVE,-76.5135771,37.132416,M
201655308,2016-07-06,602,HIT AND RUN,100 BLK REPUBLIC RD,-76.5755038,37.1864015,R
201655429,2016-07-10,844,HIT AND RUN,400 BLK CHERRYWOOD CT,-76.5236223,37.1605849,R
201655608,2016-07-17,800,HIT AND RUN,JEFFERSON AVE / WOODBRIDGE DR,-76.5435329,37.1685872,R
201655741,2016-07-22,920,HIT AND RUN,12900 BLK JEFFERSON AVE,-76.528324,37.1497,C
201606015,2016-07-24,1303,HIT AND RUN,JEFFERSON AVE / PILOT HOUSE DR,-76.4776962,37.0818107,C
201655902,2016-07-27,2208,HIT AND RUN,16TH ST / JEBS PL,-76.4024133,36.9808296,R
201655943,2016-07-29,1540,HIT AND RUN,900 BLK RED OAK CIR,-76.5246331,37.1586534,R
201606244,2016-08-01,613,HIT AND RUN,76TH ST / DANA RAE CT,-76.424065,37.021448,R
201656051,2016-08-02,1225,HIT AND RUN,CITY CENTER BLVD / NAT TURNER BLVD,-76.4882299,37.0863992,R
201656074,2016-08-03,1350,HIT AND RUN,11000 BLK JEFFERSON AVE,-76.4622654,37.0551026,C
201656332,2016-08-10,2108,HIT AND RUN,800 BLK LASSITER DR,-76.4101116,36.9727453,R
201656443,2016-08-14,1900,HIT AND RUN,DENBIGH BLVD / WARWICK BLVD,-76.5370096,37.1291369,C
