REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650069,2016-01-03,156,HOMICIDE/MURDER,500 BLK TURNBERRY BLVD,-76.5199095,37.1336156,R
201650094,2016-01-04,137,HOMICIDE/MURDER,0 BLK HERITAGE WAY,-76.520117,37.1190489,R
201650393,2016-01-14,1104,HOMICIDE/MURDER,14TH ST / WICKHAM AVE,-76.4080461,36.976644,R
201650396,2016-01-14,1800,HOMICIDE/MURDER,0 BLK ERIN LN,-76.4401104,37.0120551,C
201653254,2016-05-01,553,HOMICIDE/MURDER,1200 BLK 25TH ST,-76.4063444,36.9873055,R
201653670,2016-05-15,53,HOMICIDE/MURDER,300 BLK DEPUTY LN,-76.5355935,37.1457008,R
201653854,2016-05-20,2132,HOMICIDE/MURDER,1100 BLK GARDEN DR,-76.4020923,36.9779506,R
201654161,2016-05-30,1133,HOMICIDE/MURDER,600 BLK HARPERSVILLE RD,-76.4567606,37.0706107,R
201654303,2016-06-03,2211,HOMICIDE/MURDER,1100 BLK 32ND ST,-76.4118211,36.9907169,R
201654806,2016-06-19,2034,HOMICIDE/MURDER,300 BLK CIRCUIT LN,-76.534754,37.1420559,R
201656664,2016-08-21,1423,HOMICIDE/MURDER,400 BLK NELSON DR,-76.469266,37.046411,C
201656802,2016-08-25,2241,HOMICIDE/MURDER,700 BLK J CLYDE MORRIS BLVD,-76.4667135,37.0765421,C
201657267,2016-09-10,44,HOMICIDE/MURDER,13200 BLK MATTIE CIR,-76.5422589,37.1676149,R
201657338,2016-09-12,1652,HOMICIDE/MURDER,15400 BLK WARWICK BLVD,-76.5518298,37.1485437,C
201657423,2016-09-15,1651,HOMICIDE/MURDER,BRIARFIELD RD / CHESTNUT AVE,-76.4214174,37.0117179,R
201657751,2016-09-28,32,HOMICIDE/MURDER,0 BLK ROSS DR,-76.4420334,37.088571,R
201609175,2016-11-01,811,HOMICIDE/MURDER,300 BLK CHARLES ST,-76.568382,37.167492,R
201659103,2016-11-12,1831,HOMICIDE/MURDER,11100 BLK TARRYTOWN CT,-76.4648185,37.0579329,R
201659167,2016-11-14,2059,HOMICIDE/MURDER,400 BLK TARA CT,-76.5432645,37.1373763,R
201659187,2016-11-15,1328,HOMICIDE/MURDER,14200 BLK PENRITH LN,-76.5294246,37.1248443,R
201659252,2016-11-17,2137,HOMICIDE/MURDER,700 BLK ADAMS DR,-76.4601433,37.0567194,P
201659312,2016-11-19,1830,HOMICIDE/MURDER,24TH ST / OAK AVE,-76.403272,36.9877318,R
201659476,2016-11-26,616,HOMICIDE/MURDER,500 BLK RANDOLPH RD,-76.4540266,37.0285346,R
201659985,2016-12-12,2216,HOMICIDE/MURDER,0 BLK ASH AVE,-76.3961307,36.9868055,R
201660138,2016-12-18,2014,HOMICIDE/MURDER,4600 BLK MARSHALL AVE,-76.4238378,36.9972837,C
201660172,2016-12-20,1400,HOMICIDE/MURDER,0 BLK 31ST ST,-76.4207566,36.9863501,R
201660211,2016-12-21,1122,HOMICIDE/MURDER,0 BLK LANGLEY AVE,-76.4716918,37.062796,R
201660309,2016-12-24,56,HOMICIDE/MURDER,1700 BLK IVY AVE,-76.415347,36.9765919,R
201660430,2016-12-28,734,HOMICIDE/MURDER,1200 BLK 21ST ST,-76.4043321,36.9840574,R
201750075,2017-01-03,1959,HOMICIDE/MURDER,800 BLK SUNDOWN LN,-76.4714911,37.0765709,R
201750143,2017-01-05,1714,HOMICIDE/MURDER,900 BLK MARCUS DR,-76.4632871,37.0977859,R
201750388,2017-01-15,1521,HOMICIDE/MURDER,3000 BLK MADISON AVE,-76.4202394,36.9859494,R
201751118,2017-02-10,42,HOMICIDE/MURDER,7000 BLK HUNTINGTON AVE,-76.4460473,37.0103097,P
201752175,2017-03-19,1405,HOMICIDE/MURDER,1900 BLK MUSKET RD,-76.5731391,37.2127894,R
201753142,2017-04-22,1958,HOMICIDE/MURDER,600 BLK RIDLEY CIR,-76.415361,36.974885,R
201753319,2017-04-29,600,HOMICIDE/MURDER,13200 BLK SOJOURNER CT,-76.5143422,37.1134123,R
201753656,2017-05-11,1628,HOMICIDE/MURDER,7700 BLK WICKHAM AVE,-76.4340548,37.0181526,R
201703901,2017-05-15,1202,HOMICIDE/MURDER,9700 BLK JEFFERSON AVE,-76.4505536,37.0291733,C
201703902,2017-05-15,1217,HOMICIDE/MURDER,9700 BLK JEFFERSON AVE,-76.4505536,37.0291733,C
201754187,2017-05-29,1547,HOMICIDE/MURDER,400 BLK COX LNDG,-76.549394,37.150901,R
201755668,2017-07-18,1519,HOMICIDE/MURDER,600 BLK 18TH ST,-76.4178838,36.9762707,R
201756018,2017-07-30,1819,HOMICIDE/MURDER,500 BLK YORK RIVER LN,-76.5088633,37.1166863,C
201756542,2017-08-17,2157,HOMICIDE/MURDER,7400 BLK RIVER RD,-76.4509612,37.0120072,R
201757122,2017-09-07,32,HOMICIDE/MURDER,1700 BLK JEFFERSON AVE,-76.417125,36.9758443,R
201757550,2017-09-21,1836,HOMICIDE/MURDER,300 BLK DEPUTY LN,-76.5355935,37.1457008,R
201758270,2017-10-16,157,HOMICIDE/MURDER,0 BLK OLD OYSTER POINT RD,-76.4775373,37.1052281,C
201758768,2017-11-03,2240,HOMICIDE/MURDER,5500 BLK MARSHALL AVE,-76.4258909,37.0018699,R
201758934,2017-11-08,2123,HOMICIDE/MURDER,23RD ST / WICKHAM AVE,-76.412194,36.9833901,R
201758984,2017-11-10,2330,HOMICIDE/MURDER,600 BLK STONEY CREEK LN,-76.520323,37.1424356,R
201759359,2017-11-24,2020,HOMICIDE/MURDER,0 BLK PRINCE WILLIAM RD,-76.52597,37.1423922,R
201759506,2017-11-30,2149,HOMICIDE/MURDER,28TH ST / ROANOKE AVE,-76.4102574,36.9881508,R
201759809,2017-12-11,837,HOMICIDE/MURDER,800 BLK FORREST DR,-76.4699618,37.076823,C
201760009,2017-12-18,2157,HOMICIDE/MURDER,12800 BLK TAHISKA LN,-76.5064163,37.1507445,R
201760225,2017-12-26,130,HOMICIDE/MURDER,500 BLK LOGAN PL,-76.4698853,37.0473161,R
201850252,2018-01-11,1824,HOMICIDE/MURDER,11100 BLK TARRYTOWN CT,-76.4648185,37.0579329,R
201851191,2018-02-12,1622,HOMICIDE/MURDER,32ND ST / MARSHALL AVE,-76.4184575,36.9880697,R
201851421,2018-02-20,1452,HOMICIDE/MURDER,800 BLK LASSITER DR,-76.4101116,36.9727453,R
201852020,2018-03-16,2210,HOMICIDE/MURDER,5000 BLK CHESTNUT AVE,-76.4155417,37.0040784,M
201852117,2018-03-20,1941,HOMICIDE/MURDER,500 BLK ONANCOCK TRL,-76.506895,37.1168597,C
201852432,2018-04-01,1743,HOMICIDE/MURDER,100 BLK LOUISE DR,-76.4576678,37.0910203,C
201853223,2018-04-29,2125,HOMICIDE/MURDER,800 BLK 36TH ST,-76.4196777,36.9906166,R
201853516,2018-05-10,502,HOMICIDE/MURDER,27TH ST / MADISON AVE,-76.4191706,36.9837907,R
201853627,2018-05-14,112,HOMICIDE/MURDER,500 BLK CORAL CT,-76.4924427,37.0964912,R
201853868,2018-05-21,2353,HOMICIDE/MURDER,300 BLK CIRCUIT LN,-76.534754,37.1420559,R
201854682,2018-06-15,530,HOMICIDE/MURDER,5100 BLK FAIRFAX AVE,-76.4276669,36.9998333,R
201854794,2018-06-18,230,HOMICIDE/MURDER,15900 BLK WARWICK BLVD,-76.562625,37.170196,C
201855009,2018-06-25,59,HOMICIDE/MURDER,11100 BLK TARRYTOWN CT,-76.4648185,37.0579329,R
201855064,2018-06-26,1633,HOMICIDE/MURDER,100 BLK MOTOKA DR,-76.5266814,37.1305767,R
201855114,2018-06-28,1725,HOMICIDE/MURDER,100 BLK TRICIA LN,-76.4613578,37.0544746,C
201855157,2018-06-29,2155,HOMICIDE/MURDER,DRESDEN DR / TRICIA LN,-76.4619538,37.0559194,C
201856000,2018-07-26,2141,HOMICIDE/MURDER,19TH ST / IVY AVE,-76.4168045,36.9775103,R
201856793,2018-08-22,1554,HOMICIDE/MURDER,500 BLK ASHTON GREEN BLVD,-76.5462891,37.1576554,R
201856962,2018-08-29,359,HOMICIDE/MURDER,100 BLK MYTILENE DR,-76.4211017,37.018619,R
201857634,2018-09-20,1548,HOMICIDE/MURDER,HAMPTON AVE / OAK AVE,-76.4020777,36.9857979,R
201858355,2018-10-11,1612,HOMICIDE/MURDER,700 BLK GLOUCESTER DR,-76.4302983,37.0023475,R
201859185,2018-11-08,657,HOMICIDE/MURDER,600 BLK 16TH ST,-76.4169941,36.9748781,R
201859355,2018-11-12,2355,HOMICIDE/MURDER,400 BLK OYSTER POINT RD,-76.5064401,37.1059278,C
201860689,2018-12-22,1237,HOMICIDE/MURDER,2100 BLK OAK AVE,-76.4015053,36.985375,R
