REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600120,2016-01-04,1632,INDECENT EXPOSURE,3400 BLK ORCUTT AVE,-76.4150111,36.991046,P
201600513,2016-01-15,923,INDECENT EXPOSURE,400 BLK INDUSTRIAL PARK DR,-76.5572338,37.1643727,C
201602087,2016-03-11,1005,INDECENT EXPOSURE,100 BLK MAIN ST,-76.460644,37.031999,C
201652026,2016-03-18,1918,INDECENT EXPOSURE,2300 BLK JEFFERSON AVE,-76.4199088,36.9795191,R
201652200,2016-03-25,300,INDECENT EXPOSURE,100 BLK MUSEUM DR,-76.4880841,37.0551904,P
201653240,2016-04-30,1845,INDECENT EXPOSURE,2700 BLK ORCUTT AVE,-76.412226,36.9865596,R
201653885,2016-05-21,2052,INDECENT EXPOSURE,600 BLK SEA PINE LN,-76.5494324,37.1724234,R
201653922,2016-05-23,628,INDECENT EXPOSURE,1400 BLK KILN CREEK PKWY,-76.4863626,37.1206173,R
201653945,2016-05-23,1714,INDECENT EXPOSURE,800 BLK 80TH ST,-76.4379698,37.0196518,C
201653967,2016-05-24,1436,INDECENT EXPOSURE,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201654057,2016-05-27,1345,INDECENT EXPOSURE,39TH ST / MARSHALL AVE,-76.4212573,36.9925872,C
201654231,2016-06-01,1103,INDECENT EXPOSURE,3400 BLK ORCUTT AVE,-76.4150111,36.991046,P
201654840,2016-06-21,510,INDECENT EXPOSURE,900 BLK MARCUS DR,-76.4632871,37.0977859,R
201605204,2016-06-25,734,INDECENT EXPOSURE,12500 BLK WARWICK BLVD,-76.4941434,37.0762992,C
201655068,2016-06-28,1404,INDECENT EXPOSURE,700 BLK J CLYDE MORRIS BLVD,-76.4667135,37.0765421,C
201655072,2016-06-28,1715,INDECENT EXPOSURE,1400 BLK 16TH ST,-76.3995769,36.9791669,P
201656325,2016-08-10,1836,INDECENT EXPOSURE,500 BLK N TRELLIS CT,-76.5460395,37.1560798,R
201656508,2016-08-17,2256,INDECENT EXPOSURE,JEFFERSON AVE / MAIN ST,-76.4553503,37.0369142,C
201657421,2016-09-15,1559,INDECENT EXPOSURE,16TH ST / JEBS PL,-76.4024133,36.9808296,R
201657934,2016-10-04,29,INDECENT EXPOSURE,23RD ST / ROANOKE AVE,-76.56903,37.1621165,R
201658366,2016-10-18,44,INDECENT EXPOSURE,11500 BLK JEFFERSON AVE,-76.4715138,37.0698076,C
201610102,2016-12-05,1123,INDECENT EXPOSURE,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C
201660233,2016-12-21,1946,INDECENT EXPOSURE,300 BLK CHATHAM DR,-76.5119698,37.1243049,C
201610710,2016-12-22,1539,INDECENT EXPOSURE,3600 BLK WASHINGTON AVE,-76.4344579,36.9851225,C
201700334,2017-01-14,18,INDECENT EXPOSURE,13300 BLK PREAKNESS DR,-76.5145324,37.1155525,R
201750394,2017-01-15,1737,INDECENT EXPOSURE,14800 BLK WARWICK BLVD,-76.541317,37.135346,R
201750470,2017-01-18,2229,INDECENT EXPOSURE,0 BLK GREAT OAK CIR,-76.4665909,37.078466,R
201751858,2017-03-07,1751,INDECENT EXPOSURE,600 BLK DENBIGH BLVD,-76.5183199,37.139254,O
201752495,2017-03-30,2145,INDECENT EXPOSURE,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C
201752573,2017-04-02,1556,INDECENT EXPOSURE,800 BLK FORREST DR,-76.4699618,37.076823,C
201752744,2017-04-08,1421,INDECENT EXPOSURE,9200 BLK WARWICK BLVD,-76.4510305,37.0195027,C
201752769,2017-04-09,1337,INDECENT EXPOSURE,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C
201752799,2017-04-10,1453,INDECENT EXPOSURE,9200 BLK WARWICK BLVD,-76.4510305,37.0195027,C
201752980,2017-04-17,923,INDECENT EXPOSURE,400 BLK N CHALICE CT,-76.5321094,37.1595043,R
201753059,2017-04-19,1522,INDECENT EXPOSURE,JEFFERSON AVE / ROBINSON DR,-76.4733149,37.0716149,C
201753247,2017-04-26,1949,INDECENT EXPOSURE,11500 BLK JEFFERSON AVE,-76.4715138,37.0698076,C
201753697,2017-05-13,2030,INDECENT EXPOSURE,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
