REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650019,2016-01-01,1304,INTIMIDATION,800 BLK HIDDEN GLEN CT,-76.5497802,37.1351483,R
201650031,2016-01-01,2200,INTIMIDATION,400 BLK LUCAS CREEK RD,-76.5457067,37.1102112,R
201650061,2016-01-02,2235,INTIMIDATION,12700 BLK MARINERS CT,-76.4978748,37.0876645,R
201650083,2016-01-03,1716,INTIMIDATION,300 BLK ROSEMAN CT,-76.5475177,37.1362404,C
201650103,2016-01-04,1325,INTIMIDATION,1600 BLK MADISON AVE,-76.4142647,36.9762392,R
201650107,2016-01-04,1419,INTIMIDATION,9700 BLK JEFFERSON AVE,-76.4505536,37.0291733,C
201650123,2016-01-04,2225,INTIMIDATION,800 BLK 41ST ST,-76.421311,36.993733,R
201600162,2016-01-05,1848,INTIMIDATION,500 BLK CATINA WAY,-76.526701,37.133994,R
201600205,2016-01-06,1719,INTIMIDATION,700 BLK 27TH ST,-76.418934,36.9836808,R
201650191,2016-01-07,1044,INTIMIDATION,200 BLK 25TH ST,-76.4310403,36.9774858,C
201600275,2016-01-08,1220,INTIMIDATION,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201600285,2016-01-08,1538,INTIMIDATION,100 BLK ENTERPRISE DR,-76.5936198,37.1759462,M
201600291,2016-01-08,1807,INTIMIDATION,6200 BLK HILMAR PL,-76.4225465,37.0128338,R
201600308,2016-01-09,953,INTIMIDATION,100 BLK BASSWOOD DR,-76.4546735,37.054203,R
201650339,2016-01-12,1217,INTIMIDATION,1700 BLK CHESTNUT AVE,-76.4027983,36.9815157,R
201600400,2016-01-12,1338,INTIMIDATION,12600 BLK MCMANUS BLVD,-76.5067009,37.1344387,M
201600401,2016-01-12,1340,INTIMIDATION,100 BLK CANDLEWOOD WAY,-76.479757,37.078103,R
201600408,2016-01-12,1615,INTIMIDATION,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201650365,2016-01-13,1538,INTIMIDATION,800 BLK 32ND ST,-76.4184307,36.9880804,R
201600445,2016-01-13,1743,INTIMIDATION,400 BLK CROSSINGS CT,-76.5281225,37.1340156,R
201650390,2016-01-14,953,INTIMIDATION,2100 BLK JEFFERSON AVE,-76.4190892,36.9782291,C
201650391,2016-01-14,1049,INTIMIDATION,3700 BLK SHERWOOD PL,-76.527109,37.1229299,R
201650394,2016-01-14,1304,INTIMIDATION,0 BLK LOCHAVEN DR,-76.471298,37.107118,R
201650395,2016-01-14,1535,INTIMIDATION,3100 BLK WILLIAM STYRON SQ N,-76.4875451,37.0845126,R
201600491,2016-01-14,2001,INTIMIDATION,300 BLK HAMMOND ST,-76.4599486,37.0332336,C
201600511,2016-01-15,900,INTIMIDATION,0 BLK MACIRVIN DR,-76.5129609,37.0657629,R
201650408,2016-01-15,1036,INTIMIDATION,800 BLK 28TH ST,-76.41688,36.9855173,R
201600549,2016-01-16,1409,INTIMIDATION,800 BLK JACK SHAVER DR,-76.5678927,37.1660126,R
201650500,2016-01-18,1814,INTIMIDATION,DILIGENCE DR / J CLYDE MORRIS BLVD,-76.4589855,37.0841656,C
201650520,2016-01-19,1425,INTIMIDATION,700 BLK 35TH ST,-76.422288,36.9889354,R
201600694,2016-01-21,35,INTIMIDATION,100 BLK QUARTER TRL,-76.5694739,37.1680218,R
201600748,2016-01-22,1317,INTIMIDATION,400 BLK ATKINSON WAY,-76.5476769,37.148081,P
201650634,2016-01-23,1201,INTIMIDATION,1100 BLK 16TH ST,-76.4051422,36.9797539,R
201650661,2016-01-24,2023,INTIMIDATION,0 BLK LIGON PL,-76.515389,37.150358,R
201600828,2016-01-25,850,INTIMIDATION,6000 BLK JEFFERSON AVE,-76.4406831,37.0144032,C
201600851,2016-01-25,2121,INTIMIDATION,800 BLK FORREST DR,-76.4699618,37.076823,C
201600890,2016-01-27,817,INTIMIDATION,100 BLK SYCAMORE AVE,-76.3940322,36.9885997,R
201650745,2016-01-28,1137,INTIMIDATION,700 BLK SEDGEFIELD DR,-76.4559359,37.0430521,R
201650766,2016-01-29,523,INTIMIDATION,2800 BLK MADISON AVE,-76.4195815,36.9844537,R
201600979,2016-01-29,1911,INTIMIDATION,3100 BLK MARSHALL AVE,-76.41796,36.9876573,R
201650814,2016-01-30,1728,INTIMIDATION,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201650819,2016-01-30,1932,INTIMIDATION,12700 BLK SANDPEBBLE CIR,-76.496138,37.0892256,R
201601040,2016-01-31,1305,INTIMIDATION,4900 BLK WARWICK BLVD,-76.4357686,36.9948726,R
201601098,2016-02-02,735,INTIMIDATION,400 BLK LEES MILL DR,-76.5655036,37.167406,R
201601124,2016-02-03,815,INTIMIDATION,400 BLK LEES MILL DR,-76.5655036,37.167406,R
201601125,2016-02-03,919,INTIMIDATION,100 BLK REPUBLIC RD,-76.5755038,37.1864015,R
201601153,2016-02-04,815,INTIMIDATION,13200 BLK AQUEDUCT DR,-76.5170062,37.1154057,R
201651015,2016-02-06,1900,INTIMIDATION,12700 BLK WOODSIDE LN,-76.504811,37.149033,R
201601246,2016-02-08,814,INTIMIDATION,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201601250,2016-02-08,1032,INTIMIDATION,100 BLK WINDSOR CASTLE DR,-76.5224348,37.1437595,R
201651065,2016-02-08,1505,INTIMIDATION,5800 BLK MARSHALL AVE,-76.4279551,37.0067468,P
201601348,2016-02-11,1729,INTIMIDATION,200 BLK DENBIGH BLVD,-76.5541459,37.1248257,R
201651142,2016-02-13,500,INTIMIDATION,1100 BLK 31ST ST,-76.4114238,36.9900812,R
201651167,2016-02-13,1248,INTIMIDATION,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201651187,2016-02-14,1348,INTIMIDATION,900 BLK 79TH ST,-76.4350793,37.0196988,R
201651193,2016-02-14,1822,INTIMIDATION,700 BLK 48TH ST,-76.4274826,36.9972484,R
201601436,2016-02-15,1215,INTIMIDATION,DRESDEN DR / JEFFERSON AVE,-76.4632192,37.0552716,C
201601442,2016-02-15,1555,INTIMIDATION,0 BLK CHIPLEY DR,-76.527676,37.1286879,R
201651256,2016-02-17,1136,INTIMIDATION,400 BLK PEARL CIR,-76.52455,37.1156877,R
201601510,2016-02-17,1351,INTIMIDATION,100 BLK LOUISE DR,-76.4576678,37.0910203,C
201601512,2016-02-17,1351,INTIMIDATION,100 BLK LOUISE DR,-76.4576678,37.0910203,C
201601517,2016-02-17,1833,INTIMIDATION,200 BLK DENBIGH BLVD,-76.5541459,37.1248257,R
201651409,2016-02-18,1530,INTIMIDATION,500 BLK GINGER TRL,-76.534611,37.1534625,R
201601565,2016-02-19,1611,INTIMIDATION,1100 BLK 31ST ST,-76.4114238,36.9900812,R
201651322,2016-02-19,2009,INTIMIDATION,1000 BLK WILLOW GREEN DR,-76.4681449,37.1027773,R
201601571,2016-02-19,2036,INTIMIDATION,300 BLK HELENA DR,-76.5525215,37.1372617,R
201651336,2016-02-20,1815,INTIMIDATION,2600 BLK JEFFERSON AVE,-76.42135,36.9825725,C
201601609,2016-02-21,1636,INTIMIDATION,0 BLK NORMANDY LN,-76.5129452,37.0845307,R
201651373,2016-02-21,2152,INTIMIDATION,1200 BLK 30TH ST,-76.4083224,36.9904975,C
201601636,2016-02-22,1723,INTIMIDATION,500 BLK WOODFIN RD,-76.4535295,37.0278594,R
201601651,2016-02-23,1700,INTIMIDATION,200 BLK DENBIGH BLVD,-76.5541459,37.1248257,R
201651422,2016-02-23,1814,INTIMIDATION,900 BLK FOREST LAKE CT,-76.4229516,37.0020955,R
201651431,2016-02-24,428,INTIMIDATION,500 BLK CATALPA DR,-76.4540748,37.0463803,R
201651436,2016-02-24,1252,INTIMIDATION,1100 BLK ELIZABETH CT,-76.4256894,37.0140077,R
201651449,2016-02-24,2210,INTIMIDATION,3300 BLK WEST AVE,-76.434969,36.982524,C
201601692,2016-02-25,45,INTIMIDATION,2100 BLK ORCUTT AVE,-76.4098561,36.9826848,R
201601693,2016-02-25,229,INTIMIDATION,0 BLK S CYPRESS CT,-76.5515192,37.1605155,R
201651465,2016-02-25,1915,INTIMIDATION,1100 BLK 27TH ST,-76.4096076,36.9873715,R
201651484,2016-02-26,1504,INTIMIDATION,9700 BLK JEFFERSON AVE,-76.4505536,37.0291733,C
201651561,2016-02-29,1554,INTIMIDATION,3300 BLK JEFFERSON AVE,-76.4244368,36.9871436,C
201651566,2016-02-29,1900,INTIMIDATION,1100 BLK 36TH ST,-76.4133909,36.9932649,R
201651592,2016-03-01,1651,INTIMIDATION,2100 BLK ROANOKE AVE,-76.4069141,36.9831942,R
201651611,2016-03-02,1543,INTIMIDATION,700 BLK HARPERSVILLE RD,-76.4555664,37.0774046,R
201651633,2016-03-03,956,INTIMIDATION,400 BLK STALLINGS CT,-76.547499,37.153345,R
201651640,2016-03-03,1616,INTIMIDATION,900 BLK IVY AVE,-76.4107357,36.9723656,R
201651654,2016-03-04,933,INTIMIDATION,1900 BLK VON STEUBEN DR,-76.5712783,37.2153077,R
201601888,2016-03-04,1319,INTIMIDATION,JEFFERSON AVE / ST THOMAS DR,-76.4854819,37.0913873,O
201651665,2016-03-04,1634,INTIMIDATION,0 BLK CHRISTIAN ST,-76.5511733,37.154985,R
201601897,2016-03-04,1718,INTIMIDATION,100 BLK MERLE DR,-76.523382,37.115665,R
201601898,2016-03-04,1732,INTIMIDATION,100 BLK MERLE DR,-76.523382,37.115665,R
201651743,2016-03-07,1741,INTIMIDATION,900 BLK 77TH ST,-76.4337105,37.018086,R
201601965,2016-03-07,1803,INTIMIDATION,800 BLK 35TH ST,-76.4192709,36.9899515,R
201601969,2016-03-07,2333,INTIMIDATION,300 BLK BOULDER DR,-76.5576401,37.1605218,R
201651757,2016-03-08,1336,INTIMIDATION,1000 BLK 44TH ST,-76.4188994,36.9974518,R
201601991,2016-03-08,1533,INTIMIDATION,1100 BLK 32ND ST,-76.4118211,36.9907169,R
201651775,2016-03-09,902,INTIMIDATION,3700 BLK WOODBRIDGE DR,-76.545347,37.169254,R
201602024,2016-03-09,1244,INTIMIDATION,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201602067,2016-03-10,1555,INTIMIDATION,13200 BLK AQUEDUCT DR,-76.5170062,37.1154057,R
201651884,2016-03-13,1327,INTIMIDATION,0 BLK SAYBROOKE CT,-76.5006293,37.0859831,R
