REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600009,2016-01-01 00:00:00,420,JUVENILE - RUNAWAY,800 BLK 22ND ST,-76.4141492,36.9818046,R
201650012,2016-01-01 00:00:00,1025,JUVENILE - RUNAWAY,4200 BLK NEWSOME DR,-76.4197585,36.9956716,R
201650027,2016-01-01 00:00:00,1852,JUVENILE - RUNAWAY,100 BLK HIGHLANDS PKWY,-76.5806848,37.1992595,R
201650033,2016-01-01 00:00:00,2259,JUVENILE - RUNAWAY,700 BLK 27TH ST,-76.418934,36.9836808,R
201650035,2016-01-02 00:00:00,7,JUVENILE - RUNAWAY,1000 BLK ARBORETUM WAY,-76.5073589,37.1087863,R
201650060,2016-01-02 00:00:00,2211,JUVENILE - RUNAWAY,800 BLK THIMBLEBY DR,-76.5203568,37.1616228,R
201650086,2016-01-03 00:00:00,1944,JUVENILE - RUNAWAY,800 BLK 20TH ST,-76.4132746,36.979719,R
201650125,2016-01-04 00:00:00,2329,JUVENILE - RUNAWAY,100 BLK OLDHAM WAY,-76.5721446,37.1676049,R
201650235,2016-01-08 00:00:00,1754,JUVENILE - RUNAWAY,300 BLK MAJESTIC CT,-76.5025672,37.0749546,R
201650326,2016-01-11 00:00:00,1921,JUVENILE - RUNAWAY,7600 BLK ROANOKE AVE,-76.4295652,37.0195532,R
201650354,2016-01-13 00:00:00,840,JUVENILE - RUNAWAY,9300 BLK WARWICK BLVD,-76.4526445,37.0215661,O
201650356,2016-01-13 00:00:00,840,JUVENILE - RUNAWAY,9300 BLK WARWICK BLVD,-76.4526445,37.0215661,O
201650407,2016-01-15 00:00:00,956,JUVENILE - RUNAWAY,100 BLK NOTTINGHAM TRL,-76.5403913,37.0984029,R
201650410,2016-01-15 00:00:00,1135,JUVENILE - RUNAWAY,9700 BLK JEFFERSON AVE,-76.4505536,37.0291733,C
201650421,2016-01-15 00:00:00,1700,JUVENILE - RUNAWAY,4400 BLK MADISON AVE,-76.4259184,36.9946935,R
201650428,2016-01-15 00:00:00,2138,JUVENILE - RUNAWAY,0 BLK LEWALLEN DR,-76.5526706,37.1473944,R
201650443,2016-01-16 00:00:00,1321,JUVENILE - RUNAWAY,500 BLK CORAL CT,-76.4924427,37.0964912,R
201650452,2016-01-16 00:00:00,2118,JUVENILE - RUNAWAY,700 BLK 29TH ST,-76.419941,36.985094,R
201650457,2016-01-16 00:00:00,2207,JUVENILE - RUNAWAY,800 BLK THIMBLEBY DR,-76.5203568,37.1616228,R
201650469,2016-01-17 00:00:00,1531,JUVENILE - RUNAWAY,700 BLK 36TH ST,-76.422748,36.9895708,R
201650472,2016-01-17 00:00:00,1738,JUVENILE - RUNAWAY,1100 BLK 27TH ST,-76.4096076,36.9873715,R
201650490,2016-01-18 00:00:00,1440,JUVENILE - RUNAWAY,0 BLK CONCORD CRES,-76.479474,37.075769,R
201650493,2016-01-18 00:00:00,1531,JUVENILE - RUNAWAY,1000 BLK 23RD ST,-76.4106336,36.9840075,R
201650599,2016-01-21 00:00:00,2212,JUVENILE - RUNAWAY,800 BLK THIMBLEBY DR,-76.5203568,37.1616228,R
201650616,2016-01-22 00:00:00,1608,JUVENILE - RUNAWAY,1100 BLK 27TH ST,-76.4096076,36.9873715,R
