REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600204,2016-01-05,2000,KIDNAP/ABDUCTION,5300 BLK MARSHALL AVE,-76.4265079,37.0011141,R
201600412,2016-01-12,1858,KIDNAP/ABDUCTION,13200 BLK WARWICK BLVD,-76.5165735,37.1120849,C
201651074,2016-02-08,2111,KIDNAP/ABDUCTION,100 BLK 28TH ST,-76.4332994,36.9789618,C
201651332,2016-02-20,1530,KIDNAP/ABDUCTION,3300 BLK ROANOKE AVE,-76.4120836,36.9915884,R
201651519,2016-02-27,1729,KIDNAP/ABDUCTION,500 BLK J CLYDE MORRIS BLVD,-76.4833383,37.0634596,O
201651538,2016-02-28,1517,KIDNAP/ABDUCTION,700 BLK LOMBARDY AVE,-76.4751698,37.0879045,C
201651598,2016-03-01,1853,KIDNAP/ABDUCTION,MINTON DR / WARWICK BLVD,-76.4934576,37.072922,C
201651752,2016-03-08,218,KIDNAP/ABDUCTION,100 BLK EDSYL ST,-76.5206647,37.1119612,R
201651858,2016-03-12,1117,KIDNAP/ABDUCTION,300 BLK HIDENWOOD DR,-76.498234,37.07515,R
201651979,2016-03-16,2256,KIDNAP/ABDUCTION,6500 BLK JEFFERSON AVE,-76.4495384,37.0275498,R
201652234,2016-03-26,1745,KIDNAP/ABDUCTION,400 BLK LESTER RD,-76.4658719,37.0625066,R
201652312,2016-03-29,6,KIDNAP/ABDUCTION,MENCHVILLE RD / WARWICK BLVD,-76.5169615,37.1106297,C
201652393,2016-04-01,112,KIDNAP/ABDUCTION,4000 BLK CAMPBELL RD,-76.5247297,37.1237412,R
201652398,2016-04-01,1201,KIDNAP/ABDUCTION,500 BLK TREASURE CT,-76.5350365,37.1510182,R
201652416,2016-04-02,336,KIDNAP/ABDUCTION,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201652551,2016-04-07,1125,KIDNAP/ABDUCTION,200 BLK 25TH ST,-76.4310403,36.9774858,C
