REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650008,2016-01-01,406,LEAVING THE SCENE,POTTERS LN / WARWICK BLVD,-76.544558,37.1345723,C
201600019,2016-01-01,1258,LEAVING THE SCENE,4200 BLK NATURE WAY,-76.5059957,37.1073305,R
201650059,2016-01-02,2110,LEAVING THE SCENE,FOUNTAIN WAY / THIMBLE SHOALS BLVD,-76.4723923,37.0850446,C
201600082,2016-01-03,2038,LEAVING THE SCENE,700 BLK J CLYDE MORRIS BLVD,-76.4667135,37.0765421,C
201650104,2016-01-04,1415,LEAVING THE SCENE,FREEDOM WAY / JEFFERSON AVE,-76.4996407,37.112416,C
201600153,2016-01-05,1459,LEAVING THE SCENE,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
201600158,2016-01-05,1647,LEAVING THE SCENE,J CLYDE MORRIS BLVD / WARWICK BLVD,-76.4871178,37.0616758,P
201600179,2016-01-06,925,LEAVING THE SCENE,JEFFERSON AVE / MERCURY BLVD,-76.4446248,37.0196757,C
201650163,2016-01-06,1110,LEAVING THE SCENE,JEFFERSON AVE / MERCURY BLVD,-76.4446248,37.0196757,C
201600245,2016-01-07,1546,LEAVING THE SCENE,900 BLK FOREST LAKE CT,-76.4229516,37.0020955,R
201600247,2016-01-07,1620,LEAVING THE SCENE,200 BLK ENTERPRISE DR,-76.5793908,37.1750353,M
201600251,2016-01-07,1815,LEAVING THE SCENE,100 BLK RIVERMONT DR,-76.4569715,37.0285671,C
201650218,2016-01-08,816,LEAVING THE SCENE,3500 BLK ORCUTT AVE,-76.4153458,36.9918828,R
201650241,2016-01-08,2054,LEAVING THE SCENE,J CLYDE MORRIS BLVD / JEFFERSON AVE,-76.4749412,37.0739157,R
201650265,2016-01-09,1802,LEAVING THE SCENE,FREEDOM WAY / JEFFERSON AVE,-76.4996407,37.112416,C
201600338,2016-01-10,1137,LEAVING THE SCENE,300 BLK RIVERS RIDGE CIR,-76.564543,37.165275,R
201600347,2016-01-10,1849,LEAVING THE SCENE,0 BLK ORCHARD CIR,-76.5440202,37.1020688,R
201650304,2016-01-10,2141,LEAVING THE SCENE,CANON BLVD / THIMBLE SHOALS BLVD,-76.4694431,37.0844451,C
201600357,2016-01-11,725,LEAVING THE SCENE,200 BLK LOCHAVEN DR,-76.4679439,37.1069512,R
201600362,2016-01-11,923,LEAVING THE SCENE,3800 BLK CHESTNUT AVE,-76.41166,36.9958486,M
201600377,2016-01-11,1946,LEAVING THE SCENE,13400 BLK WOODSIDE LN,-76.5268772,37.1714068,P
201600391,2016-01-12,1125,LEAVING THE SCENE,0 BLK NUTMEG QUARTER PL,-76.4877183,37.0642771,R
201650343,2016-01-12,1640,LEAVING THE SCENE,1000 BLK WILLOW GREEN DR,-76.4681449,37.1027773,R
201650350,2016-01-13,34,LEAVING THE SCENE,400 BLK S TRELLIS CT,-76.5536363,37.1559821,R
201650352,2016-01-13,756,LEAVING THE SCENE,13400 BLK WOODSIDE LN,-76.5268772,37.1714068,P
201650369,2016-01-13,1803,LEAVING THE SCENE,6000 BLK JEFFERSON AVE,-76.4406831,37.0144032,C
201600489,2016-01-14,1845,LEAVING THE SCENE,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201600517,2016-01-15,1035,LEAVING THE SCENE,5900 BLK MARSHALL AVE,-76.4304805,37.0082217,R
201600524,2016-01-15,1216,LEAVING THE SCENE,1500 BLK WOODBRIDGE DR,-76.546746,37.1676144,R
201600525,2016-01-15,1231,LEAVING THE SCENE,12300 BLK WARWICK BLVD,-76.4889633,37.0639807,C
201650422,2016-01-15,1734,LEAVING THE SCENE,NELSON DR / WARWICK BLVD,-76.4736317,37.0446595,C
201650426,2016-01-15,2119,LEAVING THE SCENE,200 BLK CURTIS TIGNOR RD,-76.556592,37.14134,R
201600535,2016-01-16,8,LEAVING THE SCENE,J CLYDE MORRIS BLVD / THIMBLE SHOALS BLVD,-76.4639577,37.0783284,O
201600538,2016-01-16,851,LEAVING THE SCENE,1000 BLK LOFTIS BLVD,-76.4841375,37.0857037,C
201600544,2016-01-16,1247,LEAVING THE SCENE,200 BLK ROTUNDA CIR,-76.5454698,37.1722318,R
201600556,2016-01-17,107,LEAVING THE SCENE,11000 BLK WARWICK BLVD,-76.4729667,37.0432474,C
201650464,2016-01-17,1010,LEAVING THE SCENE,700 BLK 31ST ST,-76.4207296,36.9863608,R
201600573,2016-01-17,2202,LEAVING THE SCENE,200 BLK MALDEN LN,-76.5438768,37.1042676,R
201600577,2016-01-18,757,LEAVING THE SCENE,500 BLK J CLYDE MORRIS BLVD,-76.4833383,37.0634596,O
201600578,2016-01-18,904,LEAVING THE SCENE,1400 BLK HAMPTON DR,-76.4006255,36.9855109,R
201650500,2016-01-18,1814,LEAVING THE SCENE,DILIGENCE DR / J CLYDE MORRIS BLVD,-76.4589855,37.0841656,C
201650497,2016-01-18,1832,LEAVING THE SCENE,JEFFERSON AVE / OYSTER POINT RD,-76.494052,37.1049576,C
201600594,2016-01-19,557,LEAVING THE SCENE,400 BLK COX LNDG,-76.549394,37.150901,R
201600614,2016-01-19,1817,LEAVING THE SCENE,900 BLK NORTH AVE,-76.4476014,37.029957,R
201600618,2016-01-19,1954,LEAVING THE SCENE,600 BLK NEWMARKET DR N,-76.4417094,37.021798,C
201600635,2016-01-20,1227,LEAVING THE SCENE,400 BLK CATINA WAY,-76.5272024,37.1343761,R
201650553,2016-01-20,1500,LEAVING THE SCENE,12600 BLK WARWICK BLVD,-76.4974914,37.0835204,C
201600647,2016-01-20,1515,LEAVING THE SCENE,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201650560,2016-01-20,1947,LEAVING THE SCENE,5800 BLK MARSHALL AVE,-76.4279551,37.0067468,P
201650567,2016-01-20,2233,LEAVING THE SCENE,12500 BLK JEFFERSON AVE,-76.5100863,37.1276496,M
201600704,2016-01-21,642,LEAVING THE SCENE,100 BLK LOCHVIEW DR,-76.471032,37.106866,R
201600705,2016-01-21,812,LEAVING THE SCENE,BRIARFIELD RD / ROANOKE AVE,-76.4240964,37.0105339,R
201650583,2016-01-21,1447,LEAVING THE SCENE,BELL KING RD / JEFFERSON AVE,-76.489179,37.0973864,O
201650587,2016-01-21,1600,LEAVING THE SCENE,JEFFERSON AVE / ROBINSON DR,-76.4733149,37.0716149,C
201650604,2016-01-21,2239,LEAVING THE SCENE,33RD ST / CHESTNUT AVE,-76.4095382,36.99241,C
201650603,2016-01-22,0,LEAVING THE SCENE,SHERWOOD PL / WARWICK BLVD,-76.5291221,37.1231168,C
201600749,2016-01-22,1322,LEAVING THE SCENE,RIPLEY ST / WARWICK BLVD,-76.5715993,37.1914697,R
201600750,2016-01-22,1336,LEAVING THE SCENE,CRISTON DR / OYSTER POINT RD,-76.4906857,37.1045859,C
201600756,2016-01-22,1746,LEAVING THE SCENE,200 BLK N SPRUCE CT,-76.5530805,37.160571,R
201650632,2016-01-23,924,LEAVING THE SCENE,0 BLK WENDFIELD CIR,-76.4543924,37.096111,R
201650633,2016-01-23,1253,LEAVING THE SCENE,THORNCLIFF DR / WARWICK BLVD,-76.5534753,37.1511213,C
201600766,2016-01-23,1358,LEAVING THE SCENE,0 BLK MELLON ST,-76.492699,37.0808089,R
201600784,2016-01-24,1249,LEAVING THE SCENE,JEFFERSON AVE / OYSTER POINT RD,-76.494052,37.1049576,C
201600788,2016-01-24,1359,LEAVING THE SCENE,0 BLK RUGBY RD,-76.4779329,37.075277,R
201600832,2016-01-25,1004,LEAVING THE SCENE,ENTERPRISE DR / WARWICK BLVD,-76.5700652,37.1809192,M
201600855,2016-01-26,47,LEAVING THE SCENE,300 BLK LYNCHBURG DR,-76.5108952,37.0806083,R
201600869,2016-01-26,1309,LEAVING THE SCENE,600 BLK GUY LN,-76.5074641,37.1063964,R
201600871,2016-01-26,1418,LEAVING THE SCENE,BLAND BLVD / JEFFERSON AVE,-76.5117863,37.1278779,C
201600879,2016-01-26,1652,LEAVING THE SCENE,2300 BLK WILLIAM STYRON SQ S,-76.4878061,37.0834401,R
201650697,2016-01-26,1930,LEAVING THE SCENE,2500 BLK ROANOKE AVE,-76.4088937,36.9864244,R
201650716,2016-01-27,1140,LEAVING THE SCENE,INDUSTRIAL PARK DR / JEFFERSON AVE,-76.5407081,37.1648222,C
201600904,2016-01-27,1710,LEAVING THE SCENE,4100 BLK WASHINGTON AVE,-76.4357096,36.987355,M
201650725,2016-01-27,1809,LEAVING THE SCENE,800 BLK DENBIGH BLVD,-76.5134427,37.1456851,O
201650736,2016-01-28,230,LEAVING THE SCENE,MERCURY BLVD / NEWMARKET DR N,-76.4419647,37.0207211,C
201600928,2016-01-28,1435,LEAVING THE SCENE,200 BLK ARTHUR WAY,-76.4718297,37.1115905,C
201650761,2016-01-28,2312,LEAVING THE SCENE,0 BLK MAXWELL LN,-76.5103846,37.0883941,R
201650774,2016-01-29,1337,LEAVING THE SCENE,JEFFERSON AVE / TURNBERRY BLVD,-76.5171591,37.1350248,C
201600962,2016-01-29,1504,LEAVING THE SCENE,12900 BLK JEFFERSON AVE,-76.528324,37.1497,C
201600965,2016-01-29,1617,LEAVING THE SCENE,300 BLK ST THOMAS DR,-76.4876604,37.0907376,R
201600970,2016-01-29,1652,LEAVING THE SCENE,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
201600988,2016-01-29,2057,LEAVING THE SCENE,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201650802,2016-01-30,1150,LEAVING THE SCENE,400 BLK DENBIGH BLVD,-76.5370096,37.1291369,C
201601012,2016-01-30,1410,LEAVING THE SCENE,JEFFERSON AVE / PENINSULA DR,-76.4325318,37.000117,C
201650804,2016-01-30,1445,LEAVING THE SCENE,MCMANUS BLVD / SIEMENS WAY,-76.5073759,37.131994,M
201650810,2016-01-30,1620,LEAVING THE SCENE,DENBIGH BLVD / MILLWOOD DR,-76.523397,37.136818,C
201650815,2016-01-30,1728,LEAVING THE SCENE,BEECHMONT DR / LUCAS CREEK RD,-76.5498805,37.136374,C
201601025,2016-01-31,107,LEAVING THE SCENE,JEFFERSON AVE / OYSTER POINT RD,-76.494052,37.1049576,C
201650833,2016-01-31,1105,LEAVING THE SCENE,13500 BLK WARWICK BLVD,-76.5209976,37.1167397,C
201650857,2016-02-01,28,LEAVING THE SCENE,200 BLK ANNE DR,-76.4442292,37.0848971,R
201601051,2016-02-01,659,LEAVING THE SCENE,38TH ST / WARWICK BLVD,-76.4316564,36.9876043,C
201650873,2016-02-01,1557,LEAVING THE SCENE,FORT EUSTIS BLVD / WARWICK BLVD ACCESS RAMP,-76.5679738,37.1750898,C
201601081,2016-02-01,1653,LEAVING THE SCENE,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201650876,2016-02-01,1709,LEAVING THE SCENE,FREEDOM WAY / JEFFERSON AVE,-76.4996407,37.112416,C
201650880,2016-02-01,1825,LEAVING THE SCENE,HARPERSVILLE RD / LOUISE DR,-76.4512632,37.0894252,R
201601090,2016-02-01,2132,LEAVING THE SCENE,11700 BLK JEFFERSON AVE,-76.4747446,37.0755734,C
201650886,2016-02-01,2342,LEAVING THE SCENE,0 BLK SINTON RD,-76.4633056,37.0661862,R
201601117,2016-02-02,1801,LEAVING THE SCENE,12400 BLK WARWICK BLVD,-76.4922018,37.0681471,C
201650918,2016-02-03,641,LEAVING THE SCENE,THORNCLIFF DR / WARWICK BLVD,-76.5534753,37.1511213,C
201601126,2016-02-03,947,LEAVING THE SCENE,400 BLK COLONY RD,-76.5416234,37.1118278,P
201601133,2016-02-03,1435,LEAVING THE SCENE,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201601148,2016-02-03,1850,LEAVING THE SCENE,GAWAIN DR / OLD OYSTER POINT RD,-76.466926,37.1010323,R
201650937,2016-02-03,1953,LEAVING THE SCENE,10800 BLK WARWICK BLVD,-76.4667659,37.0377816,C
201601167,2016-02-04,1709,LEAVING THE SCENE,15400 BLK WARWICK BLVD,-76.5518298,37.1485437,C
201601176,2016-02-05,233,LEAVING THE SCENE,700 BLK J CLYDE MORRIS BLVD,-76.4667135,37.0765421,C
201601177,2016-02-05,820,LEAVING THE SCENE,0 BLK HARPERSVILLE RD,-76.4577028,37.0732602,R
201601197,2016-02-05,1700,LEAVING THE SCENE,10800 BLK WARWICK BLVD,-76.4667659,37.0377816,C
201601201,2016-02-05,2046,LEAVING THE SCENE,800 BLK FORREST DR,-76.4699618,37.076823,C
201651000,2016-02-06,43,LEAVING THE SCENE,900 BLK PRESTIGE CT,-76.4800082,37.11582,R
201601219,2016-02-06,1706,LEAVING THE SCENE,1100 BLK JEBS PL,-76.4038391,36.9802478,R
201601225,2016-02-06,2033,LEAVING THE SCENE,500 BLK BLAND BLVD,-76.518583,37.122077,P
201601236,2016-02-07,1231,LEAVING THE SCENE,FORT EUSTIS BLVD / JEFFERSON AVE,-76.549099,37.175732,P
201651064,2016-02-08,1358,LEAVING THE SCENE,12700 BLK JEFFERSON AVE,-76.5184453,37.1374683,C
201601267,2016-02-08,1727,LEAVING THE SCENE,13300 BLK WARWICK BLVD,-76.5188129,37.1145035,C
201601279,2016-02-09,905,LEAVING THE SCENE,73RD ST / WARWICK BLVD,-76.4473145,37.0126135,R
201601287,2016-02-09,1317,LEAVING THE SCENE,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
201601293,2016-02-09,1539,LEAVING THE SCENE,0 BLK COPELAND LN,-76.4773971,37.0529653,P
201601301,2016-02-10,432,LEAVING THE SCENE,50TH ST / HUNTINGTON AVE,-76.4384486,36.9944606,R
201601305,2016-02-10,1051,LEAVING THE SCENE,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201651124,2016-02-11,1038,LEAVING THE SCENE,HAMPTON ROADS CNTR PKWY / HARPERSVILLE RD,-76.4593427,37.0636742,R
201601347,2016-02-11,1622,LEAVING THE SCENE,0 BLK LEWIS DR,-76.4936844,37.0971678,M
201651137,2016-02-11,1840,LEAVING THE SCENE,7900 BLK WICKHAM AVE,-76.4353505,37.0200803,R
201601382,2016-02-12,1737,LEAVING THE SCENE,DENBIGH BLVD / WARWICK BLVD,-76.5370096,37.1291369,C
201601384,2016-02-12,1932,LEAVING THE SCENE,FORT EUSTIS BLVD / W I 64 250 OFF RAMP,-76.5262468,37.1771161,NZ
201651161,2016-02-12,2344,LEAVING THE SCENE,1300 BLK 26TH ST,-76.4040788,36.9890118,R
201601401,2016-02-13,1423,LEAVING THE SCENE,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
201601424,2016-02-14,1515,LEAVING THE SCENE,12500 BLK JEFFERSON AVE,-76.5100863,37.1276496,M
201601425,2016-02-14,1627,LEAVING THE SCENE,100 BLK ROSE CT,-76.4559831,37.0910962,C
201651192,2016-02-14,1835,LEAVING THE SCENE,30TH ST / MADISON AVE,-76.4203605,36.9857179,R
201601431,2016-02-15,600,LEAVING THE SCENE,5200 BLK SURRY AVE,-76.4308688,36.9997707,R
201601432,2016-02-15,722,LEAVING THE SCENE,14200 BLK OLD COURTHOUSE WAY,-76.5321309,37.1241334,C
201651205,2016-02-15,745,LEAVING THE SCENE,WARWICK BLVD / WOODHAVEN RD,-76.5550167,37.1541512,C
