REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201601703,2016-02-25,1330,LIQUOR LAW VIOLATIONS,400 BLK INDUSTRIAL PARK DR,-76.5572338,37.1643727,C
201602722,2016-04-03,21,LIQUOR LAW VIOLATIONS,13100 BLK JEFFERSON AVE,-76.5367568,37.1607763,M
201658584,2016-10-25,1650,LIQUOR LAW VIOLATIONS,14400 BLK WARWICK BLVD,-76.5365804,37.1298249,C
201609307,2016-10-30,1031,LIQUOR LAW VIOLATIONS,0 BLK CARMELLA CIR,-76.5400449,37.1261782,R
201659132,2016-11-13,1653,LIQUOR LAW VIOLATIONS,HAMPTON AVE / OAK AVE,-76.4020777,36.9857979,R
201660064,2016-12-15,2231,LIQUOR LAW VIOLATIONS,900 BLK FOREST LAKE CT,-76.4229516,37.0020955,R
201660204,2016-12-20,2336,LIQUOR LAW VIOLATIONS,300 BLK DENBIGH BLVD,-76.5467932,37.1242892,R
201700020,2017-01-02,545,LIQUOR LAW VIOLATIONS,ENTERPRISE DR / WARWICK BLVD,-76.5700652,37.1809192,M
201751870,2017-03-07,2330,LIQUOR LAW VIOLATIONS,300 BLK DENBIGH BLVD,-76.5467932,37.1242892,R
201703176,2017-04-20,1303,LIQUOR LAW VIOLATIONS,0 BLK COPELAND LN,-76.4773971,37.0529653,P
201753226,2017-04-26,151,LIQUOR LAW VIOLATIONS,CHELSEA PL / YORKTOWN RD,-76.5721132,37.1992742,R
201703850,2017-05-13,1942,LIQUOR LAW VIOLATIONS,RICHLAND DR / RICHNECK RD,-76.526851,37.1571117,R
201704090,2017-05-20,1511,LIQUOR LAW VIOLATIONS,2000 BLK WICKHAM AVE,-76.4105896,36.9807804,C
201753969,2017-05-22,1434,LIQUOR LAW VIOLATIONS,PICARD DR / WELLS RD,-76.5394753,37.1236003,R
201756208,2017-08-05,122,LIQUOR LAW VIOLATIONS,DRESDEN DR / JEFFERSON AVE,-76.4632192,37.0552716,C
201730944,2017-09-09,2150,LIQUOR LAW VIOLATIONS,10800 BLK WARWICK BLVD,-76.4667659,37.0377816,C
201852466,2018-04-02,2143,LIQUOR LAW VIOLATIONS,DENBIGH BLVD / JEFFERSON AVE,-76.5199051,37.1385052,C
201822765,2018-04-18,1226,LIQUOR LAW VIOLATIONS,0 BLK MINTON DR,-76.4934576,37.072922,C
201853420,2018-05-06,2000,LIQUOR LAW VIOLATIONS,11700 BLK JEFFERSON AVE,-76.4747446,37.0755734,C
201855326,2018-07-05,1710,LIQUOR LAW VIOLATIONS,11700 BLK JEFFERSON AVE,-76.4747446,37.0755734,C
201856495,2018-08-11,2100,LIQUOR LAW VIOLATIONS,200 BLK TYNER DR,-76.5249491,37.1556001,R
