REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600116,2016-01-04,1533,MISSING PERSON,3700 BLK HUNTINGTON AVE,-76.4331472,36.9863712,C
201650556,2016-01-20,1640,MISSING PERSON,0 BLK REXFORD DR,-76.5598088,37.1531386,R
201650618,2016-01-22,1642,MISSING PERSON,100 BLK LONG BRIDGE WAY,-76.5605284,37.1553944,R
201650694,2016-01-26,1222,MISSING PERSON,100 BLK LONG BRIDGE WAY,-76.5605284,37.1553944,R
201650703,2016-01-26,1836,MISSING PERSON,100 BLK LONG BRIDGE WAY,-76.5605284,37.1553944,R
201650726,2016-01-27,1833,MISSING PERSON,5700 BLK ROANOKE AVE,-76.4214293,37.0068315,R
201650727,2016-01-27,1853,MISSING PERSON,300 BLK DEPUTY LN,-76.5355935,37.1457008,R
201651034,2016-02-07,1454,MISSING PERSON,1100 BLK 34TH ST,-76.4126139,36.9919973,R
201651081,2016-02-09,1052,MISSING PERSON,1100 BLK 34TH ST,-76.4126139,36.9919973,R
201651116,2016-02-10,2314,MISSING PERSON,2800 BLK MADISON AVE,-76.4195815,36.9844537,R
201651277,2016-02-18,823,MISSING PERSON,600 BLK 19TH ST,-76.4182843,36.9769115,C
201601535,2016-02-18,1200,MISSING PERSON,600 BLK DRESDEN DR,-76.4632065,37.0552779,C
201601625,2016-02-22,1354,MISSING PERSON,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201651603,2016-03-02,55,MISSING PERSON,0 BLK CREEKSTONE DR,-76.5812572,37.1969661,R
201651673,2016-03-04,2048,MISSING PERSON,9700 BLK JEFFERSON AVE,-76.4505536,37.0291733,C
201651706,2016-03-06,1257,MISSING PERSON,HOGAN DR / JEFFERSON AVE,-76.4912501,37.1004245,C
201651833,2016-03-11,950,MISSING PERSON,600 BLK NEWMARKET DR N,-76.4417094,37.021798,C
201651877,2016-03-12,2341,MISSING PERSON,1600 BLK SHILOH PL,-76.4099613,36.9778375,R
201651924,2016-03-15,1100,MISSING PERSON,1600 BLK OAK AVE,-76.3996818,36.9819332,R
201602262,2016-03-17,1339,MISSING PERSON,600 BLK 18TH ST,-76.4178838,36.9762707,R
201652081,2016-03-20,2014,MISSING PERSON,900 BLK FOREST LAKE CT,-76.4229516,37.0020955,R
201652310,2016-03-28,2230,MISSING PERSON,600 BLK 27TH ST,-76.4216395,36.9826044,C
