REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650109,2016-01-04 00:00:00,1649,NEGLECT CHILD,1000 BLK 24TH ST,-76.4110259,36.9846476,C
201650179,2016-01-06 00:00:00,2118,NEGLECT CHILD,800 BLK LIPTON DR,-76.5669072,37.1251419,R
201650205,2016-01-07 00:00:00,1848,NEGLECT CHILD,800 BLK SUNDOWN LN,-76.4714911,37.0765709,R
201600270,2016-01-08 00:00:00,806,NEGLECT CHILD,0 BLK HIDEN BLVD,-76.5004773,37.0676714,R
201600267,2016-01-08 00:00:00,900,NEGLECT CHILD,600 BLK 18TH ST,-76.4178838,36.9762707,R
201600441,2016-01-10 00:00:00,1900,NEGLECT CHILD,13200 BLK WARWICK BLVD,-76.5165735,37.1120849,C
201650400,2016-01-14 00:00:00,1707,NEGLECT CHILD,400 BLK MIMOSA DR,-76.4921613,37.0576469,R
201650665,2016-01-25 00:00:00,18,NEGLECT CHILD,1200 BLK 25TH ST,-76.4063444,36.9873055,R
201650808,2016-01-30 00:00:00,1556,NEGLECT CHILD,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201601098,2016-02-02 00:00:00,735,NEGLECT CHILD,400 BLK LEES MILL DR,-76.5655036,37.167406,R
201601124,2016-02-03 00:00:00,815,NEGLECT CHILD,400 BLK LEES MILL DR,-76.5655036,37.167406,R
201601132,2016-02-03 00:00:00,1415,NEGLECT CHILD,400 BLK LEES MILL DR,-76.5655036,37.167406,R
201650940,2016-02-03 00:00:00,1811,NEGLECT CHILD,200 BLK COLONY RD,-76.52987,37.1148049,R
201651094,2016-02-09 00:00:00,1718,NEGLECT CHILD,11200 BLK JEFFERSON AVE,-76.4657937,37.059528,C
201651141,2016-02-11 00:00:00,2139,NEGLECT CHILD,500 BLK J CLYDE MORRIS BLVD,-76.4833383,37.0634596,O
201651225,2016-02-15 00:00:00,2350,NEGLECT CHILD,12800 BLK JEFFERSON AVE,-76.5200872,37.1391605,C
201601753,2016-02-27 00:00:00,1605,NEGLECT CHILD,800 BLK ECLIPSE CT,-76.4721263,37.0775813,R
201651565,2016-02-29 00:00:00,1750,NEGLECT CHILD,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201601839,2016-03-02 00:00:00,1557,NEGLECT CHILD,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C
201651634,2016-03-03 00:00:00,1259,NEGLECT CHILD,400 BLK ORIANA RD,-76.5382867,37.1301158,C
201601949,2016-03-07 00:00:00,913,NEGLECT CHILD,400 BLK BELLWOOD RD,-76.4557404,37.0298341,M
201651774,2016-03-09 00:00:00,419,NEGLECT CHILD,14500 BLK OLD COURTHOUSE WAY,-76.5422682,37.1327238,C
201651972,2016-03-16 00:00:00,1757,NEGLECT CHILD,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201602478,2016-03-25 00:00:00,1222,NEGLECT CHILD,400 BLK GOOSE CIR,-76.5616122,37.1568253,R
201652222,2016-03-26 00:00:00,924,NEGLECT CHILD,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C
201652355,2016-03-30 00:00:00,1729,NEGLECT CHILD,0 BLK DEAN RAY CT,-76.4427812,37.013407,R
201652473,2016-04-04 00:00:00,912,NEGLECT CHILD,11400 BLK WINSTON PL,-76.4721225,37.0670237,R
201602976,2016-04-11 00:00:00,1104,NEGLECT CHILD,3800 BLK ROANOKE AVE,-76.4139368,36.9947687,R
201652840,2016-04-17 00:00:00,1242,NEGLECT CHILD,14300 BLK WARWICK BLVD,-76.5349533,37.1275595,C
201653295,2016-05-02 00:00:00,1705,NEGLECT CHILD,200 BLK BAILIFF CT,-76.537159,37.138993,R
201603705,2016-05-03 00:00:00,2138,NEGLECT CHILD,0 BLK LENORA DR,-76.4422323,37.085561,R
201653393,2016-05-05 00:00:00,1732,NEGLECT CHILD,15400 BLK WARWICK BLVD,-76.5518298,37.1485437,C
201653496,2016-05-08 00:00:00,1913,NEGLECT CHILD,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C
201653830,2016-05-20 00:00:00,1207,NEGLECT CHILD,500 BLK CHINKAPIN TRL,-76.5338025,37.1502773,R
201653911,2016-05-22 00:00:00,1720,NEGLECT CHILD,9700 BLK JEFFERSON AVE,-76.4505536,37.0291733,C
201654010,2016-05-25 00:00:00,2025,NEGLECT CHILD,500 BLK BELLFIELD DR,-76.5447523,37.1666885,R
201654027,2016-05-26 00:00:00,1218,NEGLECT CHILD,1200 BLK GARDEN DR,-76.4009994,36.979544,R
201654096,2016-05-28 00:00:00,1229,NEGLECT CHILD,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201654103,2016-05-28 00:00:00,1429,NEGLECT CHILD,12200 BLK JEFFERSON AVE,-76.4962531,37.1094588,C
