REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650319.0,2016-01-11,1229,OBSCENE MATERIAL/PORNOGRAPHY,12200 BLK HORNSBY LN,-76.5036407,37.1148253,C
201600393.0,2016-01-12,1158,OBSCENE MATERIAL/PORNOGRAPHY,1200 BLK AVONDALE LN,-76.505864,37.1518435,R
201600899.0,2016-01-27,1444,OBSCENE MATERIAL/PORNOGRAPHY,3400 BLK HUNTINGTON AVE,-76.4322723,36.9844598,C
201608186.0,2016-02-01,1603,OBSCENE MATERIAL/PORNOGRAPHY,9700 BLK JEFFERSON AVE,-76.4505536,37.0291733,C
201601508.0,2016-02-17,1058,OBSCENE MATERIAL/PORNOGRAPHY,400 BLK ATKINSON WAY,-76.5476769,37.148081,P
201603192.0,2016-04-19,518,OBSCENE MATERIAL/PORNOGRAPHY,800 BLK OLD OYSTER POINT RD,-76.4607597,37.0976734,R
201603720.0,2016-05-04,1241,OBSCENE MATERIAL/PORNOGRAPHY,300 BLK CHATHAM DR,-76.5119698,37.1243049,C
201653814.0,2016-05-19,1801,OBSCENE MATERIAL/PORNOGRAPHY,400 BLK DUNMORE DR,-76.534894,37.11271,R
201653905.0,2016-05-22,1405,OBSCENE MATERIAL/PORNOGRAPHY,800 BLK HAMPTON AVE,-76.4140722,36.9810153,R
201654444.0,2016-06-08,1757,OBSCENE MATERIAL/PORNOGRAPHY,1300 BLK 29TH ST,-76.4053681,36.9906814,R
201655111.0,2016-06-29,2134,OBSCENE MATERIAL/PORNOGRAPHY,12200 BLK JEFFERSON AVE,-76.4962531,37.1094588,C
201655722.0,2016-07-21,1101,OBSCENE MATERIAL/PORNOGRAPHY,5800 BLK MARSHALL AVE,-76.4279551,37.0067468,P
201605959.0,2016-07-22,1308,OBSCENE MATERIAL/PORNOGRAPHY,9700 BLK JEFFERSON AVE,-76.4505536,37.0291733,C
201656349.0,2016-08-11,1436,OBSCENE MATERIAL/PORNOGRAPHY,600 BLK HAMPTON AVE,-76.4194947,36.9788667,R
201657362.0,2016-09-13,1434,OBSCENE MATERIAL/PORNOGRAPHY,4300 BLK ORCUTT AVE,-76.418412,36.9970601,R
201657432.0,2016-09-15,2112,OBSCENE MATERIAL/PORNOGRAPHY,400 BLK WAVERLY PL,-76.5168204,37.159081,R
201608960.0,2016-10-25,1157,OBSCENE MATERIAL/PORNOGRAPHY,200 BLK DENBIGH BLVD,-76.5541459,37.1248257,R
201609807.0,2016-11-21,1635,OBSCENE MATERIAL/PORNOGRAPHY,700 BLK 31ST ST,-76.4207296,36.9863608,R
201610222.0,2016-12-05,1526,OBSCENE MATERIAL/PORNOGRAPHY,800 BLK CASCADE DR,-76.560534,37.1259497,R
201750154.0,2017-01-05,2357,OBSCENE MATERIAL/PORNOGRAPHY,1300 BLK STILLWATER CT,-76.485199,37.1205905,R
201750661.0,2017-01-25,724,OBSCENE MATERIAL/PORNOGRAPHY,13300 BLK PREAKNESS DR,-76.5145324,37.1155525,R
201752223.0,2017-03-21,1318,OBSCENE MATERIAL/PORNOGRAPHY,700 BLK WILDERNESS WAY,-76.5273639,37.1667939,R
201752471.0,2017-03-30,900,OBSCENE MATERIAL/PORNOGRAPHY,9700 BLK JEFFERSON AVE,-76.4505536,37.0291733,C
201752478.0,2017-03-30,1141,OBSCENE MATERIAL/PORNOGRAPHY,500 BLK LOGAN PL,-76.4698853,37.0473161,R
201702733.0,2017-04-03,945,OBSCENE MATERIAL/PORNOGRAPHY,9700 BLK JEFFERSON AVE,-76.4505536,37.0291733,C
201702735.0,2017-04-03,1019,OBSCENE MATERIAL/PORNOGRAPHY,9700 BLK JEFFERSON AVE,-76.4505536,37.0291733,C
201703153.0,2017-04-19,907,OBSCENE MATERIAL/PORNOGRAPHY,9700 BLK JEFFERSON AVE,-76.4505536,37.0291733,C
201703771.0,2017-04-25,1328,OBSCENE MATERIAL/PORNOGRAPHY,0 BLK PADGETT CT,-76.4892027,37.070329,R
201704469.0,2017-05-10,1456,OBSCENE MATERIAL/PORNOGRAPHY,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201754493.0,2017-06-01,1456,OBSCENE MATERIAL/PORNOGRAPHY,900 BLK FOREST LAKE CT,-76.4229516,37.0020955,R
201704849.0,2017-06-08,1805,OBSCENE MATERIAL/PORNOGRAPHY,300 BLK TOWN POINTE WAY,-76.46001,37.037536,R
201754775.0,2017-06-14,1624,OBSCENE MATERIAL/PORNOGRAPHY,3400 BLK ORCUTT AVE,-76.4150111,36.991046,P
201754825.0,2017-06-17,2350,OBSCENE MATERIAL/PORNOGRAPHY,3000 BLK WILLIAMS ST,-76.405795,36.991832,R
201754887.0,2017-06-19,1657,OBSCENE MATERIAL/PORNOGRAPHY,3300 BLK JEFFERSON AVE,-76.4244368,36.9871436,C
201705198.0,2017-06-21,1801,OBSCENE MATERIAL/PORNOGRAPHY,0 BLK DEAN RAY CT,-76.4427812,37.013407,R
201705344.0,2017-06-26,950,OBSCENE MATERIAL/PORNOGRAPHY,500 BLK PURLIEU DR,-76.4731117,37.078796,R
201755233.0,2017-07-01,2306,OBSCENE MATERIAL/PORNOGRAPHY,400 BLK CRESCENT WAY,-76.5264522,37.1333939,R
201755243.0,2017-07-02,1451,OBSCENE MATERIAL/PORNOGRAPHY,9700 BLK JEFFERSON AVE,-76.4505536,37.0291733,C
201725030.0,2017-07-03,119,OBSCENE MATERIAL/PORNOGRAPHY,500 BLK DARTMOOR DR,-76.5257316,37.1382981,R
201755870.0,2017-07-06,1420,OBSCENE MATERIAL/PORNOGRAPHY,100 BLK JEFFERSON POINT LN,-76.4955764,37.1049589,R
201705747.0,2017-07-25,2053,OBSCENE MATERIAL/PORNOGRAPHY,600 BLK TERRI SUE PL,-76.5403446,37.1686034,R
201705930.0,2017-07-28,1351,OBSCENE MATERIAL/PORNOGRAPHY,700 BLK SOUTH AVE,-76.4490956,37.0268289,R
201756190.0,2017-08-03,752,OBSCENE MATERIAL/PORNOGRAPHY,0 BLK JEFFERYS DR,-76.4576247,37.0536555,R
