REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201606537,2016-08-10,1127,PEEPING TOM,400 BLK LESTER RD,-76.4658719,37.0625066,R
201657335,2016-09-12,1539,PEEPING TOM,700 BLK MAINSAIL DR,-76.5359893,37.1712527,R
201753281,2017-04-27,2111,PEEPING TOM,MIDDLESEX RD / WARWICK BLVD,-76.4947978,37.0759916,C
201758778,2017-11-04,247,PEEPING TOM,200 BLK GRANVILLE DR,-76.5135846,37.0795565,R
201850189,2018-01-09,1150,PEEPING TOM,6000 BLK JEFFERSON AVE,-76.4406831,37.0144032,C
201850802,2018-01-30,30,PEEPING TOM,1100 BLK 22ND ST,-76.4078523,36.9843179,R
201852541,2018-04-05,2343,PEEPING TOM,1900 BLK MUSKET RD,-76.5731391,37.2127894,R
201855778,2018-07-19,1732,PEEPING TOM,700 BLK ADAMS DR,-76.4601433,37.0567194,P
201857798,2018-09-25,1900,PEEPING TOM,12900 BLK JEFFERSON AVE,-76.528324,37.1497,C
201857857,2018-09-27,1721,PEEPING TOM,300 BLK DESHAZOR DR,-76.5445587,37.1285745,R
201827477,2018-10-21,618,PEEPING TOM,100 BLK LARK CIR,-76.4607032,37.0642669,R
201859984,2018-12-01,1521,PEEPING TOM,1300 BLK 26TH ST,-76.4040788,36.9890118,R
201860063,2018-12-03,1728,PEEPING TOM,0 BLK TEARDROP LN,-76.548403,37.1531151,R
