REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600417,2016-01-12,2310,POCKET PICKING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201601205,2016-02-06,42,POCKET PICKING,12500 BLK JEFFERSON AVE,-76.5100863,37.1276496,M
201601266,2016-02-08,1709,POCKET PICKING,5000 BLK MERCURY BLVD,-76.4415084,37.0214429,C
201601931,2016-03-06,1229,POCKET PICKING,2600 BLK JEFFERSON AVE,-76.42135,36.9825725,C
201602297,2016-03-18,1621,POCKET PICKING,0 BLK COPELAND LN,-76.4773971,37.0529653,P
201604034,2016-05-16,1002,POCKET PICKING,1300 BLK RADIUS WAY,-76.5125676,37.1256778,R
201604829,2016-06-13,1219,POCKET PICKING,2600 BLK WASHINGTON AVE,-76.4305483,36.9787984,C
201655105,2016-06-29,1856,POCKET PICKING,2300 BLK JEFFERSON AVE,-76.4199088,36.9795191,R
201605643,2016-07-12,1155,POCKET PICKING,500 BLK J CLYDE MORRIS BLVD,-76.4833383,37.0634596,O
201606410,2016-08-05,2149,POCKET PICKING,700 BLK TOWN CENTER DR,-76.4739288,37.0864711,C
201608495,2016-10-10,21,POCKET PICKING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
201609335,2016-11-05,1400,POCKET PICKING,14300 BLK WARWICK BLVD,-76.5349533,37.1275595,C
201609409,2016-11-08,746,POCKET PICKING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201609662,2016-11-16,1611,POCKET PICKING,500 BLK MCLAWHORNE DR,-76.4622888,37.043714,P
201610650,2016-12-20,1800,POCKET PICKING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201700051,2017-01-03,1617,POCKET PICKING,OLD OYSTER POINT RD / WILLOW GREEN DR,-76.4681551,37.1027698,C
201700456,2017-01-18,1959,POCKET PICKING,1900 BLK JEFFERSON AVE,-76.4180065,36.97706,C
201700556,2017-01-21,1600,POCKET PICKING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201700864,2017-01-31,1613,POCKET PICKING,17400 BLK WARWICK BLVD,-76.5717185,37.1918528,C
201700952,2017-02-03,1229,POCKET PICKING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
201702271,2017-03-19,1508,POCKET PICKING,5000 BLK MERCURY BLVD,-76.4415084,37.0214429,C
201703302,2017-04-24,1640,POCKET PICKING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
201704965,2017-06-18,1632,POCKET PICKING,300 BLK CHATHAM DR,-76.5119698,37.1243049,C
201755058,2017-06-26,2314,POCKET PICKING,100 BLK HERITAGE WAY,-76.5195569,37.1192116,R
201755332,2017-07-05,2149,POCKET PICKING,800 BLK 24TH ST,-76.4152708,36.9829554,R
201730071,2017-08-12,1852,POCKET PICKING,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C
201730099,2017-08-13,2122,POCKET PICKING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201731543,2017-09-28,1743,POCKET PICKING,DOMINION DR / WENDWOOD DR,-76.5044127,37.1009783,R
201710109,2017-10-20,1059,POCKET PICKING,12000 BLK RATTLEY RD,-76.485337,37.0990761,O
201710116,2017-10-22,1032,POCKET PICKING,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201732695,2017-11-03,1812,POCKET PICKING,200 BLK DENBIGH BLVD,-76.5541459,37.1248257,R
201733917,2017-12-16,1509,POCKET PICKING,11300 BLK JEFFERSON AVE,-76.469316,37.0657589,C
201800115,2018-03-25,1550,POCKET PICKING,11800 BLK MERCHANT`S WALK,-76.473977,37.085531,C
201822826,2018-04-20,1218,POCKET PICKING,400 BLK ORIANA RD,-76.5382867,37.1301158,C
201800527,2018-08-14,1241,POCKET PICKING,700 BLK J CLYDE MORRIS BLVD,-76.4667135,37.0765421,C
201826629,2018-09-20,1332,POCKET PICKING,5000 BLK MERCURY BLVD,-76.4415084,37.0214429,C
201828143,2018-11-19,858,POCKET PICKING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201860917,2018-12-29,1755,POCKET PICKING,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
