REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600853,2016-01-25,2243,PROSTITUTION,JEFFERSON AVE / VILLAGE PKWY,-76.4563194,37.038155,C
201600978,2016-01-29,1900,PROSTITUTION,11800 BLK FISHING POINT DR,-76.4784907,37.0847569,C
201600980,2016-01-29,1911,PROSTITUTION,11800 BLK FISHING POINT DR,-76.4784907,37.0847569,C
201600982,2016-01-29,1957,PROSTITUTION,11800 BLK FISHING POINT DR,-76.4784907,37.0847569,C
201600983,2016-01-29,2016,PROSTITUTION,11800 BLK FISHING POINT DR,-76.4784907,37.0847569,C
201600985,2016-01-29,2024,PROSTITUTION,11800 BLK FISHING POINT DR,-76.4784907,37.0847569,C
201600987,2016-01-29,2056,PROSTITUTION,11800 BLK FISHING POINT DR,-76.4784907,37.0847569,C
201600989,2016-01-29,2112,PROSTITUTION,11800 BLK FISHING POINT DR,-76.4784907,37.0847569,C
201600991,2016-01-29,2131,PROSTITUTION,11800 BLK FISHING POINT DR,-76.4784907,37.0847569,C
201600995,2016-01-29,2326,PROSTITUTION,11800 BLK FISHING POINT DR,-76.4784907,37.0847569,C
201600997,2016-01-29,2344,PROSTITUTION,11800 BLK FISHING POINT DR,-76.4784907,37.0847569,C
201600998,2016-01-29,2355,PROSTITUTION,11800 BLK FISHING POINT DR,-76.4784907,37.0847569,C
201600999,2016-01-30,17,PROSTITUTION,11800 BLK FISHING POINT DR,-76.4784907,37.0847569,C
201601000,2016-01-30,58,PROSTITUTION,11800 BLK FISHING POINT DR,-76.4784907,37.0847569,C
201601002,2016-01-30,119,PROSTITUTION,11800 BLK FISHING POINT DR,-76.4784907,37.0847569,C
201650978,2016-02-05,1754,PROSTITUTION,J CLYDE MORRIS BLVD / OLD OYSTER POINT RD,-76.459018,37.097899,C
201650980,2016-02-05,1829,PROSTITUTION,J CLYDE MORRIS BLVD / OLD OYSTER POINT RD,-76.459018,37.097899,C
201650981,2016-02-05,1839,PROSTITUTION,J CLYDE MORRIS BLVD / OLD OYSTER POINT RD,-76.459018,37.097899,C
201650984,2016-02-05,1939,PROSTITUTION,J CLYDE MORRIS BLVD / OLD OYSTER POINT RD,-76.459018,37.097899,C
201650985,2016-02-05,1947,PROSTITUTION,J CLYDE MORRIS BLVD / OLD OYSTER POINT RD,-76.459018,37.097899,C
201650987,2016-02-05,1958,PROSTITUTION,J CLYDE MORRIS BLVD / OLD OYSTER POINT RD,-76.459018,37.097899,C
201650990,2016-02-05,2032,PROSTITUTION,J CLYDE MORRIS BLVD / OLD OYSTER POINT RD,-76.459018,37.097899,C
201650992,2016-02-05,2052,PROSTITUTION,J CLYDE MORRIS BLVD / OLD OYSTER POINT RD,-76.459018,37.097899,C
201650994,2016-02-05,2117,PROSTITUTION,J CLYDE MORRIS BLVD / OLD OYSTER POINT RD,-76.459018,37.097899,C
201650995,2016-02-05,2141,PROSTITUTION,J CLYDE MORRIS BLVD / OLD OYSTER POINT RD,-76.459018,37.097899,C
201606372,2016-08-04,2130,PROSTITUTION,28TH ST / CHESTNUT AVE,-76.4075614,36.9892238,C
201606376,2016-08-05,17,PROSTITUTION,900 BLK 21ST ST,-76.4109507,36.9814258,C
201656428,2016-08-25,2315,PROSTITUTION,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201657582,2016-09-21,2037,PROSTITUTION,500 BLK BELLWOOD RD,-76.4550279,37.0302713,R
201608112,2016-09-28,100,PROSTITUTION,13700 BLK WARWICK BLVD,-76.5266492,37.1219266,C
201658194,2016-10-12,2323,PROSTITUTION,27TH ST / WICKHAM AVE,-76.4137739,36.9859398,R
201658195,2016-10-12,2351,PROSTITUTION,800 BLK 35TH ST,-76.4192709,36.9899515,R
201608608,2016-10-13,32,PROSTITUTION,800 BLK 35TH ST,-76.4192709,36.9899515,R
201608609,2016-10-13,59,PROSTITUTION,16TH ST / SHILOH PL,-76.4099576,36.9778316,R
201608610,2016-10-13,204,PROSTITUTION,800 BLK 35TH ST,-76.4192709,36.9899515,R
201608611,2016-10-13,253,PROSTITUTION,800 BLK 31ST ST,-76.4180298,36.987434,R
201608616,2016-10-13,517,PROSTITUTION,800 BLK 31ST ST,-76.4180298,36.987434,R
201608617,2016-10-13,536,PROSTITUTION,800 BLK 29TH ST,-76.4172431,36.9861498,R
201608619,2016-10-13,628,PROSTITUTION,800 BLK 31ST ST,-76.4180298,36.987434,R
201608620,2016-10-13,737,PROSTITUTION,800 BLK 29TH ST,-76.4172431,36.9861498,R
201610847,2016-12-28,2200,PROSTITUTION,33RD ST / MARSHALL AVE,-76.4188594,36.9887108,R
201750752,2017-01-27,2032,PROSTITUTION,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201750753,2017-01-27,2054,PROSTITUTION,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201750755,2017-01-27,2140,PROSTITUTION,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201750762,2017-01-27,2235,PROSTITUTION,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201750764,2017-01-27,2343,PROSTITUTION,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201750765,2017-01-28,1,PROSTITUTION,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201750767,2017-01-28,38,PROSTITUTION,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201750768,2017-01-28,49,PROSTITUTION,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201750771,2017-01-28,123,PROSTITUTION,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201702208,2017-03-14,1940,PROSTITUTION,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
