REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650006,2016-01-01,346,ROBBERY,41ST ST / JEFFERSON AVE,-76.427346,36.9917095,C
201650068,2016-01-03,136,ROBBERY,14700 BLK WARWICK BLVD,-76.5423655,37.1331147,C
201650177,2016-01-06,2315,ROBBERY,600 BLK RIVER BEND CT,-76.4916212,37.1119875,R
201650207,2016-01-07,2131,ROBBERY,700 BLK J CLYDE MORRIS BLVD,-76.4667135,37.0765421,C
201650215,2016-01-08,246,ROBBERY,1400 BLK KILN CREEK PKWY,-76.4863626,37.1206173,R
201650236,2016-01-08,1754,ROBBERY,12600 BLK MCMANUS BLVD,-76.5067009,37.1344387,M
201650248,2016-01-09,47,ROBBERY,300 BLK HICKORY POINT BLVD,-76.5565493,37.1561694,C
201650330,2016-01-12,532,ROBBERY,1000 BLK OMNI BLVD,-76.4633177,37.0892762,C
201650344,2016-01-12,1826,ROBBERY,11000 BLK WARWICK BLVD,-76.4729667,37.0432474,C
201650377,2016-01-13,2101,ROBBERY,18TH ST / IVY AVE,-76.5844411,37.1641396,R
201650383,2016-01-13,2126,ROBBERY,700 BLK 34TH ST,-76.4219303,36.9882796,R
201650413,2016-01-15,1351,ROBBERY,13000 BLK WARWICK BLVD,-76.5119247,37.1047618,C
201650510,2016-01-18,2249,ROBBERY,0 BLK PORT LNDG,-76.4679308,37.0785259,R
201650641,2016-01-23,1759,ROBBERY,0 BLK CEDAR LN,-76.4766183,37.0410607,R
201650642,2016-01-23,1920,ROBBERY,13600 BLK WARWICK BLVD,-76.5224309,37.1180153,C
201650645,2016-01-23,2353,ROBBERY,600 BLK RIVER BEND CT,-76.4916212,37.1119875,R
201650683,2016-01-25,2300,ROBBERY,12900 BLK JEFFERSON AVE,-76.528324,37.1497,C
201650688,2016-01-26,831,ROBBERY,12900 BLK JEFFERSON AVE,-76.528324,37.1497,C
201650707,2016-01-26,2344,ROBBERY,12500 BLK WARWICK BLVD,-76.4941434,37.0762992,C
201650728,2016-01-27,1955,ROBBERY,1000 BLK 28TH ST,-76.4126422,36.9872016,P
201650785,2016-01-29,2101,ROBBERY,6000 BLK JEFFERSON AVE,-76.4406831,37.0144032,C
201650789,2016-01-29,2125,ROBBERY,400 BLK S TRELLIS CT,-76.5536363,37.1559821,R
201651008,2016-02-06,1503,ROBBERY,100 BLK RODEO CIR,-76.5307029,37.1355496,R
201651023,2016-02-06,2229,ROBBERY,100 BLK HERITAGE WAY,-76.5195569,37.1192116,R
201651025,2016-02-07,102,ROBBERY,200 BLK QUARTER TRL,-76.568194,37.1691445,R
201651072,2016-02-08,1800,ROBBERY,900 BLK FOREST LAKE CT,-76.4229516,37.0020955,R
201651073,2016-02-08,1934,ROBBERY,100 BLK ALAN DR,-76.5284572,37.1273184,R
201651093,2016-02-09,1835,ROBBERY,41ST ST / MARSHALL AVE,-76.4220285,36.9938189,R
201651098,2016-02-09,2102,ROBBERY,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201651133,2016-02-11,1425,ROBBERY,400 BLK LOGAN PL,-76.4734831,37.0467536,C
201651178,2016-02-14,225,ROBBERY,500 BLK PURLIEU DR,-76.4731117,37.078796,R
201651184,2016-02-14,1302,ROBBERY,0 BLK MIDDLESEX RD,-76.4894,37.075457,R
201651194,2016-02-14,2020,ROBBERY,700 BLK 30TH ST,-76.4203337,36.9857287,R
201651196,2016-02-14,2041,ROBBERY,700 BLK MCGUIRE PL,-76.462515,37.0781319,O
201651219,2016-02-15,1714,ROBBERY,300 BLK BEECHMONT DR,-76.5555848,37.1357354,R
201651224,2016-02-15,2355,ROBBERY,0 BLK STUART RD N,-76.456523,37.0394888,R
201651344,2016-02-20,2330,ROBBERY,100 BLK ANNETTE CT,-76.4558306,37.0904252,R
201651395,2016-02-22,2231,ROBBERY,17400 BLK WARWICK BLVD,-76.5717185,37.1918528,C
