REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650329,2016-01-12,819,SEXUAL ASSAULT W/AN OBJECT,800 BLK ROAM CT,-76.4350117,37.016401,R
201650801,2016-01-30,1323,SEXUAL ASSAULT W/AN OBJECT,700 BLK 21ST ST,-76.4163564,36.9792776,R
201652634,2016-04-09,2332,SEXUAL ASSAULT W/AN OBJECT,300 BLK MAIN ST,-76.4578225,37.0346149,C
201653008,2016-04-22,2046,SEXUAL ASSAULT W/AN OBJECT,11000 BLK JEFFERSON AVE,-76.4622654,37.0551026,C
201654091,2016-05-28,951,SEXUAL ASSAULT W/AN OBJECT,800 BLK CHAPIN WOOD DR,-76.544838,37.172345,R
201608845,2016-10-21,1536,SEXUAL ASSAULT W/AN OBJECT,1400 BLK 24TH ST,-76.4005564,36.9888069,R
201752075,2017-03-15,1557,SEXUAL ASSAULT W/AN OBJECT,400 BLK N CHALICE CT,-76.5321094,37.1595043,R
201753031,2017-04-18,2140,SEXUAL ASSAULT W/AN OBJECT,200 BLK JAKES LN,-76.5418173,37.1647375,R
201755040,2017-06-26,1438,SEXUAL ASSAULT W/AN OBJECT,300 BLK HICKORY POINT BLVD,-76.5565493,37.1561694,C
201755764,2017-07-21,2046,SEXUAL ASSAULT W/AN OBJECT,300 BLK 25TH ST,-76.427322,36.978395,C
201757086,2017-09-05,1907,SEXUAL ASSAULT W/AN OBJECT,25TH ST / ORCUTT AVE,-76.4114558,36.9852711,R
201757396,2017-09-15,2241,SEXUAL ASSAULT W/AN OBJECT,0 BLK ASTOR DR,-76.5565842,37.1503941,R
201731725,2017-10-04,1402,SEXUAL ASSAULT W/AN OBJECT,100 BLK MADISON LN N,-76.5089999,37.0717844,R
201759718,2017-12-07,2045,SEXUAL ASSAULT W/AN OBJECT,0 BLK BETHUNE DR,-76.5029903,37.0821898,R
201850097,2018-01-05,1801,SEXUAL ASSAULT W/AN OBJECT,500 BLK LOGAN PL,-76.4698853,37.0473161,R
201820839,2018-01-31,1504,SEXUAL ASSAULT W/AN OBJECT,700 BLK LANCE DR,-76.4648494,37.0746479,R
201851027,2018-02-06,2242,SEXUAL ASSAULT W/AN OBJECT,500 BLK CORAL KEY PL,-76.4906507,37.0994311,R
201851230,2018-02-13,1705,SEXUAL ASSAULT W/AN OBJECT,2900 BLK VICTORIA BLVD,-76.3733239,37.0092776,NZ
201852681,2018-04-11,1120,SEXUAL ASSAULT W/AN OBJECT,400 BLK TURLINGTON RD,-76.4975033,37.0832609,C
201823514,2018-05-22,1701,SEXUAL ASSAULT W/AN OBJECT,0 BLK CURTIS TIGNOR RD,-76.5527771,37.1422648,R
201854597,2018-06-12,2317,SEXUAL ASSAULT W/AN OBJECT,1800 BLK SALT POND PL,-76.4809503,37.1215911,R
201824497,2018-06-29,1238,SEXUAL ASSAULT W/AN OBJECT,200 BLK ST THOMAS DR,-76.4876604,37.0907376,R
201855620,2018-07-14,2325,SEXUAL ASSAULT W/AN OBJECT,0 BLK LEWIS DR,-76.4936844,37.0971678,M
201855991,2018-07-26,1544,SEXUAL ASSAULT W/AN OBJECT,600 BLK RIDLEY CIR,-76.415361,36.974885,R
201856261,2018-08-04,442,SEXUAL ASSAULT W/AN OBJECT,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201858366,2018-10-11,2109,SEXUAL ASSAULT W/AN OBJECT,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201858776,2018-10-25,1958,SEXUAL ASSAULT W/AN OBJECT,500 BLK J CLYDE MORRIS BLVD,-76.4833383,37.0634596,O
201860031,2018-12-02,1956,SEXUAL ASSAULT W/AN OBJECT,200 BLK 36TH ST,-76.434693,36.984804,C
201860062,2018-12-03,1705,SEXUAL ASSAULT W/AN OBJECT,600 BLK SEDGEFIELD DR,-76.4595601,37.0453743,C
201860593,2018-12-19,2345,SEXUAL ASSAULT W/AN OBJECT,200 BLK 26TH ST,-76.4307272,36.9784021,C
201860705,2018-12-22,2257,SEXUAL ASSAULT W/AN OBJECT,300 BLK OYSTER POINT RD,-76.5109083,37.1035132,C
