REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones,X_Coordinates.1,Y_Coordinates.1,Zones.1
201650048,2016-01-02,1512,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201650079,2016-01-03,1450,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201600074,2016-01-03,1606,SHOPLIFTING,14800 BLK WARWICK BLVD,-76.541317,37.135346,R,-76.541317,37.135346,R
201600147,2016-01-04,1221,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201600146,2016-01-04,1254,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201650113,2016-01-04,1805,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201650115,2016-01-04,1958,SHOPLIFTING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C,-76.495616,37.112658,C
201650133,2016-01-05,1344,SHOPLIFTING,500 BLK BLAND BLVD,-76.518583,37.122077,P,-76.518583,37.122077,P
201650138,2016-01-05,1519,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201650134,2016-01-05,1631,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201650171,2016-01-06,1530,SHOPLIFTING,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C,-76.493523,37.105174,C
201650170,2016-01-06,1645,SHOPLIFTING,600 BLK J CLYDE MORRIS BLVD,-76.4736857,37.0735663,C,-76.4736857,37.0735663,C
201600212,2016-01-06,2018,SHOPLIFTING,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C,-76.4589279,37.0888359,C
201650192,2016-01-07,1105,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201600278,2016-01-08,1257,SHOPLIFTING,300 BLK OYSTER POINT RD,-76.5109083,37.1035132,C,-76.5109083,37.1035132,C
201600281,2016-01-08,1432,SHOPLIFTING,300 BLK OYSTER POINT RD,-76.5109083,37.1035132,C,-76.5109083,37.1035132,C
201600299,2016-01-09,222,SHOPLIFTING,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C,-76.4589279,37.0888359,C
201650257,2016-01-09,1029,SHOPLIFTING,3600 BLK WASHINGTON AVE,-76.4344579,36.9851225,C,-76.4344579,36.9851225,C
201650266,2016-01-09,1805,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201650285,2016-01-10,1058,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201600348,2016-01-10,1912,SHOPLIFTING,11200 BLK JEFFERSON AVE,-76.4657937,37.059528,C,-76.4657937,37.059528,C
201600411,2016-01-12,1843,SHOPLIFTING,2600 BLK JEFFERSON AVE,-76.42135,36.9825725,C,-76.42135,36.9825725,C
201600439,2016-01-13,1456,SHOPLIFTING,300 BLK CHATHAM DR,-76.5119698,37.1243049,C,-76.5119698,37.1243049,C
201650415,2016-01-15,1454,SHOPLIFTING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C,-76.495616,37.112658,C
201600550,2016-01-16,1341,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201650447,2016-01-16,1733,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201650471,2016-01-17,1649,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201650488,2016-01-18,1500,SHOPLIFTING,600 BLK J CLYDE MORRIS BLVD,-76.4736857,37.0735663,C,-76.4736857,37.0735663,C
201650502,2016-01-19,1220,SHOPLIFTING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C,-76.495616,37.112658,C
201600602,2016-01-19,1239,SHOPLIFTING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C,-76.495616,37.112658,C
201600638,2016-01-20,1322,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201650580,2016-01-21,1359,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201600725,2016-01-21,1559,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201650660,2016-01-24,1829,SHOPLIFTING,500 BLK BLAND BLVD,-76.518583,37.122077,P,-76.518583,37.122077,P
201600829,2016-01-25,911,SHOPLIFTING,5900 BLK JEFFERSON AVE,-76.4377798,37.0094596,C,-76.4377798,37.0094596,C
201650669,2016-01-25,918,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201600860,2016-01-26,1024,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201650715,2016-01-27,1124,SHOPLIFTING,13200 BLK WARWICK BLVD,-76.5165735,37.1120849,C,-76.5165735,37.1120849,C
201600902,2016-01-27,1608,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201600911,2016-01-28,822,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201600912,2016-01-28,829,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201600922,2016-01-28,1128,SHOPLIFTING,12900 BLK JEFFERSON AVE,-76.528324,37.1497,C,-76.528324,37.1497,C
201650747,2016-01-28,1154,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201600951,2016-01-28,1600,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201600944,2016-01-28,1954,SHOPLIFTING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C,-76.495616,37.112658,C
201600966,2016-01-29,1624,SHOPLIFTING,0 BLK HIDEN BLVD,-76.5004773,37.0676714,R,-76.5004773,37.0676714,R
201601003,2016-01-30,230,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201650805,2016-01-30,1450,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201601014,2016-01-30,1451,SHOPLIFTING,10800 BLK WARWICK BLVD,-76.4667659,37.0377816,C,-76.4667659,37.0377816,C
201601022,2016-01-30,1840,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201601027,2016-01-31,220,SHOPLIFTING,15600 BLK WARWICK BLVD,-76.556477,37.1607465,C,-76.556477,37.1607465,C
201650839,2016-01-31,1213,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201650844,2016-01-31,1615,SHOPLIFTING,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C,-76.493523,37.105174,C
201650877,2016-02-01,1712,SHOPLIFTING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C,-76.495616,37.112658,C
201650875,2016-02-01,1716,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201601110,2016-02-02,1440,SHOPLIFTING,600 BLK STONEY CREEK LN,-76.520323,37.1424356,R,-76.520323,37.1424356,R
201601121,2016-02-02,1952,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201601122,2016-02-02,1959,SHOPLIFTING,13200 BLK WARWICK BLVD,-76.5165735,37.1120849,C,-76.5165735,37.1120849,C
201601130,2016-02-03,1157,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201650932,2016-02-03,1542,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201650950,2016-02-04,1256,SHOPLIFTING,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C,-76.493523,37.105174,C
201650956,2016-02-04,1906,SHOPLIFTING,2300 BLK JEFFERSON AVE,-76.4199088,36.9795191,R,-76.4199088,36.9795191,R
201650969,2016-02-05,1353,SHOPLIFTING,3600 BLK WASHINGTON AVE,-76.4344579,36.9851225,C,-76.4344579,36.9851225,C
201601209,2016-02-06,1024,SHOPLIFTING,10800 BLK WARWICK BLVD,-76.4667659,37.0377816,C,-76.4667659,37.0377816,C
201601218,2016-02-06,1657,SHOPLIFTING,500 BLK HARPERSVILLE RD,-76.459168,37.064171,R,-76.459168,37.064171,R
201651014,2016-02-06,1907,SHOPLIFTING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C,-76.495616,37.112658,C
201601227,2016-02-06,2254,SHOPLIFTING,3300 BLK WEST AVE,-76.434969,36.982524,C,-76.434969,36.982524,C
201651031,2016-02-07,1303,SHOPLIFTING,500 BLK BLAND BLVD,-76.518583,37.122077,P,-76.518583,37.122077,P
201601292,2016-02-07,1900,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201651051,2016-02-08,715,SHOPLIFTING,300 BLK CHATHAM DR,-76.5119698,37.1243049,C,-76.5119698,37.1243049,C
201651063,2016-02-08,1326,SHOPLIFTING,12900 BLK JEFFERSON AVE,-76.528324,37.1497,C,-76.528324,37.1497,C
201601263,2016-02-08,1517,SHOPLIFTING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C,-76.495616,37.112658,C
201651091,2016-02-09,1529,SHOPLIFTING,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C,-76.493523,37.105174,C
201601310,2016-02-10,1156,SHOPLIFTING,300 BLK CHATHAM DR,-76.5119698,37.1243049,C,-76.5119698,37.1243049,C
201651108,2016-02-10,1400,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201601318,2016-02-10,1532,SHOPLIFTING,500 BLK HARPERSVILLE RD,-76.459168,37.064171,R,-76.459168,37.064171,R
201651111,2016-02-10,1532,SHOPLIFTING,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C,-76.493523,37.105174,C
201651110,2016-02-10,1535,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201651130,2016-02-11,1314,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201601385,2016-02-12,2001,SHOPLIFTING,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O,-76.4871821,37.0973237,O
201651158,2016-02-12,2035,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201601405,2016-02-13,1700,SHOPLIFTING,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O,-76.4871821,37.0973237,O
201601407,2016-02-13,1718,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201601486,2016-02-16,1458,SHOPLIFTING,0 BLK HIDEN BLVD,-76.5004773,37.0676714,R,-76.5004773,37.0676714,R
201651254,2016-02-17,1014,SHOPLIFTING,11700 BLK JEFFERSON AVE,-76.4747446,37.0755734,C,-76.4747446,37.0755734,C
201601509,2016-02-17,1232,SHOPLIFTING,600 BLK PILOT HOUSE DR,-76.4780842,37.0807253,C,-76.4780842,37.0807253,C
201651259,2016-02-17,1552,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201601525,2016-02-18,137,SHOPLIFTING,3600 BLK WASHINGTON AVE,-76.4344579,36.9851225,C,-76.4344579,36.9851225,C
201601541,2016-02-18,1314,SHOPLIFTING,600 BLK PILOT HOUSE DR,-76.4780842,37.0807253,C,-76.4780842,37.0807253,C
201601549,2016-02-19,838,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201601568,2016-02-19,1855,SHOPLIFTING,5900 BLK JEFFERSON AVE,-76.4377798,37.0094596,C,-76.4377798,37.0094596,C
201601577,2016-02-19,2338,SHOPLIFTING,13000 BLK WARWICK BLVD,-76.5119247,37.1047618,C,-76.5119247,37.1047618,C
201601588,2016-02-20,1635,SHOPLIFTING,600 BLK STONEY CREEK LN,-76.520323,37.1424356,R,-76.520323,37.1424356,R
201601589,2016-02-20,1735,SHOPLIFTING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C,-76.495616,37.112658,C
