REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650002,2016-01-01 00:00:00,42,SIMPLE ASSAULT,800 BLK FORREST DR,-76.4699618,37.076823,C
201650009,2016-01-01 00:00:00,445,SIMPLE ASSAULT,900 BLK BACKSPIN CT,-76.4770293,37.1152593,R
201650010,2016-01-01 00:00:00,724,SIMPLE ASSAULT,3100 BLK MADISON AVE,-76.4206635,36.9866012,R
201650011,2016-01-01 00:00:00,736,SIMPLE ASSAULT,200 BLK ROTUNDA CIR,-76.5454698,37.1722318,R
201650018,2016-01-01 00:00:00,1241,SIMPLE ASSAULT,0 BLK RIVER PALMS RD,-76.5588686,37.1545128,R
201650022,2016-01-01 00:00:00,1521,SIMPLE ASSAULT,800 BLK 27TH ST,-76.4162404,36.9847415,R
201650024,2016-01-01 00:00:00,1609,SIMPLE ASSAULT,300 BLK MAIN ST,-76.4578225,37.0346149,C
201650034,2016-01-01 00:00:00,2120,SIMPLE ASSAULT,400 BLK HILLTOP DR,-76.5731968,37.1852273,R
201650032,2016-01-01 00:00:00,2218,SIMPLE ASSAULT,600 BLK RIVER BEND CT,-76.4916212,37.1119875,R
201600038,2016-01-02 00:00:00,944,SIMPLE ASSAULT,600 BLK J CLYDE MORRIS BLVD,-76.4736857,37.0735663,C
201650058,2016-01-02 00:00:00,2013,SIMPLE ASSAULT,100 BLK PLEASANT CT,-76.5332882,37.1224862,R
201650063,2016-01-02 00:00:00,2148,SIMPLE ASSAULT,12700 BLK MARINERS CT,-76.4978748,37.0876645,R
201650072,2016-01-03 00:00:00,648,SIMPLE ASSAULT,300 BLK HIDEN BLVD,-76.4933703,37.0693316,C
201650073,2016-01-03 00:00:00,742,SIMPLE ASSAULT,10400 BLK JEFFERSON AVE,-76.4592931,37.0453367,C
201650076,2016-01-03 00:00:00,1223,SIMPLE ASSAULT,100 BLK NEWMARKET SQ,-76.4418021,37.0185327,C
201650077,2016-01-03 00:00:00,1358,SIMPLE ASSAULT,400 BLK S TRELLIS CT,-76.5536363,37.1559821,R
201650084,2016-01-03 00:00:00,1833,SIMPLE ASSAULT,2800 BLK WEST AVE,-76.433143,36.979217,C
201600095,2016-01-04 00:00:00,1011,SIMPLE ASSAULT,12900 BLK JEFFERSON AVE,-76.528324,37.1497,C
201650100,2016-01-04 00:00:00,1246,SIMPLE ASSAULT,13400 BLK WOODSIDE LN,-76.5268772,37.1714068,P
201600102,2016-01-04 00:00:00,1301,SIMPLE ASSAULT,400 BLK HARBOR RD,-76.4258599,36.968432,M
201600127,2016-01-04 00:00:00,1510,SIMPLE ASSAULT,3400 BLK ORCUTT AVE,-76.4150111,36.991046,P
201650105,2016-01-04 00:00:00,1515,SIMPLE ASSAULT,1000 BLK 72ND ST,-76.4302053,37.0156668,R
201650108,2016-01-04 00:00:00,1700,SIMPLE ASSAULT,100 BLK MEREDITH WAY,-76.5115407,37.0971683,R
201650121,2016-01-04 00:00:00,1904,SIMPLE ASSAULT,1800 BLK 19TH ST,-76.3926302,36.9897686,R
201650120,2016-01-04 00:00:00,1948,SIMPLE ASSAULT,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201600126,2016-01-04 00:00:00,2154,SIMPLE ASSAULT,1100 BLK 32ND ST,-76.4118211,36.9907169,R
201650143,2016-01-05 00:00:00,1621,SIMPLE ASSAULT,500 BLK DIPLOMAT CT,-76.5319835,37.1510712,R
201650150,2016-01-05 00:00:00,2135,SIMPLE ASSAULT,700 BLK 35TH ST,-76.422288,36.9889354,R
201650155,2016-01-06 00:00:00,118,SIMPLE ASSAULT,800 BLK 20TH ST,-76.4132746,36.979719,R
201650154,2016-01-06 00:00:00,132,SIMPLE ASSAULT,500 BLK HOLLINS CT,-76.5342518,37.1539794,R
201600170,2016-01-06 00:00:00,412,SIMPLE ASSAULT,900 BLK MARCUS DR,-76.4632871,37.0977859,R
201650158,2016-01-06 00:00:00,905,SIMPLE ASSAULT,1600 BLK IVY AVE,-76.4149731,36.975855,P
201650162,2016-01-06 00:00:00,1040,SIMPLE ASSAULT,3600 BLK WASHINGTON AVE,-76.4344579,36.9851225,C
201650164,2016-01-06 00:00:00,1145,SIMPLE ASSAULT,3400 BLK WASHINGTON AVE,-76.433695,36.983799,C
201600189,2016-01-06 00:00:00,1259,SIMPLE ASSAULT,0 BLK COPELAND LN,-76.4773971,37.0529653,P
201600194,2016-01-06 00:00:00,1402,SIMPLE ASSAULT,700 BLK PENINSULA DR,-76.4295674,37.0011426,R
201650172,2016-01-06 00:00:00,1700,SIMPLE ASSAULT,13600 BLK WARWICK BLVD,-76.5224309,37.1180153,C
201650174,2016-01-06 00:00:00,1716,SIMPLE ASSAULT,19TH ST / MADISON AVE,-76.4155917,36.9779956,R
201650176,2016-01-06 00:00:00,1852,SIMPLE ASSAULT,0 BLK WANGER CIR,-76.5282317,37.1050716,R
201650179,2016-01-06 00:00:00,2118,SIMPLE ASSAULT,800 BLK LIPTON DR,-76.5669072,37.1251419,R
201650185,2016-01-07 00:00:00,411,SIMPLE ASSAULT,300 BLK TROY DR,-76.4960589,37.0983579,M
201600269,2016-01-07 00:00:00,1100,SIMPLE ASSAULT,400 BLK ATKINSON WAY,-76.5476769,37.148081,P
201650196,2016-01-07 00:00:00,1221,SIMPLE ASSAULT,13200 BLK AQUEDUCT DR,-76.5170062,37.1154057,R
201650198,2016-01-07 00:00:00,1311,SIMPLE ASSAULT,100 BLK LANDS END LN,-76.5631537,37.1563514,R
201650189,2016-01-07 00:00:00,1400,SIMPLE ASSAULT,800 BLK DUSK CT,-76.4717125,37.0769019,R
201650200,2016-01-07 00:00:00,1439,SIMPLE ASSAULT,600 BLK 35TH ST,-76.4250274,36.987852,C
201650213,2016-01-08 00:00:00,300,SIMPLE ASSAULT,1100 BLK 23RD ST,-76.4082536,36.9849596,R
201650217,2016-01-08 00:00:00,608,SIMPLE ASSAULT,900 BLK MONITOR CT,-76.4241651,37.024005,R
201650221,2016-01-08 00:00:00,1111,SIMPLE ASSAULT,900 BLK 11TH ST,-76.4068732,36.9748094,R
201650227,2016-01-08 00:00:00,1433,SIMPLE ASSAULT,100 BLK RANCH DR,-76.5300555,37.134951,R
201650228,2016-01-08 00:00:00,1441,SIMPLE ASSAULT,500 BLK CATINA WAY,-76.526701,37.133994,R
201650229,2016-01-08 00:00:00,1503,SIMPLE ASSAULT,5000 BLK RESERVE WAY,-76.5056682,37.1073919,R
201650231,2016-01-08 00:00:00,1606,SIMPLE ASSAULT,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201650242,2016-01-08 00:00:00,2103,SIMPLE ASSAULT,1400 BLK VENTURA WAY,-76.5196225,37.1456805,R
201650249,2016-01-09 00:00:00,155,SIMPLE ASSAULT,0 BLK TRAVERSE RD,-76.4580576,37.0947029,C
201650251,2016-01-09 00:00:00,613,SIMPLE ASSAULT,2800 BLK WEST AVE,-76.433143,36.979217,C
201650253,2016-01-09 00:00:00,749,SIMPLE ASSAULT,800 BLK 35TH ST,-76.4192709,36.9899515,R
201650255,2016-01-09 00:00:00,816,SIMPLE ASSAULT,400 BLK HUSTINGS LN,-76.5387609,37.137244,R
201650256,2016-01-09 00:00:00,1017,SIMPLE ASSAULT,100 BLK HERMAN MELVILLE AVE,-76.4890842,37.0846805,R
201600312,2016-01-09 00:00:00,1210,SIMPLE ASSAULT,300 BLK HIDENWOOD DR,-76.498234,37.07515,R
201650262,2016-01-09 00:00:00,1447,SIMPLE ASSAULT,600 BLK 43RD ST,-76.4278844,36.9928604,C
201650263,2016-01-09 00:00:00,1447,SIMPLE ASSAULT,1100 BLK N GREEN DR,-76.4672214,37.1050444,R
201650272,2016-01-09 00:00:00,2129,SIMPLE ASSAULT,6200 BLK RESERVE WAY,-76.5059926,37.1073772,R
201650280,2016-01-10 00:00:00,48,SIMPLE ASSAULT,1200 BLK 27TH ST,-76.4071644,36.9885679,C
201650290,2016-01-10 00:00:00,1500,SIMPLE ASSAULT,1000 BLK 35TH ST,-76.4153692,36.9916715,P
201650289,2016-01-10 00:00:00,1710,SIMPLE ASSAULT,0 BLK MIDDLESEX RD,-76.4894,37.075457,R
201650295,2016-01-10 00:00:00,1735,SIMPLE ASSAULT,500 BLK CORAL CT,-76.4924427,37.0964912,R
201650293,2016-01-10 00:00:00,1828,SIMPLE ASSAULT,800 BLK JACK SHAVER DR,-76.5678927,37.1660126,R
201650298,2016-01-10 00:00:00,1832,SIMPLE ASSAULT,3200 BLK RESERVE WAY,-76.5059961,37.1073248,R
201650301,2016-01-10 00:00:00,1939,SIMPLE ASSAULT,0 BLK CLAY DR,-76.4975376,37.1008726,M
201650302,2016-01-10 00:00:00,2011,SIMPLE ASSAULT,400 BLK ORIANA RD,-76.5382867,37.1301158,C
201650307,2016-01-11 00:00:00,9,SIMPLE ASSAULT,500 BLK BLUE POINT TER,-76.4970829,37.1023137,R
201650281,2016-01-11 00:00:00,600,SIMPLE ASSAULT,1300 BLK ROANOKE AVE,-76.402707,36.9779539,R
201650309,2016-01-11 00:00:00,644,SIMPLE ASSAULT,200 BLK TROY PL,-76.5583222,37.1272267,R
201650312,2016-01-11 00:00:00,911,SIMPLE ASSAULT,800 BLK SUNDOWN LN,-76.4714911,37.0765709,R
201650318,2016-01-11 00:00:00,1245,SIMPLE ASSAULT,7100 BLK WARWICK BLVD,-76.4460483,37.0108875,C
201650328,2016-01-11 00:00:00,2134,SIMPLE ASSAULT,6000 BLK JEFFERSON AVE,-76.4406831,37.0144032,C
201600381,2016-01-12 00:00:00,830,SIMPLE ASSAULT,500 BLK MCLAWHORNE DR,-76.4622888,37.043714,P
201600407,2016-01-12 00:00:00,1152,SIMPLE ASSAULT,100 BLK DELMAR LN,-76.5264358,37.1251497,R
201650345,2016-01-12 00:00:00,1949,SIMPLE ASSAULT,100 BLK GRETNA WAY,-76.5708259,37.1667171,R
201650347,2016-01-12 00:00:00,2049,SIMPLE ASSAULT,0 BLK CHRISTIAN ST,-76.5511733,37.154985,R
201600418,2016-01-13 00:00:00,41,SIMPLE ASSAULT,800 BLK ROAM CT,-76.4350117,37.016401,R
201600426,2016-01-13 00:00:00,840,SIMPLE ASSAULT,2500 BLK WASHINGTON AVE,-76.4302306,36.9782745,C
201650360,2016-01-13 00:00:00,1037,SIMPLE ASSAULT,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201650374,2016-01-13 00:00:00,2009,SIMPLE ASSAULT,1000 BLK 33RD ST,-76.4145775,36.9904095,P
201650388,2016-01-14 00:00:00,708,SIMPLE ASSAULT,500 BLK BULKELEY PL,-76.4567488,37.0323236,R
201600470,2016-01-14 00:00:00,1003,SIMPLE ASSAULT,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201650397,2016-01-14 00:00:00,1709,SIMPLE ASSAULT,200 BLK CIRCUIT LN,-76.5367349,37.1423198,R
201650401,2016-01-14 00:00:00,2043,SIMPLE ASSAULT,1100 BLK GARDEN DR,-76.4020923,36.9779506,R
201650404,2016-01-14 00:00:00,2359,SIMPLE ASSAULT,800 BLK 20TH ST,-76.4132746,36.979719,R
201600497,2016-01-15 00:00:00,424,SIMPLE ASSAULT,500 BLK CORAL KEY PL,-76.4906507,37.0994311,R
201650430,2016-01-15 00:00:00,2230,SIMPLE ASSAULT,1100 BLK 21ST ST,-76.4070416,36.9829988,R
201650441,2016-01-16 00:00:00,1255,SIMPLE ASSAULT,100 BLK MARSHVIEW DR,-76.5583319,37.1574076,R
201650446,2016-01-16 00:00:00,1456,SIMPLE ASSAULT,2200 BLK JEFFERSON AVE,-76.4194995,36.9788648,R
201650449,2016-01-16 00:00:00,1855,SIMPLE ASSAULT,7000 BLK WARWICK BLVD,-76.445265,37.0103144,C
201650455,2016-01-16 00:00:00,1946,SIMPLE ASSAULT,0 BLK CURTIS TIGNOR RD,-76.5527771,37.1422648,R
201650458,2016-01-16 00:00:00,2224,SIMPLE ASSAULT,700 BLK TERRACE DR,-76.4510163,37.057503,R
201650459,2016-01-17 00:00:00,111,SIMPLE ASSAULT,100 BLK IMPALA DR,-76.472831,37.074763,C
201650468,2016-01-17 00:00:00,1421,SIMPLE ASSAULT,500 BLK CHARLEMAGNE CT,-76.532877,37.158876,R
201650474,2016-01-17 00:00:00,1757,SIMPLE ASSAULT,15400 BLK WARWICK BLVD,-76.5518298,37.1485437,C
201650473,2016-01-17 00:00:00,1757,SIMPLE ASSAULT,100 BLK ST STEPHENS DR,-76.5280424,37.1265822,R
201650475,2016-01-17 00:00:00,1806,SIMPLE ASSAULT,700 BLK RIVER ROCK WAY,-76.519895,37.142763,R
201650476,2016-01-17 00:00:00,2028,SIMPLE ASSAULT,300 BLK MAJESTIC CT,-76.5025672,37.0749546,R
201650479,2016-01-17 00:00:00,2127,SIMPLE ASSAULT,13200 BLK AQUEDUCT DR,-76.5170062,37.1154057,R
201650481,2016-01-18 00:00:00,224,SIMPLE ASSAULT,10300 BLK WARWICK BLVD,-76.4603689,37.0326516,C
201650496,2016-01-18 00:00:00,1615,SIMPLE ASSAULT,5400 BLK MARSHALL AVE,-76.4259094,37.0020595,R
201650501,2016-01-18 00:00:00,1950,SIMPLE ASSAULT,600 BLK HEMLOCK RD,-76.4576869,37.046332,R
201650514,2016-01-19 00:00:00,249,SIMPLE ASSAULT,800 BLK OLD OYSTER POINT RD,-76.4607597,37.0976734,R
201650502,2016-01-19 00:00:00,1220,SIMPLE ASSAULT,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201600602,2016-01-19 00:00:00,1239,SIMPLE ASSAULT,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201650521,2016-01-19 00:00:00,1313,SIMPLE ASSAULT,100 BLK WHITEWATER DR,-76.5440904,37.1698901,R
201650536,2016-01-20 00:00:00,48,SIMPLE ASSAULT,700 BLK J CLYDE MORRIS BLVD,-76.4667135,37.0765421,C
201650541,2016-01-20 00:00:00,844,SIMPLE ASSAULT,13400 BLK WOODSIDE LN,-76.5268772,37.1714068,P
201650549,2016-01-20 00:00:00,1018,SIMPLE ASSAULT,700 BLK BELLOWS WAY,-76.4963321,37.1180362,R
201650550,2016-01-20 00:00:00,1327,SIMPLE ASSAULT,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C
201650547,2016-01-20 00:00:00,1347,SIMPLE ASSAULT,100 BLK DELMAR LN,-76.5264358,37.1251497,R
201650551,2016-01-20 00:00:00,1416,SIMPLE ASSAULT,13400 BLK WOODSIDE LN,-76.5268772,37.1714068,P
201650558,2016-01-20 00:00:00,1521,SIMPLE ASSAULT,17300 BLK WARWICK BLVD,-76.5707002,37.185432,P
201650566,2016-01-20 00:00:00,2236,SIMPLE ASSAULT,0 BLK NORMANDY LN,-76.5129452,37.0845307,R
201650568,2016-01-20 00:00:00,2350,SIMPLE ASSAULT,4600 BLK MADISON AVE,-76.4264217,36.9958309,R
201600707,2016-01-21 00:00:00,1012,SIMPLE ASSAULT,13400 BLK WOODSIDE LN,-76.5268772,37.1714068,P
201600710,2016-01-21 00:00:00,1119,SIMPLE ASSAULT,500 BLK ADAMS DR,-76.4582324,37.0550879,R
201650578,2016-01-21 00:00:00,1323,SIMPLE ASSAULT,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201650585,2016-01-21 00:00:00,1557,SIMPLE ASSAULT,300 BLK TROY DR,-76.4960589,37.0983579,M
201650591,2016-01-21 00:00:00,1846,SIMPLE ASSAULT,10800 BLK WARWICK BLVD,-76.4667659,37.0377816,C
201650593,2016-01-21 00:00:00,2000,SIMPLE ASSAULT,700 BLK 30TH ST,-76.4203337,36.9857287,R
201650596,2016-01-21 00:00:00,2041,SIMPLE ASSAULT,5300 BLK MARSHALL AVE,-76.4265079,37.0011141,R
201650602,2016-01-21 00:00:00,2314,SIMPLE ASSAULT,3400 BLK WASHINGTON AVE,-76.433695,36.983799,C
201650605,2016-01-21 00:00:00,2330,SIMPLE ASSAULT,900 BLK MARCUS DR,-76.4632871,37.0977859,R
201600733,2016-01-22 00:00:00,330,SIMPLE ASSAULT,100 BLK ELAINE DR,-76.5323863,37.1187857,R
201650607,2016-01-22 00:00:00,540,SIMPLE ASSAULT,4500 BLK BAUGHMAN CT,-76.4245395,36.9959185,R
201650610,2016-01-22 00:00:00,1032,SIMPLE ASSAULT,0 BLK MYTILENE DR,-76.421205,37.0196119,R
201650611,2016-01-22 00:00:00,1158,SIMPLE ASSAULT,200 BLK POPLAR AVE,-76.3949047,36.9907037,R
201650612,2016-01-22 00:00:00,1229,SIMPLE ASSAULT,1300 BLK GARDEN DR,-76.4002574,36.980442,R
201600748,2016-01-22 00:00:00,1317,SIMPLE ASSAULT,400 BLK ATKINSON WAY,-76.5476769,37.148081,P
201650617,2016-01-22 00:00:00,1606,SIMPLE ASSAULT,17500 BLK WARWICK BLVD,-76.576412,37.1980977,C
201650628,2016-01-23 00:00:00,722,SIMPLE ASSAULT,13300 BLK PREAKNESS DR,-76.5145324,37.1155525,R
201650636,2016-01-23 00:00:00,1234,SIMPLE ASSAULT,300 BLK CIRCUIT LN,-76.534754,37.1420559,R
201650640,2016-01-23 00:00:00,1618,SIMPLE ASSAULT,15400 BLK WARWICK BLVD,-76.5518298,37.1485437,C
201650647,2016-01-24 00:00:00,248,SIMPLE ASSAULT,7400 BLK RIVER RD,-76.4509612,37.0120072,R
