REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650117,2016-01-04,1728,STOLEN PROPERTY OFFENSES,BUCHANAN DR / WINDSOR CASTLE DR,-76.5224291,37.1437521,R
201650127,2016-01-05,141,STOLEN PROPERTY OFFENSES,25TH ST / BUXTON AVE,-76.3979805,36.990482,R
201650145,2016-01-05,1723,STOLEN PROPERTY OFFENSES,16TH ST / TEEN PL,-76.4070783,36.9789839,R
201600165,2016-01-06,29,STOLEN PROPERTY OFFENSES,800 BLK 25TH ST,-76.4156773,36.9835973,R
201650243,2016-01-08,1514,STOLEN PROPERTY OFFENSES,700 BLK 31ST ST,-76.4207296,36.9863608,R
201650327,2016-01-11,2157,STOLEN PROPERTY OFFENSES,1100 BLK JEBS PL,-76.4038391,36.9802478,R
201600409,2016-01-12,1738,STOLEN PROPERTY OFFENSES,18TH ST / PETERSON PL,-76.5844411,37.1641396,R
201601866,2016-01-14,1525,STOLEN PROPERTY OFFENSES,4100 BLK NEWSOME DR,-76.4194535,36.9948512,R
201600593,2016-01-19,254,STOLEN PROPERTY OFFENSES,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201650643,2016-01-23,2106,STOLEN PROPERTY OFFENSES,1000 BLK 35TH ST,-76.4153692,36.9916715,P
201600803,2016-01-24,1956,STOLEN PROPERTY OFFENSES,2300 BLK JEFFERSON AVE,-76.4199088,36.9795191,R
201650658,2016-01-25,300,STOLEN PROPERTY OFFENSES,4100 BLK NEWSOME DR,-76.4194535,36.9948512,R
201650922,2016-02-03,910,STOLEN PROPERTY OFFENSES,3700 BLK HUNTINGTON AVE,-76.4331472,36.9863712,C
201651066,2016-02-08,1515,STOLEN PROPERTY OFFENSES,23RD ST / WICKHAM AVE,-76.412194,36.9833901,R
201651118,2016-02-10,2300,STOLEN PROPERTY OFFENSES,11000 BLK JEFFERSON AVE,-76.4622654,37.0551026,C
201602026,2016-02-23,1740,STOLEN PROPERTY OFFENSES,900 BLK SHORE DR,-76.4055288,36.9729894,R
201651480,2016-02-26,1124,STOLEN PROPERTY OFFENSES,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201651785,2016-03-09,1437,STOLEN PROPERTY OFFENSES,6000 BLK JEFFERSON AVE,-76.4406831,37.0144032,C
201602070,2016-03-10,1901,STOLEN PROPERTY OFFENSES,600 BLK 26TH ST,-76.4212178,36.9819126,C
201602403,2016-03-23,1045,STOLEN PROPERTY OFFENSES,200 BLK BUXTON AVE,-76.3963001,36.989508,R
201652145,2016-03-24,515,STOLEN PROPERTY OFFENSES,1000 BLK 24TH ST,-76.4110259,36.9846476,C
201652384,2016-03-31,2029,STOLEN PROPERTY OFFENSES,100 BLK MYTILENE DR,-76.4211017,37.018619,R
