REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600101,2016-01-04,1245,SUICIDE,100 BLK SYCAMORE AVE,-76.3940322,36.9885997,R
201650128,2016-01-05,242,SUICIDE,200 BLK 26TH ST,-76.4307272,36.9784021,C
201650136,2016-01-05,1022,SUICIDE,1000 BLK 26TH ST,-76.4118525,36.9859147,R
201650139,2016-01-05,1649,SUICIDE,800 BLK CONSTANCE DR,-76.4550579,37.083409,R
201600188,2016-01-06,1128,SUICIDE,10400 BLK JEFFERSON AVE,-76.4592931,37.0453367,C
201650189,2016-01-07,1400,SUICIDE,800 BLK DUSK CT,-76.4717125,37.0769019,R
201650274,2016-01-09,2220,SUICIDE,100 BLK JOHN ROLFE DR,-76.5293376,37.1313888,R
201650371,2016-01-13,2027,SUICIDE,100 BLK KERLIN RD,-76.4606517,37.0628886,R
201600447,2016-01-13,2310,SUICIDE,300 BLK HILLTOP DR,-76.5718739,37.1851068,R
201650442,2016-01-16,1421,SUICIDE,300 BLK 48TH ST,-76.4376306,36.9931856,R
201650517,2016-01-19,1306,SUICIDE,600 BLK WILLOW DR,-76.4583309,37.0457994,R
201650518,2016-01-19,1349,SUICIDE,600 BLK 32ND ST,-76.4238427,36.9859306,C
201600773,2016-01-23,1723,SUICIDE,12900 BLK GEORGIA CT,-76.5022494,37.1014008,R
201650757,2016-01-28,2110,SUICIDE,100 BLK HERITAGE WAY,-76.5195569,37.1192116,R
201650855,2016-01-31,2322,SUICIDE,700 BLK BLUECRAB RD,-76.4776721,37.0898671,C
201651188,2016-02-14,1439,SUICIDE,400 BLK COTTONWOOD ST,-76.525419,37.1590206,R
201651253,2016-02-17,807,SUICIDE,400 BLK COX LNDG,-76.549394,37.150901,R
201651350,2016-02-21,144,SUICIDE,100 BLK COMPTON PL,-76.5068909,37.0865936,R
201651377,2016-02-22,410,SUICIDE,500 BLK CATINA WAY,-76.526701,37.133994,R
201651380,2016-02-22,921,SUICIDE,0 BLK DEAN RAY CT,-76.4427812,37.013407,R
201651454,2016-02-25,655,SUICIDE,GATEWOOD RD / WARWICK BLVD,-76.4810553,37.0577262,R
201651504,2016-02-26,2323,SUICIDE,400 BLK MANOR RD,-76.5453941,37.1368522,C
201651569,2016-02-29,2300,SUICIDE,500 BLK WATERS EDGE DR,-76.4819915,37.08391,R
201651692,2016-03-05,2128,SUICIDE,700 BLK NORTH AVE,-76.4500206,37.0283297,C
201651837,2016-03-11,1258,SUICIDE,13500 BLK JEFFERSON AVE,-76.5470451,37.1730215,C
201652076,2016-03-20,1523,SUICIDE,1100 BLK MARSHALL PL,-76.4080858,36.9743312,R
201652103,2016-03-21,1941,SUICIDE,900 BLK FOREST LAKE CT,-76.4229516,37.0020955,R
201652142,2016-03-23,2323,SUICIDE,600 BLK CHELSEA PL,-76.5746041,37.1980278,R
201652177,2016-03-25,116,SUICIDE,600 BLK 9TH ST,-76.4120518,36.9712305,R
201602779,2016-04-04,2333,SUICIDE,17500 BLK WARWICK BLVD,-76.576412,37.1980977,C
201652571,2016-04-08,302,SUICIDE,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
201652812,2016-04-16,1032,SUICIDE,200 BLK N HUNT CLUB RUN,-76.569993,37.170193,R
201652940,2016-04-20,1520,SUICIDE,14800 BLK WARWICK BLVD,-76.541317,37.135346,R
201653017,2016-04-23,1029,SUICIDE,0 BLK SHIRLEY RD,-76.467511,37.0345976,R
201653094,2016-04-26,1242,SUICIDE,400 BLK COX LNDG,-76.549394,37.150901,R
201653146,2016-04-27,1656,SUICIDE,300 BLK HICKORY POINT BLVD,-76.5565493,37.1561694,C
201603450,2016-04-28,811,SUICIDE,EDGEWATER DR / KILN CREEK PKWY,-76.4826252,37.1256998,R
201653226,2016-04-30,1053,SUICIDE,500 BLK WOODALL CT,-76.5321499,37.1506132,R
201653229,2016-04-30,1518,SUICIDE,11900 BLK JEFFERSON AVE,-76.48382,37.0892377,C
201653250,2016-05-01,219,SUICIDE,500 BLK LEONARD LN,-76.4521835,37.0721989,R
201653280,2016-05-02,1130,SUICIDE,0 BLK BURNS DR,-76.458547,37.077297,R
201603755,2016-05-05,1516,SUICIDE,500 BLK PURLIEU DR,-76.4731117,37.078796,R
201653404,2016-05-05,2138,SUICIDE,100 BLK GULFSTREAM DR,-76.5011399,37.135002,M
201653506,2016-05-09,23,SUICIDE,300 BLK HILLTOP DR,-76.5718739,37.1851068,R
201653582,2016-05-11,2234,SUICIDE,100 BLK MARK TWAIN DR,-76.5251683,37.1109004,R
