REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600016,2016-01-01,1135,TAMPERING WITH AUTO,600 BLK ELLEN RD,-76.4346067,37.0047233,R
201650042,2016-01-02,913,TAMPERING WITH AUTO,900 BLK KENTWELL CT,-76.5146329,37.1567046,R
201650043,2016-01-02,1024,TAMPERING WITH AUTO,200 BLK RICHNECK RD,-76.5280122,37.148835,C
201650052,2016-01-02,1703,TAMPERING WITH AUTO,3600 BLK WOODBRIDGE DR,-76.5457084,37.1695247,R
201600061,2016-01-03,716,TAMPERING WITH AUTO,300 BLK BERNARD DR,-76.5239415,37.1089096,R
201600062,2016-01-03,742,TAMPERING WITH AUTO,7300 BLK CHESTNUT AVE,-76.4257155,37.0200952,R
201600066,2016-01-03,1027,TAMPERING WITH AUTO,100 BLK BRET HARTE DR,-76.5242195,37.1090147,R
201600088,2016-01-04,627,TAMPERING WITH AUTO,0 BLK HILLARD CIR,-76.507782,37.1024767,R
201600132,2016-01-05,820,TAMPERING WITH AUTO,200 BLK LYON DR,-76.459021,37.066196,R
201600180,2016-01-06,926,TAMPERING WITH AUTO,0 BLK CEDAR LN,-76.4766183,37.0410607,R
201600181,2016-01-06,952,TAMPERING WITH AUTO,0 BLK CEDAR LN,-76.4766183,37.0410607,R
201600208,2016-01-06,1845,TAMPERING WITH AUTO,0 BLK MUSEUM DR,-76.4880841,37.0551904,P
201600224,2016-01-07,944,TAMPERING WITH AUTO,200 BLK KINGSMAN DR,-76.5555513,37.1343412,R
201600232,2016-01-07,1127,TAMPERING WITH AUTO,0 BLK SAYBROOKE CT,-76.5006293,37.0859831,R
201600340,2016-01-10,1344,TAMPERING WITH AUTO,0 BLK GREAT OAK CIR,-76.4665909,37.078466,R
201600361,2016-01-11,908,TAMPERING WITH AUTO,300 BLK HILLTOP DR,-76.5718739,37.1851068,R
201600414,2016-01-12,2027,TAMPERING WITH AUTO,200 BLK N HUNT CLUB RUN,-76.569993,37.170193,R
201600453,2016-01-14,438,TAMPERING WITH AUTO,300 BLK GAYLOR LN,-76.5349763,37.1250983,C
201600454,2016-01-14,441,TAMPERING WITH AUTO,200 BLK SOUTHLAKE PL,-76.5212713,37.1015012,R
201650385,2016-01-14,516,TAMPERING WITH AUTO,200 BLK WINDY RIDGE LN,-76.5209725,37.1025248,R
201600469,2016-01-14,955,TAMPERING WITH AUTO,200 BLK SOUTHLAKE PL,-76.5212713,37.1015012,R
201600485,2016-01-14,1549,TAMPERING WITH AUTO,100 BLK SUMMERGLEN RDG,-76.5206843,37.1022588,R
201600498,2016-01-15,548,TAMPERING WITH AUTO,0 BLK SYLVIA LN,-76.5301447,37.1155711,R
201600500,2016-01-15,618,TAMPERING WITH AUTO,700 BLK NINEBARK CT,-76.5442961,37.1730635,R
201600518,2016-01-15,1043,TAMPERING WITH AUTO,700 BLK NINEBARK CT,-76.5442961,37.1730635,R
201600536,2016-01-16,19,TAMPERING WITH AUTO,0 BLK FLEMING CIR,-76.4981471,37.0681785,R
201600539,2016-01-16,953,TAMPERING WITH AUTO,700 BLK NINEBARK CT,-76.5442961,37.1730635,R
201600546,2016-01-16,1100,TAMPERING WITH AUTO,1900 BLK MUSKET CT,-76.4843389,37.1114871,R
201600541,2016-01-16,1116,TAMPERING WITH AUTO,1900 BLK MUSKET RD,-76.5731391,37.2127894,R
201600559,2016-01-17,834,TAMPERING WITH AUTO,600 BLK BRANDYWINE DR,-76.4875169,37.10834,R
201600566,2016-01-17,1412,TAMPERING WITH AUTO,900 BLK BIRCHWOOD CT,-76.5435623,37.1742635,R
201600569,2016-01-17,1453,TAMPERING WITH AUTO,900 BLK BIRCHWOOD CT,-76.5435623,37.1742635,R
201650506,2016-01-18,2056,TAMPERING WITH AUTO,1200 BLK 32ND ST,-76.4091327,36.991778,C
201600613,2016-01-19,1802,TAMPERING WITH AUTO,100 BLK WINDY TREE LN,-76.562512,37.154613,R
201600735,2016-01-22,631,TAMPERING WITH AUTO,100 BLK ALAN DR,-76.5284572,37.1273184,R
201600740,2016-01-22,913,TAMPERING WITH AUTO,100 BLK RUSTON DR,-76.52867,37.1254946,R
201600741,2016-01-22,928,TAMPERING WITH AUTO,100 BLK RUSTON DR,-76.52867,37.1254946,R
201650629,2016-01-23,740,TAMPERING WITH AUTO,1300 BLK GARDEN DR,-76.4002574,36.980442,R
201650648,2016-01-24,242,TAMPERING WITH AUTO,1900 BLK MUSKET RD,-76.5731391,37.2127894,R
201600778,2016-01-24,1002,TAMPERING WITH AUTO,300 BLK MARLBORO RD,-76.5355237,37.1073799,R
201600783,2016-01-24,1242,TAMPERING WITH AUTO,100 BLK TILLERSON DR,-76.5267169,37.1309207,R
201650666,2016-01-25,446,TAMPERING WITH AUTO,0 BLK ISLAND VIEW DR,-76.5385771,37.0921274,R
201600822,2016-01-25,536,TAMPERING WITH AUTO,0 BLK ISLAND VIEW DR,-76.5385771,37.0921274,R
201600823,2016-01-25,558,TAMPERING WITH AUTO,0 BLK BELMONT RD,-76.4633337,37.0486905,R
201600834,2016-01-25,1022,TAMPERING WITH AUTO,300 BLK MALDEN LN,-76.5362145,37.1057328,R
201600858,2016-01-26,603,TAMPERING WITH AUTO,400 BLK NELSON DR,-76.469266,37.046411,C
201600888,2016-01-27,435,TAMPERING WITH AUTO,700 BLK RIVER ROCK WAY,-76.519895,37.142763,R
201600889,2016-01-27,733,TAMPERING WITH AUTO,700 BLK JOUETT DR,-76.5211803,37.1493416,R
201601037,2016-01-31,1126,TAMPERING WITH AUTO,300 BLK 59TH ST,-76.4418932,37.0002782,R
201601099,2016-02-02,856,TAMPERING WITH AUTO,100 BLK NEW HAVEN CT,-76.561739,37.1542874,R
201601100,2016-02-02,900,TAMPERING WITH AUTO,300 BLK SEAGULL CT,-76.560688,37.1568172,R
201601152,2016-02-04,645,TAMPERING WITH AUTO,12700 BLK SANDPEBBLE CIR,-76.496138,37.0892256,R
201601224,2016-02-06,2013,TAMPERING WITH AUTO,0 BLK COLONIAL PL,-76.4729602,37.0480459,C
201651102,2016-02-10,250,TAMPERING WITH AUTO,1000 BLK HOLLYMEADE CIR,-76.5054534,37.1525414,R
201601302,2016-02-10,627,TAMPERING WITH AUTO,1200 BLK PALMERTON DR,-76.5069672,37.1511023,R
201601387,2016-02-13,225,TAMPERING WITH AUTO,900 BLK WHEELER DR,-76.5676339,37.1317402,R
201601395,2016-02-13,1100,TAMPERING WITH AUTO,300 BLK RIVERS RIDGE CIR,-76.564543,37.165275,R
201601398,2016-02-13,1306,TAMPERING WITH AUTO,800 BLK CATALINA DR,-76.5587799,37.1247833,R
201601404,2016-02-13,1657,TAMPERING WITH AUTO,900 BLK MOYER RD,-76.5667379,37.1303769,R
201601418,2016-02-14,1144,TAMPERING WITH AUTO,100 BLK HIDDEN LAKE PL,-76.5186683,37.1006629,R
