REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600006,2016-01-01,242,THEFT FROM BUILDING,500 BLK RICHNECK RD,-76.521513,37.165582,R
201600063,2016-01-03,838,THEFT FROM BUILDING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
201600134,2016-01-05,848,THEFT FROM BUILDING,11800 BLK JEFFERSON AVE,-76.4812475,37.0858157,C
201600143,2016-01-05,1214,THEFT FROM BUILDING,15200 BLK WARWICK BLVD,-76.5470147,37.1425791,P
201600206,2016-01-06,1741,THEFT FROM BUILDING,700 BLK CITY CENTER BLVD,-76.4805738,37.088971,C
201600242,2016-01-07,1512,THEFT FROM BUILDING,12500 BLK WARWICK BLVD,-76.4941434,37.0762992,C
201600252,2016-01-07,1929,THEFT FROM BUILDING,100 BLK HARWOOD DR,-76.5898139,37.17571,M
201650313,2016-01-11,1024,THEFT FROM BUILDING,300 BLK MARLBORO RD,-76.5355237,37.1073799,R
201600402,2016-01-12,1348,THEFT FROM BUILDING,4100 BLK WILLIAM STYRON SQ N,-76.4884073,37.0840707,R
201600415,2016-01-12,2045,THEFT FROM BUILDING,15600 BLK WARWICK BLVD,-76.556477,37.1607465,C
201600432,2016-01-13,1307,THEFT FROM BUILDING,12900 BLK JEFFERSON AVE,-76.528324,37.1497,C
201600575,2016-01-18,31,THEFT FROM BUILDING,1000 BLK OMNI BLVD,-76.4633177,37.0892762,C
201600587,2016-01-18,1654,THEFT FROM BUILDING,12200 BLK JEFFERSON AVE,-76.4962531,37.1094588,C
201650542,2016-01-20,1000,THEFT FROM BUILDING,200 BLK BEECHMONT DR,-76.559999,37.1353291,R
201600728,2016-01-21,1724,THEFT FROM BUILDING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M
201600731,2016-01-22,23,THEFT FROM BUILDING,12200 BLK JEFFERSON AVE,-76.4962531,37.1094588,C
201600909,2016-01-27,2028,THEFT FROM BUILDING,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C
201600926,2016-01-28,1400,THEFT FROM BUILDING,100 BLK POCAHANTAS DR,-76.5300414,37.130043,R
201600972,2016-01-29,1716,THEFT FROM BUILDING,14300 BLK WARWICK BLVD,-76.5349533,37.1275595,C
201601064,2016-02-01,1110,THEFT FROM BUILDING,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201650888,2016-02-01,2326,THEFT FROM BUILDING,0 BLK WELLESLEY DR,-76.499258,37.07693,R
201650890,2016-02-02,144,THEFT FROM BUILDING,10400 BLK WARWICK BLVD,-76.462276,37.033855,C
