REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201651378,2016-02-22,738,THEFT FROM COIN OPERATED MACHINE,400 BLK THORNCLIFF DR,-76.5513195,37.1511864,R
201603087,2016-04-15,812,THEFT FROM COIN OPERATED MACHINE,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201603091,2016-04-15,1110,THEFT FROM COIN OPERATED MACHINE,11900 BLK JEFFERSON AVE,-76.48382,37.0892377,C
201653957,2016-05-24,734,THEFT FROM COIN OPERATED MACHINE,0 BLK HANOVER WAY,-76.52589,37.144533,O
201604484,2016-05-31,1550,THEFT FROM COIN OPERATED MACHINE,100 BLK AMERICANA DR,-76.4742673,37.075965,R
201609972,2016-11-28,826,THEFT FROM COIN OPERATED MACHINE,5800 BLK WARWICK BLVD,-76.4393123,37.0007212,C
201730236,2017-08-18,853,THEFT FROM COIN OPERATED MACHINE,5900 BLK JEFFERSON AVE,-76.4377798,37.0094596,C
201730725,2017-09-01,834,THEFT FROM COIN OPERATED MACHINE,5900 BLK JEFFERSON AVE,-76.4377798,37.0094596,C
201853327,2018-05-03,1009,THEFT FROM COIN OPERATED MACHINE,2100 BLK CRISTON DR,-76.491579,37.105946,R
201855001,2018-06-24,2009,THEFT FROM COIN OPERATED MACHINE,800 BLK 36TH ST,-76.4196777,36.9906166,R
