REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600011,2016-01-01,853,THEFT FROM VEHICLE,600 BLK SEA PINE LN,-76.5494324,37.1724234,R
201650015,2016-01-01,1046,THEFT FROM VEHICLE,0 BLK PENN CIR,-76.4934629,37.077525,R
201600025,2016-01-01,1502,THEFT FROM VEHICLE,200 BLK HIDENWOOD DR,-76.5028612,37.0746278,R
201600035,2016-01-01,2247,THEFT FROM VEHICLE,0 BLK SHIPS LNDG,-76.473979,37.0824159,R
201600036,2016-01-01,2303,THEFT FROM VEHICLE,0 BLK SHIPS LNDG,-76.473979,37.0824159,R
201600040,2016-01-02,951,THEFT FROM VEHICLE,400 BLK WOODBRIDGE DR,-76.5442898,37.1681621,R
201600045,2016-01-02,1248,THEFT FROM VEHICLE,1500 BLK ROLFE PL,-76.4102189,36.9769229,R
201600048,2016-01-02,1444,THEFT FROM VEHICLE,0 BLK TRAVERSE RD,-76.4580576,37.0947029,C
201600055,2016-01-02,2116,THEFT FROM VEHICLE,11700 BLK JEFFERSON AVE,-76.4747446,37.0755734,C
201600056,2016-01-02,2134,THEFT FROM VEHICLE,11800 BLK JEFFERSON AVE,-76.4812475,37.0858157,C
201600061,2016-01-03,716,THEFT FROM VEHICLE,300 BLK BERNARD DR,-76.5239415,37.1089096,R
201650075,2016-01-03,1000,THEFT FROM VEHICLE,5700 BLK SURRY AVE,-76.4318589,37.0013034,R
201600065,2016-01-03,1027,THEFT FROM VEHICLE,1300 BLK WICKHAM AVE,-76.4074726,36.9763051,R
201600069,2016-01-03,1239,THEFT FROM VEHICLE,1000 BLK 74TH ST,-76.4310971,37.0170819,R
201600071,2016-01-03,1343,THEFT FROM VEHICLE,500 BLK HARPERSVILLE RD,-76.459168,37.064171,R
201600075,2016-01-03,1615,THEFT FROM VEHICLE,100 BLK MENCHVILLE RD,-76.5236793,37.1079854,R
201600076,2016-01-03,1628,THEFT FROM VEHICLE,6200 BLK ROANOKE AVE,-76.4240964,37.0105339,R
201600079,2016-01-03,2008,THEFT FROM VEHICLE,100 BLK MENCHVILLE RD,-76.5236793,37.1079854,R
201600080,2016-01-03,2018,THEFT FROM VEHICLE,0 BLK HERITAGE WAY,-76.5192903,37.1190301,R
201600085,2016-01-04,15,THEFT FROM VEHICLE,12400 BLK WARWICK BLVD,-76.4922018,37.0681471,C
201650095,2016-01-04,225,THEFT FROM VEHICLE,300 BLK DOMINION DR,-76.5039745,37.1012112,R
201600086,2016-01-04,225,THEFT FROM VEHICLE,300 BLK DOMINION DR,-76.5039745,37.1012112,R
201600089,2016-01-04,632,THEFT FROM VEHICLE,400 BLK ASHWAY CV,-76.5024661,37.0971001,R
201600090,2016-01-04,725,THEFT FROM VEHICLE,200 BLK BELRAY DR,-76.4556571,37.07949,R
201600091,2016-01-04,744,THEFT FROM VEHICLE,400 BLK ASHWAY CV,-76.5024661,37.0971001,R
201650099,2016-01-04,1046,THEFT FROM VEHICLE,600 BLK J CLYDE MORRIS BLVD,-76.4736857,37.0735663,C
201600122,2016-01-04,1716,THEFT FROM VEHICLE,0 BLK TILLERSON DR,-76.5254269,37.1288349,R
201600132,2016-01-05,820,THEFT FROM VEHICLE,200 BLK LYON DR,-76.459021,37.066196,R
201600156,2016-01-05,1604,THEFT FROM VEHICLE,300 BLK FRANCISCO WAY,-76.4600371,37.0390983,R
