REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600013,2016-01-01,1056,THEFT PARTS FROM VEHICLE,500 BLK JEAN CT,-76.5472652,37.1525324,R
201600028,2016-01-01,1608,THEFT PARTS FROM VEHICLE,400 BLK EUREKA LOOP,-76.4600532,37.039111,R
201600030,2016-01-01,1837,THEFT PARTS FROM VEHICLE,400 BLK CROSSINGS CT,-76.5281225,37.1340156,R
201600042,2016-01-02,1109,THEFT PARTS FROM VEHICLE,300 BLK BOULDER DR,-76.5576401,37.1605218,R
201600067,2016-01-03,1117,THEFT PARTS FROM VEHICLE,7800 BLK ROANOKE AVE,-76.4305709,37.0209978,R
201600075,2016-01-03,1615,THEFT PARTS FROM VEHICLE,100 BLK MENCHVILLE RD,-76.5236793,37.1079854,R
201600138,2016-01-05,1019,THEFT PARTS FROM VEHICLE,33RD ST / MARSHALL AVE,-76.4188594,36.9887108,R
201600295,2016-01-08,1942,THEFT PARTS FROM VEHICLE,2300 BLK RESERVE WAY,-76.5059961,37.1073248,R
201600343,2016-01-10,1553,THEFT PARTS FROM VEHICLE,500 BLK LOGAN PL,-76.4698853,37.0473161,R
201650281,2016-01-11,600,THEFT PARTS FROM VEHICLE,1300 BLK ROANOKE AVE,-76.402707,36.9779539,R
201600375,2016-01-11,1738,THEFT PARTS FROM VEHICLE,800 BLK CHAPIN WOOD DR,-76.544838,37.172345,R
201600431,2016-01-13,1217,THEFT PARTS FROM VEHICLE,1000 BLK 39TH ST,-76.4170031,36.9942291,C
201600433,2016-01-13,1346,THEFT PARTS FROM VEHICLE,500 BLK SEVERN RD,-76.5073012,37.1169755,C
201600442,2016-01-13,1552,THEFT PARTS FROM VEHICLE,1000 BLK 39TH ST,-76.4170031,36.9942291,C
201600545,2016-01-16,1305,THEFT PARTS FROM VEHICLE,100 BLK WENDY CT,-76.4507158,37.0626118,R
201600570,2016-01-17,1657,THEFT PARTS FROM VEHICLE,12900 BLK HUSSEY CT,-76.5010254,37.1003869,R
201600596,2016-01-19,907,THEFT PARTS FROM VEHICLE,600 BLK DRESDEN DR,-76.4632065,37.0552779,C
201600612,2016-01-19,1800,THEFT PARTS FROM VEHICLE,4100 BLK WASHINGTON AVE,-76.4357096,36.987355,M
201600616,2016-01-19,1828,THEFT PARTS FROM VEHICLE,200 BLK SWIFT ST,-76.5305755,37.1289009,R
201600658,2016-01-20,1736,THEFT PARTS FROM VEHICLE,1200 BLK MOYER RD,-76.5729379,37.135872,R
201600672,2016-01-20,2111,THEFT PARTS FROM VEHICLE,0 BLK TRAVERSE RD,-76.4580576,37.0947029,C
