REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600488,2016-01-14,1815,TOBACCO VIOLATION,0 BLK LUCAS CREEK RD,-76.5472607,37.115222,R
201651002,2016-02-06,106,TOBACCO VIOLATION,400 BLK CATINA WAY,-76.5272024,37.1343761,R
201602139,2016-03-13,515,TOBACCO VIOLATION,10000 BLK JEFFERSON AVE,-76.4559738,37.0388159,C
201651969,2016-03-16,1618,TOBACCO VIOLATION,800 BLK 36TH ST,-76.4196777,36.9906166,R
201603327,2016-04-22,1937,TOBACCO VIOLATION,HIDENWOOD DR / WARWICK BLVD,-76.4947978,37.0759916,C
201653598,2016-05-12,1629,TOBACCO VIOLATION,13300 BLK DE WALD CIR,-76.5166689,37.1164267,R
201655239,2016-07-03,1707,TOBACCO VIOLATION,200 BLK DON EVE CT,-76.536092,37.124203,C
201655504,2016-07-13,400,TOBACCO VIOLATION,0 BLK EMRICK AVE,-76.477327,37.0663629,R
201605875,2016-07-20,856,TOBACCO VIOLATION,CLOVERLEAF LN / LOUISE DR,-76.4536734,37.090289,C
201655919,2016-07-28,1916,TOBACCO VIOLATION,500 BLK BELLWOOD RD,-76.4550279,37.0302713,R
201606363,2016-08-04,1757,TOBACCO VIOLATION,3100 BLK ROANOKE AVE,-76.4112586,36.9902671,R
201607339,2016-09-01,2315,TOBACCO VIOLATION,900 BLK FOREST LAKE CT,-76.4229516,37.0020955,R
201607338,2016-09-02,446,TOBACCO VIOLATION,0 BLK WEDGEWOOD DR N,-76.4410459,37.0926167,R
201657893,2016-10-02,1400,TOBACCO VIOLATION,100 BLK CLIPPER DR,-76.5468741,37.1140243,R
201608667,2016-10-14,2135,TOBACCO VIOLATION,300 BLK BEECHMONT DR,-76.5555848,37.1357354,R
201659132,2016-11-13,1653,TOBACCO VIOLATION,HAMPTON AVE / OAK AVE,-76.4020777,36.9857979,R
201659592,2016-11-29,2030,TOBACCO VIOLATION,100 BLK HAWTHORNE DR,-76.5249365,37.1132567,R
201610647,2016-12-20,1430,TOBACCO VIOLATION,400 BLK STALLINGS CT,-76.547499,37.153345,R
201660204,2016-12-20,2336,TOBACCO VIOLATION,300 BLK DENBIGH BLVD,-76.5467932,37.1242892,R
201702203,2017-03-16,2058,TOBACCO VIOLATION,17TH ST / CHESTNUT AVE,-76.4027945,36.9815095,R
201702204,2017-03-16,2153,TOBACCO VIOLATION,18TH ST / CHESTNUT AVE,-76.403175,36.9821313,R
201753950,2017-05-21,2043,TOBACCO VIOLATION,800 BLK MOYER RD,-76.5631809,37.1258014,R
201755012,2017-06-25,1502,TOBACCO VIOLATION,400 BLK TURLINGTON RD,-76.4975033,37.0832609,C
201755760,2017-07-21,1807,TOBACCO VIOLATION,COLONY RD / GARDEN STATE DR,-76.5158811,37.1152819,R
201705684,2017-07-26,1954,TOBACCO VIOLATION,13300 BLK DE WALD CIR,-76.5166689,37.1164267,R
201705721,2017-07-27,1719,TOBACCO VIOLATION,33RD ST / ORCUTT AVE,-76.4146012,36.9904002,P
201705723,2017-07-27,1805,TOBACCO VIOLATION,3400 BLK ORCUTT AVE,-76.4150111,36.991046,P
201730955,2017-09-10,1328,TOBACCO VIOLATION,1100 BLK 33RD ST,-76.4122075,36.9913475,R
201850498,2018-01-19,1958,TOBACCO VIOLATION,ALMOND DR / DRESDEN DR,-76.4514464,37.0528241,R
201851214,2018-02-13,1005,TOBACCO VIOLATION,13400 BLK WOODSIDE LN,-76.5268772,37.1714068,P
201853450,2018-05-07,2053,TOBACCO VIOLATION,15500 BLK WARWICK BLVD,-76.556432,37.1588069,C
201853510,2018-05-09,2012,TOBACCO VIOLATION,PINELAND CIR / RAINBOW CT,-76.5456289,37.151451,R
201853763,2018-05-18,1838,TOBACCO VIOLATION,14800 BLK WARWICK BLVD,-76.541317,37.135346,R
201856495,2018-08-11,2100,TOBACCO VIOLATION,200 BLK TYNER DR,-76.5249491,37.1556001,R
201858770,2018-10-25,2030,TOBACCO VIOLATION,700 BLK BRIGSTOCK CIR,-76.4703015,37.08204,R
