REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201658390,2016-10-18,1936,TRAFFIC FATALITY,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
201659496,2016-11-26,1515,TRAFFIC FATALITY,HARPERSVILLE RD / LOUISE DR,-76.4512632,37.0894252,R
201750479,2017-01-19,22,TRAFFIC FATALITY,12800 BLK JEFFERSON AVE,-76.5200872,37.1391605,C
201750673,2017-01-25,1512,TRAFFIC FATALITY,HARPERSVILLE RD / WOODS RD,-76.4616225,37.0622656,R
201753566,2017-05-08,1259,TRAFFIC FATALITY,13TH ST / JEFFERSON AVE,-76.4159275,36.973098,M
201754566,2017-06-10,2134,TRAFFIC FATALITY,JEFFERSON AVE / OYSTER POINT RD,-76.494052,37.1049576,C
201728092,2017-07-18,1353,TRAFFIC FATALITY,17600 BLK WARWICK BLVD,-76.5793849,37.2019098,R
201756769,2017-08-26,1014,TRAFFIC FATALITY,700 BLK J CLYDE MORRIS BLVD,-76.4667135,37.0765421,C
201757077,2017-09-05,1545,TRAFFIC FATALITY,51ST ST / HUNTINGTON AVE,-76.4388354,36.9950902,R
201758965,2017-11-09,1731,TRAFFIC FATALITY,14300 BLK WARWICK BLVD,-76.5349533,37.1275595,C
201732880,2017-11-11,926,TRAFFIC FATALITY,J CLYDE MORRIS BLVD / TRAVERSE RD,-76.4591424,37.0946991,C
201733399,2017-11-29,2037,TRAFFIC FATALITY,10700 BLK JEFFERSON AVE,-76.4602602,37.0502582,C
201759485,2017-11-29,2212,TRAFFIC FATALITY,HARPERSVILLE RD / SAUNDERS RD,-76.4501009,37.0952132,R
201851107,2018-02-09,2210,TRAFFIC FATALITY,JEFFERSON AVE / TURNBERRY BLVD,-76.5171591,37.1350248,C
201851545,2018-02-24,1838,TRAFFIC FATALITY,1100 BLK OLD DENBIGH BLVD,-76.5066007,37.1485085,R
201851848,2018-03-10,340,TRAFFIC FATALITY,6000 BLK JEFFERSON AVE,-76.4406831,37.0144032,C
201852333,2018-03-28,2301,TRAFFIC FATALITY,CAMPBELL RD / WARWICK BLVD,-76.5313083,37.1247789,C
201852942,2018-04-20,130,TRAFFIC FATALITY,12500 BLK JEFFERSON AVE,-76.5100863,37.1276496,M
201853984,2018-05-24,2222,TRAFFIC FATALITY,25TH ST / BUXTON AVE,-76.3979805,36.990482,R
201854035,2018-05-26,2244,TRAFFIC FATALITY,CITY CENTER BLVD / WARWICK BLVD,-76.5002234,37.0874733,R
201854420,2018-06-13,2300,TRAFFIC FATALITY,JEFFERSON AVE / MERCURY BLVD,-76.4446248,37.0196757,C
201856244,2018-08-03,2033,TRAFFIC FATALITY,DENBIGH BLVD / PATRICK HENRY DR,-76.5174658,37.1411781,O
201856263,2018-08-04,1007,TRAFFIC FATALITY,CITY CENTER BLVD / NAT TURNER BLVD,-76.4882299,37.0863992,R
201857692,2018-09-22,0,TRAFFIC FATALITY,100 BLK WESTOVER RD,-76.4642843,37.0355688,C
201859399,2018-11-14,136,TRAFFIC FATALITY,13000 BLK WARWICK BLVD,-76.5119247,37.1047618,C
201860204,2018-12-07,2045,TRAFFIC FATALITY,39TH ST / MARSHALL AVE,-76.4212573,36.9925872,C
201860736,2018-12-23,1856,TRAFFIC FATALITY,BUCHANAN DR / JEFFERSON AVE,-76.523727,37.1431022,C
