REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650570,2016-01-21,403,TRESPASSING,200 BLK MONROE AVE,-76.525936,37.1488438,R
201651051,2016-02-08,715,TRESPASSING,300 BLK CHATHAM DR,-76.5119698,37.1243049,C
201604868,2016-02-13,1600,TRESPASSING,500 BLK ONANCOCK TRL,-76.506895,37.1168597,C
201601567,2016-02-19,1719,TRESPASSING,500 BLK WOODALL CT,-76.5321499,37.1506132,R
201651594,2016-03-01,1726,TRESPASSING,800 BLK 36TH ST,-76.4196777,36.9906166,R
201651764,2016-03-08,1714,TRESPASSING,600 BLK NEWMARKET DR N,-76.4417094,37.021798,C
201651764,2016-03-08,1714,TRESPASSING,600 BLK NEWMARKET DR N,-76.4417094,37.021798,C
201651969,2016-03-16,1618,TRESPASSING,800 BLK 36TH ST,-76.4196777,36.9906166,R
201602276,2016-03-17,2034,TRESPASSING,5000 BLK MERCURY BLVD,-76.4415084,37.0214429,C
201652180,2016-03-25,555,TRESPASSING,0 BLK BERNARDINE DR,-76.5123566,37.1444643,O
201602625,2016-03-30,1901,TRESPASSING,300 BLK HILLTOP DR,-76.5718739,37.1851068,R
201701433,2016-04-01,1400,TRESPASSING,1300 BLK 18TH ST,-76.400469,36.9832079,R
201652514,2016-04-05,1945,TRESPASSING,300 BLK 52ND ST,-76.4392197,36.9957504,R
201652531,2016-04-06,1513,TRESPASSING,200 BLK TYNER DR,-76.5249491,37.1556001,R
201652584,2016-04-08,1744,TRESPASSING,2300 BLK JEFFERSON AVE,-76.4199088,36.9795191,R
201652621,2016-04-09,2102,TRESPASSING,1200 BLK 25TH ST,-76.4063444,36.9873055,R
201603147,2016-04-17,2212,TRESPASSING,800 BLK LUCAS CREEK RD,-76.5495772,37.1312258,R
201603156,2016-04-18,1037,TRESPASSING,9700 BLK JEFFERSON AVE,-76.4505536,37.0291733,C
201603223,2016-04-20,340,TRESPASSING,3600 BLK WASHINGTON AVE,-76.4344579,36.9851225,C
201603333,2016-04-23,113,TRESPASSING,200 BLK RIVER RD,-76.4619459,37.0278355,R
