REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201601184,2016-02-05,1119,TRUANCY - REGULAR PATROL,14400 BLK OLD COURTHOUSE WAY,-76.5407758,37.1293442,C
201601185,2016-02-05,1120,TRUANCY - REGULAR PATROL,14400 BLK OLD COURTHOUSE WAY,-76.5407758,37.1293442,C
201651084,2016-02-09,1030,TRUANCY - REGULAR PATROL,300 BLK HIDENWOOD DR,-76.498234,37.07515,R
201602015,2016-03-09,856,TRUANCY - REGULAR PATROL,HIDDEN LAKE PL / SEASONS TRL,-76.5194743,37.1020665,R
201602016,2016-03-09,856,TRUANCY - REGULAR PATROL,SEASONS TRL,-76.5194743,37.1020665,R
201602017,2016-03-09,856,TRUANCY - REGULAR PATROL,SEASONS TRL,-76.5194743,37.1020665,R
201602236,2016-03-16,1436,TRUANCY - REGULAR PATROL,13200 BLK SOJOURNER CT,-76.5143422,37.1134123,R
201602237,2016-03-16,1516,TRUANCY - REGULAR PATROL,13200 BLK AQUEDUCT DR,-76.5170062,37.1154057,R
201602239,2016-03-16,1522,TRUANCY - REGULAR PATROL,100 BLK RIVERVIEW PKWY,-76.5312611,37.0839865,P
201602260,2016-03-17,931,TRUANCY - REGULAR PATROL,STAFFORD DR / WARWICK BLVD,-77.4083086,38.4220687,NZ
201603414,2016-04-26,932,TRUANCY - REGULAR PATROL,200 BLK MENCHVILLE RD,-76.527128,37.1036642,R
201654195,2016-05-31,909,TRUANCY - REGULAR PATROL,400 BLK TRUMBLE LN,-76.5310215,37.1724311,R
201657613,2016-09-23,846,TRUANCY - REGULAR PATROL,OLD COURTHOUSE WAY / WARWICK BLVD,-76.5423848,37.1325868,C
201657944,2016-10-04,1000,TRUANCY - REGULAR PATROL,800 BLK 31ST ST,-76.4180298,36.987434,R
201657973,2016-10-05,1057,TRUANCY - REGULAR PATROL,600 BLK RIDLEY CIR,-76.415361,36.974885,R
201659181,2016-11-15,1040,TRUANCY - REGULAR PATROL,0 BLK SWAMP GATE RD,-76.5351389,37.0899943,R
201659210,2016-11-16,859,TRUANCY - REGULAR PATROL,#Error,-76.4730122,37.0870821,C
201610342,2016-12-09,1207,TRUANCY - REGULAR PATROL,3700 BLK SHERWOOD PL,-76.527109,37.1229299,R
201751528,2017-02-24,1347,TRUANCY - REGULAR PATROL,300 BLK DENBIGH BLVD,-76.5467932,37.1242892,R
201751677,2017-03-01,756,TRUANCY - REGULAR PATROL,200 BLK OLD DOMINION CIR,-76.5441054,37.1654878,R
201701947,2017-03-08,839,TRUANCY - REGULAR PATROL,13400 BLK WOODSIDE LN,-76.5268772,37.1714068,P
201702481,2017-03-24,1300,TRUANCY - REGULAR PATROL,800 BLK GALAHAD DR,-76.5176488,37.1522921,R
201703078,2017-04-17,1300,TRUANCY - REGULAR PATROL,400 BLK TARA CT,-76.5432645,37.1373763,R
201703881,2017-05-15,847,TRUANCY - REGULAR PATROL,MERRY OAKS DR / WARWICK BLVD,-76.5570039,37.1605332,C
201704066,2017-05-19,910,TRUANCY - REGULAR PATROL,400 BLK DENBIGH BLVD,-76.5370096,37.1291369,C
201758458,2017-10-23,1046,TRUANCY - REGULAR PATROL,7300 BLK CHESTNUT AVE,-76.4257155,37.0200952,R
201732967,2017-11-15,1110,TRUANCY - REGULAR PATROL,0 BLK RIVERLANDS DR,-76.4393035,37.0160727,R
201732969,2017-11-15,1123,TRUANCY - REGULAR PATROL,5800 BLK MARSHALL AVE,-76.4279551,37.0067468,P
201733039,2017-11-17,1254,TRUANCY - REGULAR PATROL,100 BLK MONARCH DR,-76.5273944,37.0964047,R
201733332,2017-11-28,952,TRUANCY - REGULAR PATROL,LINBROOK DR / OLIN DR,-76.5372346,37.116684,R
201733357,2017-11-29,958,TRUANCY - REGULAR PATROL,13200 BLK AQUEDUCT DR,-76.5170062,37.1154057,R
201733517,2017-12-04,1453,TRUANCY - REGULAR PATROL,700 BLK 35TH ST,-76.422288,36.9889354,R
201733535,2017-12-05,905,TRUANCY - REGULAR PATROL,DELOICE CRES / RUSTON DR,-76.52868,37.1254909,R
201733652,2017-12-05,1100,TRUANCY - REGULAR PATROL,TABBS LN / WARWICK BLVD,-76.5314621,37.124656,C
201733654,2017-12-07,1225,TRUANCY - REGULAR PATROL,13200 BLK AQUEDUCT DR,-76.5170062,37.1154057,R
201759811,2017-12-11,1049,TRUANCY - REGULAR PATROL,19TH ST / SYCAMORE AVE,-76.3940165,36.9885879,R
201733797,2017-12-13,1130,TRUANCY - REGULAR PATROL,CRUTCHFIELD DR / JENNESS LN,-76.525227,37.1243119,R
201850023,2018-01-02,931,TRUANCY - REGULAR PATROL,700 BLK WATERFRONT CIR,-76.407612,36.970766,R
201820032,2018-01-02,1326,TRUANCY - REGULAR PATROL,700 BLK WATERFRONT CIR,-76.407612,36.970766,R
201820035,2018-01-02,1539,TRUANCY - REGULAR PATROL,700 BLK WATERFRONT CIR,-76.407612,36.970766,R
201820049,2018-01-03,757,TRUANCY - REGULAR PATROL,700 BLK WATERFRONT CIR,-76.407612,36.970766,R
201850271,2018-01-12,850,TRUANCY - REGULAR PATROL,900 BLK 19TH ST,-76.4089864,36.9798246,R
201820425,2018-01-16,1034,TRUANCY - REGULAR PATROL,1100 BLK 26TH ST,-76.4094673,36.986869,R
201820438,2018-01-16,1516,TRUANCY - REGULAR PATROL,1100 BLK 26TH ST,-76.4094673,36.986869,R
201850853,2018-02-01,850,TRUANCY - REGULAR PATROL,0 BLK MENCHVILLE RD,-76.526468,37.1017394,R
201820922,2018-02-02,1021,TRUANCY - REGULAR PATROL,100 BLK HERITAGE WAY,-76.5195569,37.1192116,R
201820919,2018-02-02,1300,TRUANCY - REGULAR PATROL,CATINA WAY / CRESCENT WAY,-76.5264349,37.133403,R
