REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201600077,2016-01-03,1731,UNAUTHORIZED USE OF VEHICLE,12900 BLK JEFFERSON AVE,-76.528324,37.1497,C
201600136,2016-01-05,931,UNAUTHORIZED USE OF VEHICLE,500 BLK SOUTH AVE,-76.4511683,37.0249403,R
201600292,2016-01-08,1811,UNAUTHORIZED USE OF VEHICLE,1100 BLK 17TH ST,-76.405235,36.9811174,R
201600385,2016-01-12,948,UNAUTHORIZED USE OF VEHICLE,100 BLK ANNETTE CT,-76.4558306,37.0904252,R
201600493,2016-01-14,2219,UNAUTHORIZED USE OF VEHICLE,200 BLK 73RD ST,-76.4506071,37.0113072,R
201600537,2016-01-16,22,UNAUTHORIZED USE OF VEHICLE,2400 BLK MADISON AVE,-76.4180111,36.9818927,R
201600551,2016-01-16,1547,UNAUTHORIZED USE OF VEHICLE,9700 BLK JEFFERSON AVE,-76.4505536,37.0291733,C
201650448,2016-01-16,1806,UNAUTHORIZED USE OF VEHICLE,9800 BLK JEFFERSON AVE,-76.4511652,37.0301715,C
201600565,2016-01-17,1346,UNAUTHORIZED USE OF VEHICLE,500 BLK DIPLOMAT CT,-76.5319835,37.1510712,R
201600952,2016-01-29,1217,UNAUTHORIZED USE OF VEHICLE,900 BLK BLAND BLVD,-76.5028069,37.1301518,M
201600974,2016-01-29,1759,UNAUTHORIZED USE OF VEHICLE,500 BLK GENNEYS WAY,-76.5203147,37.1181422,R
201650793,2016-01-30,157,UNAUTHORIZED USE OF VEHICLE,1100 BLK 29TH ST,-76.4106244,36.9887944,R
201650827,2016-01-31,336,UNAUTHORIZED USE OF VEHICLE,500 BLK ADAMS DR,-76.4582324,37.0550879,R
201601199,2016-02-05,1805,UNAUTHORIZED USE OF VEHICLE,100 BLK DELMAR LN,-76.5264358,37.1251497,R
201601420,2016-02-14,1253,UNAUTHORIZED USE OF VEHICLE,15000 BLK WARWICK BLVD,-76.5458415,37.137912,C
201651202,2016-02-15,107,UNAUTHORIZED USE OF VEHICLE,3900 BLK HORSE RUN GLN,-76.5246977,37.122123,R
201601499,2016-02-16,2339,UNAUTHORIZED USE OF VEHICLE,0 BLK REYANO RD,-76.560089,37.165449,R
201601523,2016-02-18,20,UNAUTHORIZED USE OF VEHICLE,600 BLK ELLEN RD,-76.4346067,37.0047233,R
201651400,2016-02-23,59,UNAUTHORIZED USE OF VEHICLE,600 BLK AYLESBURY DR,-76.5156251,37.1632974,R
201602092,2016-03-11,1141,UNAUTHORIZED USE OF VEHICLE,100 BLK RADCLIFF LN,-76.5036251,37.103433,R
201602099,2016-03-11,1551,UNAUTHORIZED USE OF VEHICLE,1100 BLK 41ST ST,-76.415286,36.9964712,R
201651919,2016-03-15,653,UNAUTHORIZED USE OF VEHICLE,500 BLK KRISTY CT,-76.5110142,37.1074156,R
201602198,2016-03-15,1059,UNAUTHORIZED USE OF VEHICLE,1600 BLK OAK AVE,-76.3996818,36.9819332,R
