REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201653196,2016-04-29,1004,VEH RECOVERY(OUT OF JURIS),0 BLK WOODHAVEN RD,-76.5511517,37.154226,R
201653465,2016-05-07,1927,VEH RECOVERY(OUT OF JURIS),1600 BLK PETERSON PL,-76.398927,36.9828026,R
201604117,2016-05-18,2254,VEH RECOVERY(OUT OF JURIS),600 BLK JEFFERSON AVE,-76.411085,36.967453,P
201653848,2016-05-20,1827,VEH RECOVERY(OUT OF JURIS),1100 BLK GARDEN DR,-76.4020923,36.9779506,R
201653891,2016-05-21,2337,VEH RECOVERY(OUT OF JURIS),15500 BLK WARWICK BLVD,-76.556432,37.1588069,C
201604293,2016-05-24,1745,VEH RECOVERY(OUT OF JURIS),0 BLK SATINWOOD LN,-76.528487,37.1191309,R
201604301,2016-05-25,8,VEH RECOVERY(OUT OF JURIS),900 BLK LASSITER DR,-76.4108398,36.9735423,R
201653999,2016-05-25,1544,VEH RECOVERY(OUT OF JURIS),16TH ST / ROLFE PL,-76.4108724,36.9774726,R
201654004,2016-05-25,1718,VEH RECOVERY(OUT OF JURIS),16TH ST / IVY AVE,-76.414962,36.9758449,P
201604540,2016-06-01,1445,VEH RECOVERY(OUT OF JURIS),12700 BLK SANDPEBBLE CIR,-76.496138,37.0892256,R
201604762,2016-06-10,1301,VEH RECOVERY(OUT OF JURIS),500 BLK NORTH AVE,-76.4520721,37.026445,R
201654567,2016-06-12,1618,VEH RECOVERY(OUT OF JURIS),19TH ST / IVY AVE,-76.5870604,37.164698,R
201654612,2016-06-13,1540,VEH RECOVERY(OUT OF JURIS),19TH ST / IVY AVE,-76.5870604,37.164698,R
201654632,2016-06-14,824,VEH RECOVERY(OUT OF JURIS),0 BLK EDSYL ST,-76.5259378,37.1117477,R
201654631,2016-06-14,942,VEH RECOVERY(OUT OF JURIS),600 BLK AQUA VISTA DR,-76.4102996,36.9695803,R
201654735,2016-06-17,1700,VEH RECOVERY(OUT OF JURIS),800 BLK LASSITER DR,-76.4101116,36.9727453,R
201654969,2016-06-25,53,VEH RECOVERY(OUT OF JURIS),500 BLK WATERS EDGE DR,-76.4819915,37.08391,R
201654983,2016-06-25,1618,VEH RECOVERY(OUT OF JURIS),1000 BLK 24TH ST,-76.4110259,36.9846476,C
