REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones
201650005,2016-01-01 00:00:00,207,WEAPON OFFENSE,300 BLK CIRCUIT LN,-76.534754,37.1420559,R
201650006,2016-01-01 00:00:00,346,WEAPON OFFENSE,41ST ST / JEFFERSON AVE,-76.427346,36.9917095,C
201650003,2016-01-01 00:00:00,800,WEAPON OFFENSE,33RD ST / ORCUTT AVE,-76.4146012,36.9904002,P
201600021,2016-01-01 00:00:00,1304,WEAPON OFFENSE,500 BLK KNOLLS DR,-76.516655,37.1187651,R
201650025,2016-01-01 00:00:00,2000,WEAPON OFFENSE,1000 BLK 29TH ST,-76.4129888,36.9878483,P
201650044,2016-01-02 00:00:00,1123,WEAPON OFFENSE,800 BLK CONSTANCE DR,-76.4550579,37.083409,R
201650067,2016-01-03 00:00:00,133,WEAPON OFFENSE,23RD ST / ORCUTT AVE,-76.4106574,36.983998,R
201650069,2016-01-03 00:00:00,156,WEAPON OFFENSE,500 BLK TURNBERRY BLVD,-76.5199095,37.1336156,R
201600104,2016-01-04 00:00:00,1338,WEAPON OFFENSE,800 BLK CONSTANCE DR,-76.4550579,37.083409,R
201650107,2016-01-04 00:00:00,1419,WEAPON OFFENSE,9700 BLK JEFFERSON AVE,-76.4505536,37.0291733,C
201650114,2016-01-04 00:00:00,1757,WEAPON OFFENSE,16TH ST / IVY AVE,-76.414962,36.9758449,P
201650124,2016-01-04 00:00:00,2200,WEAPON OFFENSE,300 BLK TROY DR,-76.4960589,37.0983579,M
201650149,2016-01-05 00:00:00,2029,WEAPON OFFENSE,800 BLK 24TH ST,-76.4152708,36.9829554,R
201650151,2016-01-05 00:00:00,2211,WEAPON OFFENSE,800 BLK 25TH ST,-76.4156773,36.9835973,R
201600195,2016-01-06 00:00:00,1402,WEAPON OFFENSE,400 BLK LOCH NESS DR,-76.5169316,37.1320468,C
201650177,2016-01-06 00:00:00,2315,WEAPON OFFENSE,600 BLK RIVER BEND CT,-76.4916212,37.1119875,R
201650187,2016-01-07 00:00:00,706,WEAPON OFFENSE,800 BLK PELHAM DR,-76.5182257,37.1533374,R
201650193,2016-01-07 00:00:00,947,WEAPON OFFENSE,14300 BLK OLD COURTHOUSE WAY,-76.536665,37.125381,P
201650210,2016-01-07 00:00:00,2128,WEAPON OFFENSE,13200 BLK AQUEDUCT DR,-76.5170062,37.1154057,R
201650224,2016-01-08 00:00:00,1309,WEAPON OFFENSE,28TH ST / ROANOKE AVE,-76.4102574,36.9881508,R
201650236,2016-01-08 00:00:00,1754,WEAPON OFFENSE,12600 BLK MCMANUS BLVD,-76.5067009,37.1344387,M
201650244,2016-01-08 00:00:00,2136,WEAPON OFFENSE,1000 BLK OMNI BLVD,-76.4633177,37.0892762,C
201650238,2016-01-08 00:00:00,2304,WEAPON OFFENSE,900 BLK FOREST LAKE CT,-76.4229516,37.0020955,R
201650248,2016-01-09 00:00:00,47,WEAPON OFFENSE,300 BLK HICKORY POINT BLVD,-76.5565493,37.1561694,C
201650252,2016-01-09 00:00:00,540,WEAPON OFFENSE,1100 BLK 23RD ST,-76.4082536,36.9849596,R
201650290,2016-01-10 00:00:00,1500,WEAPON OFFENSE,1000 BLK 35TH ST,-76.4153692,36.9916715,P
201650305,2016-01-10 00:00:00,2145,WEAPON OFFENSE,1100 BLK 74TH ST,-76.4285857,37.0178481,R
201600353,2016-01-10 00:00:00,2318,WEAPON OFFENSE,0 BLK DORSEY RD,-76.481754,37.0782839,R
201650324,2016-01-11 00:00:00,1656,WEAPON OFFENSE,27TH ST / ROANOKE AVE,-76.4098543,36.9874981,R
201650364,2016-01-13 00:00:00,1450,WEAPON OFFENSE,0 BLK 28TH ST,-76.4190475,36.9846606,R
201650377,2016-01-13 00:00:00,2101,WEAPON OFFENSE,18TH ST / IVY AVE,-76.5844411,37.1641396,R
201650393,2016-01-14 00:00:00,1104,WEAPON OFFENSE,14TH ST / WICKHAM AVE,-76.4080461,36.976644,R
201650405,2016-01-15 00:00:00,18,WEAPON OFFENSE,13200 BLK AQUEDUCT DR,-76.5170062,37.1154057,R
201650412,2016-01-15 00:00:00,1113,WEAPON OFFENSE,10200 BLK WARWICK BLVD,-76.4582631,37.0311148,C
201600521,2016-01-15 00:00:00,1202,WEAPON OFFENSE,1300 BLK ROANOKE AVE,-76.402707,36.9779539,R
201650414,2016-01-15 00:00:00,1401,WEAPON OFFENSE,13200 BLK AQUEDUCT DR,-76.5170062,37.1154057,R
201650425,2016-01-15 00:00:00,1955,WEAPON OFFENSE,4000 BLK CAMPBELL RD,-76.5247297,37.1237412,R
201650432,2016-01-15 00:00:00,2310,WEAPON OFFENSE,800 BLK 12TH ST,-76.4091424,36.9746929,R
201650433,2016-01-16 00:00:00,58,WEAPON OFFENSE,100 BLK LOCHAVEN DR,-76.4693198,37.1070887,R
201650450,2016-01-16 00:00:00,1935,WEAPON OFFENSE,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201650498,2016-01-18 00:00:00,1749,WEAPON OFFENSE,800 BLK 36TH ST,-76.4196777,36.9906166,R
201650504,2016-01-18 00:00:00,2009,WEAPON OFFENSE,2300 BLK MADISON AVE,-76.4176022,36.9812425,R
201650534,2016-01-19 00:00:00,1807,WEAPON OFFENSE,300 BLK HIDENWOOD DR,-76.498234,37.07515,R
201650537,2016-01-20 00:00:00,127,WEAPON OFFENSE,400 BLK LUCAS CREEK RD,-76.5457067,37.1102112,R
201600623,2016-01-20 00:00:00,200,WEAPON OFFENSE,400 BLK LUCAS CREEK RD,-76.5457067,37.1102112,R
201650540,2016-01-20 00:00:00,635,WEAPON OFFENSE,0 BLK DEER RUN TRL,-76.560519,37.1218558,R
201650544,2016-01-20 00:00:00,1242,WEAPON OFFENSE,0 BLK COLONY SQUARE CT,-76.5175086,37.1147863,R
201650561,2016-01-20 00:00:00,1827,WEAPON OFFENSE,0 BLK BERNARDINE DR,-76.5123566,37.1444643,O
201650565,2016-01-20 00:00:00,2146,WEAPON OFFENSE,0 BLK OLD OYSTER POINT RD,-76.4775373,37.1052281,C
201650620,2016-01-22 00:00:00,1858,WEAPON OFFENSE,12700 BLK JEFFERSON AVE,-76.5184453,37.1374683,C
201650625,2016-01-22 00:00:00,2243,WEAPON OFFENSE,MENCHVILLE RD / WARWICK BLVD,-76.5169615,37.1106297,C
201650642,2016-01-23 00:00:00,1920,WEAPON OFFENSE,13600 BLK WARWICK BLVD,-76.5224309,37.1180153,C
201650643,2016-01-23 00:00:00,2106,WEAPON OFFENSE,1000 BLK 35TH ST,-76.4153692,36.9916715,P
201600785,2016-01-24 00:00:00,1311,WEAPON OFFENSE,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C
201650658,2016-01-25 00:00:00,300,WEAPON OFFENSE,4100 BLK NEWSOME DR,-76.4194535,36.9948512,R
201650679,2016-01-25 00:00:00,2027,WEAPON OFFENSE,27TH ST / MAPLE AVE,-76.3976397,36.9935477,R
201650683,2016-01-25 00:00:00,2300,WEAPON OFFENSE,12900 BLK JEFFERSON AVE,-76.528324,37.1497,C
201650685,2016-01-26 00:00:00,730,WEAPON OFFENSE,HAMPTON ROADS CNTR PKWY / MERIDIAN PKWY,-76.4537159,37.0642905,R
201650688,2016-01-26 00:00:00,831,WEAPON OFFENSE,12900 BLK JEFFERSON AVE,-76.528324,37.1497,C
201650708,2016-01-26 00:00:00,2321,WEAPON OFFENSE,1100 BLK 37TH ST,-76.4137839,36.9938897,R
201650707,2016-01-26 00:00:00,2344,WEAPON OFFENSE,12500 BLK WARWICK BLVD,-76.4941434,37.0762992,C
201650728,2016-01-27 00:00:00,1955,WEAPON OFFENSE,1000 BLK 28TH ST,-76.4126422,36.9872016,P
201600919,2016-01-28 00:00:00,1010,WEAPON OFFENSE,200 BLK MENCHVILLE RD,-76.527128,37.1036642,R
201650756,2016-01-28 00:00:00,1936,WEAPON OFFENSE,GREAT OAK CIR / THIMBLE SHOALS BLVD,-76.4663503,37.0805258,R
201600991,2016-01-29 00:00:00,2131,WEAPON OFFENSE,11800 BLK FISHING POINT DR,-76.4784907,37.0847569,C
201650828,2016-01-31 00:00:00,344,WEAPON OFFENSE,400 BLK MANOR RD,-76.5453941,37.1368522,C
201601033,2016-01-31 00:00:00,1029,WEAPON OFFENSE,EXIT 5 / I664 N,-76.3786218,37.0281885,NZ
201650865,2016-02-01 00:00:00,1140,WEAPON OFFENSE,700 BLK THIMBLE SHOALS BLVD,-76.4766434,37.0836086,C
201650889,2016-02-02 00:00:00,134,WEAPON OFFENSE,14500 BLK OLD COURTHOUSE WAY,-76.5422682,37.1327238,C
201650906,2016-02-02 00:00:00,1856,WEAPON OFFENSE,3100 BLK OAK AVE,-76.4070771,36.991985,R
201650927,2016-02-03 00:00:00,1233,WEAPON OFFENSE,14700 BLK WARWICK BLVD,-76.5423655,37.1331147,C
201650938,2016-02-03 00:00:00,1912,WEAPON OFFENSE,DEPUTY LN / OLD COURTHOUSE WAY,-76.537713,37.139807,R
201650944,2016-02-04 00:00:00,49,WEAPON OFFENSE,1000 BLK CENTER AVE,-76.4449883,37.0308635,R
201650964,2016-02-05 00:00:00,559,WEAPON OFFENSE,2800 BLK CHESTNUT AVE,-76.407352,36.989429,C
201650994,2016-02-05 00:00:00,2117,WEAPON OFFENSE,J CLYDE MORRIS BLVD / OLD OYSTER POINT RD,-76.459018,37.097899,C
201651035,2016-02-07 00:00:00,1452,WEAPON OFFENSE,0 BLK TRAVERSE RD,-76.4580576,37.0947029,C
201601243,2016-02-08 00:00:00,200,WEAPON OFFENSE,TABBS LN / WARWICK BLVD,-76.5314621,37.124656,C
201651066,2016-02-08 00:00:00,1515,WEAPON OFFENSE,23RD ST / WICKHAM AVE,-76.412194,36.9833901,R
201651070,2016-02-08 00:00:00,1622,WEAPON OFFENSE,300 BLK DEPUTY LN,-76.5355935,37.1457008,R
201601281,2016-02-09 00:00:00,941,WEAPON OFFENSE,300 BLK CIRCUIT LN,-76.534754,37.1420559,R
201651088,2016-02-09 00:00:00,1449,WEAPON OFFENSE,1200 BLK 73RD ST,-76.4248194,37.0184772,R
